Component,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR 2001-2013
Total Equipment,Mil 2013 EURO,45796.62328,43000.18079,41566.15386,40438.1024,40575.23315,41459.85037,41081.2856,40450.38073,40503.18345,43009.99376,39350.53485,37383.95768,38732.38751,-0.014
Total Personnel,Mil 2013 EURO,130166.3499,126812.2454,121732.4213,121769.8023,125405.7845,124733.6289,116896.2492,110332.1715,103390.2689,102767.9049,100090.052,105578.6874,100993.7261,-0.021
Total O&M/Other,Mil 2013 EURO,54284.24165,51710.96094,49146.57773,48397.43821,50945.92791,50923.66525,53342.07432,51662.62936,51002.17891,50724.98187,50530.50916,52455.86331,52477.29878,-0.003
Total Infrastructure,Mil 2013 EURO,7573.848571,7067.497402,6309.216564,6569.804049,5748.905911,6399.339185,6781.003136,6118.627328,5583.72693,5797.933264,5190.828168,5573.7373,5568.545533,-0.025
Total R&D,Mil 2013 EURO,11030.18526,12008.49568,11368.78296,10668.77936,9854.760664,10437.14018,10528.03115,8671.513577,8014.398211,6245.760318,4317.650364,4650.361809,2387.037471,-0.12
