COUNTRY,Country List,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,"Montenegro, Serbia, Macedonia, Greece",#VALUE!,#VALUE!,#VALUE!,#VALUE!,10150,10665,11128.3,11263.2,12329.8,12832.7,10110.4,8330.4,7459.7,7289.3
Austria,"Italy, Switzerland, Germany, Czech Republic, Slovakia, Hungary, Slovenia",106418,105076,106358,106454,104604,102542,99446,98200,100495,100949,99561,96960,95043,92317
Belgium,"France, Luxembourg, Germany, Netherlands",123914,123232,124586,125994,126365,124241,124052,124491,124915,131355,128255,124758,124556,122133
Bulgaria,"Romania, Serbia, Macedonia, Greece, Turkey",34317,32460,33366,29947,29250,29030,30334,29776,31322,32527,29284,27812,27787,28451
Croatia,"Bosnia, Hungary, Serbia, Slovenia",#VALUE!,#VALUE!,4660,4536,4272,4029,3904,4068,3951,3764,3544,3337,3141,2912
Czech Republic,"Germany, Poland, Slovakia, Austria",61758,61018,61226,61024,59734,59524,58828,60568,60944,62878,63632,62091,63278,62946
Denmark,Germany,50614,49783,49920,49237,47726,46983,45899,45940,47259,49046,49583,48164,49312,49297
Estonia,"Russia, Latvia",31249,33888,37607,39454,41252,46890,51963,56563,62081,64883,66094,70535,81276,85171
Finland,"Russia, Norway, Sweeden",44966,47067,51615,53096,54596,59864,64699,69836,74615,77929,79632,83794,94817,98731
Macedonia,"Albania, Serbia, Bulgaria, Greece",12452.1,12022,11988,10506,11192,11748,12156,12492,13388,13866,11067,9145,8306,8105
France,"Italy, Switzerland, Germany, Luxembourg, Belgium, Andorra, Spain",120234,118538,119725,119191,118097,115510,115359,115222,118639,118130,115342,111086,110086,105696
Germany,"Netherlands, Belgium, Luxembourg, France, Switzerland, Austria, Czech Republic, Poland, Denmark",103066,102908,103918,106483,108344,107213,108305,110551,108993,113280,109629,106928,105509,102978
Greece,"Albania, Macedonia, Bulgaria, Turkey",21814.1,20515,21486,19546,17955,17089,17945,17601,17629,18723,18277,18339,18999,19816
Hungary,"Austria, Slovakia, Ukraine, Romania, Serbia, Croatia",12412,11611,11926,12112,12198,12804,13190,14646,14865,13495,13110,12867,13554,13971
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,United Kingdom,48000,49941,53179,57005,57665,58150,58527,60375,63070,64297,62942,60284,57717,56231
Italy,"France, Switzerland, Austria, Slovenia",71676,71184,72204,74135,75858,74311,74376,75250,74640,78781,75410,73684,72557,71367
Latvia,"Estonia, Russia, Belarus, Lithuania",31804,34590,38230,40063,41979,47784,52984,57732,63277,66028,67234,71728,82597,86609
Lithuania,"Russia, Poland, Belarus, Latvia",37800,40732,44564,46674,48860,55110,60830,66562,71240,74421,76124,80746,91616,95523
Luxembourg,"France, Belgium, Germany",118522,117214,118438,119725,119872,117521,116742,117429,118617,124425,121536,118299,118489,116856
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,"Bosnia, Serbia, Albania",#VALUE!,#VALUE!,1994,1691,1574,1343,1372,1533,1544,1567,1469,1396,1360,1291
Poland,"Germany, Czech Republic, Slovakia, Ukraine, Belarus, Lithuania, Russia",89099,90671,94769,96588,96926,102919,107108,112472,118784,122906,124422,126960,139489,144013
Portugal,Spain,14364,14548,14897,14755,15230,15339,17932,18527,18584,17820,15977,13990,14700,12822
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,"Croatia, Hungary, Romania, Bulgaria, Macedonia, Albania, Montenegro",#VALUE!,#VALUE!,#VALUE!,#VALUE!,7131,7319,7287.3,7476.2,7593.8,6796.7,6224.4,6195.4,6215.7,5954.3
Romania,"Bulgaria, Moldova, Serbia, Hungary,Ukraine",7058.4,6669.9,6886.7,7235.3,7136.2,7523.2,7704.9,8837.6,8366.7,7599.3,7468.8,7232.3,7821,8355.9
Slovakia,"Poland, Ukraine, Hungary, Austria, Czech Republic",17716,17371,17710,18908,19102,20405,20653,23041,21321,20933,21006,20734,21280,21492
Slovenia,"Italy, Austria, Hungary, Croatia",50096,49250,50390,50786,50660,48939,47228,46673,48002,46284,44887,44138,41215,38097
Spain,"Portugal, Andorra, France",66176,66144,67537,69281,71339,70225,70427,70435,69799,74631,71545,69499,68095,67114
Sweden,"Norway, Finland",8509,8411,9616,9795,10154,9845,9894,10095,10387,10982,10791,10983,10596,10642
Netherlands,"Germany, Belgium",56739,55638,55598,54976,53346,52398,51272,51738,53580,54999,55285,53666,54753,54584
Turkey,"Georgia, Armenia, Iran, Iraq, Syria, Bulgaria, Greece",#VALUE!,#VALUE!,#VALUE!,#VALUE!,26645,31255,32222,31323,29232,29000,27983,28228,#VALUE!,#VALUE!
UK,Ireland,1373,1489,1430,1371,1392,1410,1398,1408,1459,1440,1373,1301,1232,1220
