Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR 2001-2013,Selected Countries
Albania,Mil EURO,,,,,,,,,,,,,,,FALSE
Austria,Mil EURO,0.212179995,0.025294321,0.004763221,0.19088766,0.278887969,0.141933948,0.029816557,0.154157373,0.142144727,0.12958971,,0.121815491,0.112000012,-0.051851994,FALSE
Belgium,Mil EURO,4.431200041,6.303385633,7.016175225,7.235016915,5.454032535,5.927318779,6.369273118,6.117969297,4.698461985,4.375849808,4.348401362,4.232219634,,-1,FALSE
Bosnia & Herzegovina,Mil EURO,,,,,,,,,,,,,,,FALSE
Bulgaria,Mil EURO,,,,,,,,,,,,,,,FALSE
Croatia,Mil EURO,,,,,,,,,,,,,,,FALSE
Cyprus,Mil EURO,,,,,,,,,,,,,,,FALSE
Czech Republic,Mil EURO,,14.81411228,15.94249841,13.93002819,15.31074504,21.48872613,17.48267695,20.27386283,20.70731328,20.5889226,18.18999028,16.81852932,16.23456862,,TRUE
Denmark,Mil EURO,8.623203846,9.088870595,20.13203902,22.04574418,13.14615094,13.11028611,11.76052114,12.58380804,11.91694596,10.67009392,8.028237336,7.899340823,7.804218615,-0.008281539,FALSE
Estonia,Mil EURO,,,,,0.52,1,1,1.8,0.3,0.7,,,,,FALSE
Finland,Mil EURO,25.02735796,25.67228049,49.29632817,41.40743407,62.66542846,54.91572474,46.80689533,55.51751609,37.56964033,60.64991937,55.38333,54.2194023,38.3,0.03609278,TRUE
France,Mil EURO,4155.084553,4274.360746,4261.303347,4089.452519,3954.539175,4537.415423,4407.898545,3817.939724,4011.313572,2501.411727,1173.719959,1090.185255,942.5021221,-0.116292503,TRUE
Germany,Mil EURO,1395.367899,1035.504928,1251.057189,1093.135479,1088.958427,1252.827287,1223.214358,1270.486093,1250.557885,1206.824541,969.0748427,946.479368,944.8719982,-0.031966573,TRUE
Greece,Mil EURO,4.396990274,3.673121259,3.475178575,3.329629701,3.618812158,3.864465603,3.432679785,3.347290291,,,5.55422284,4.877045503,1.380000001,-0.092053417,TRUE
Hungary,Mil EURO,,,,,0.490182106,0.427268697,2.661662068,2.938125155,0.421874542,2.350022548,0.186661784,0.926043108,,,FALSE
Ireland,Mil EURO,,,,,,,,,,,,,,,FALSE
Italy,Mil EURO,431.2057619,159.6961711,,,397.5857133,139.2017174,495.3440492,132.593018,70.24503703,66.10916623,68.73042061,60.47737055,,,TRUE
Latvia,Mil EURO,,,,,0.22,0.423,0.27,0.171,0.2,0.03,,,,,FALSE
Lithuania,Mil EURO,,,,,,,,,,,,,,,FALSE
Luxembourg,Mil EURO,,,,,,,,,,,,,,,FALSE
Macedonia,Mil EURO,,,,,,,,,,,,,,,FALSE
Malta,Mil EURO,,,,,,,,,,,,,,,FALSE
Moldova,Mil EURO,,,,,,,,,,,,,,,FALSE
Montenegro,Mil EURO,,,,,,,,,,,,,,,FALSE
Netherlands,Mil EURO,76.56895963,73.37819941,76.70338365,54.1032525,87.27469294,92.1528606,83.41910303,80.49929378,87.65813712,77.69150049,74.87218726,78.96666104,73.35399998,-0.00356818,FALSE
Norway,Mil EURO,160.6929199,183.3126551,172.4320014,160.0517835,154.4631171,143.7055099,138.4772064,123.1130208,125.525148,132.4532908,131.8183768,138.4413641,134.0378659,-0.015000757,TRUE
Poland,Mil EURO,,,,15.84759417,11.82088809,9.742701076,23.83209762,,,,,98.92670253,,,FALSE
Portugal,Mil EURO,20.02844575,20.62538481,19.674336,8.520600921,8.065762384,5.852471113,6.110711092,2.993168035,2.454360823,2.042825856,2.128972056,4.769094436,4.71,-0.113631178,TRUE
Romania,Mil EURO,4.324973902,3.155339838,3.442510404,1.932743378,4.143804434,10.23033674,,,11.28436495,5.441134629,4.893901702,14.67177381,4.301330651,-0.000456702,TRUE
Serbia*,Mil EURO,,,,,,,,,,,,,,,FALSE
Slovakia,Mil EURO,,13.45763112,10.99858192,8.371816557,12.66774532,9.968924696,8.333541584,8.497411047,8.634093562,4.405495845,5.369482691,6.648952321,3.348999999,,FALSE
Slovenia,Mil EURO,0.337447331,0.274524792,0.172744413,6.362135998,9.404243336,3.131717796,13.24439432,10.44205029,4.311737937,1.517829133,3.315879017,1.41868786,1.334000001,0.12136196,FALSE
Spain,Mil EURO,2205.758731,1794.059967,1653.378033,238.8450761,213.7848188,194.2954577,219.3585743,258.2778607,199.8320195,118.7425582,122.1018034,107.816177,95.12171582,-0.230467785,TRUE
Sweden,Mil EURO,363.5304618,594.3534316,613.1885497,486.9802669,512.3708855,507.7407844,480.5980969,351.5057696,232.3061893,241.7948445,254.9994138,290.9158791,145.8052267,-0.073306699,TRUE
Switzerland,Mil EURO,,11.26227205,,10.5256561,,13.43900037,,15.82000554,,18.2217248,,,,,FALSE
Turkey,Mil EURO,,,,,,,,,,,,,,,FALSE
United Kingdom,Mil EURO,4389.074874,5625.899805,4897.802101,4699.294243,3560.554147,3681.017147,3614.758177,2807.567989,2175.69895,1940.089141,1571.230345,1847.054525,,,TRUE
