"Country","CHES.party.id","ParlGov.party.id","Verified","Abnormalities"
"Austria",1301,973,NA,NA
"Austria",1302,1013,NA,NA
"Austria",1303,50,NA,NA
"Austria",1304,NA,NA,NA
"Austria",1306,955,NA,NA
"Austria",1307,1536,NA,NA
"Austria",1308,NA,NA,NA
"Austria",1309,NA,NA,NA
"Austria",1310,NA,NA,NA
"Belgium",102,1378,TRUE,NA
"Belgium",103,1029,TRUE,NA
"Belgium",104,161,TRUE,NA
"Belgium",105,1594,TRUE,NA
"Belgium",106,915,TRUE,NA
"Belgium",107,NA,NA,NA
"Belgium",108,1192,TRUE,NA
"Belgium",109,723,TRUE,NA
"Belgium",109,972,TRUE,NA
"Belgium",110,290,TRUE,NA
"Belgium",110,501,TRUE,NA
"Belgium",111,969,TRUE,NA
"Belgium",112,993,TRUE,NA
"Belgium",113,NA,NA,NA
"Belgium",114,NA,NA,NA
"Belgium",115,171,TRUE,NA
"Belgium",117,221,TRUE,NA
"Belgium",118,NA,NA,NA
"Belgium",119,NA,NA,NA
"Belgium",120,NA,NA,NA
"Bosnia-Herzegovina",3001,NA,NA,NA
"Bosnia-Herzegovina",3002,NA,NA,NA
"Bosnia-Herzegovina",3003,NA,NA,NA
"Bosnia-Herzegovina",3004,NA,NA,NA
"Bosnia-Herzegovina",3005,NA,NA,NA
"Bosnia-Herzegovina",3006,NA,NA,NA
"Bosnia-Herzegovina",3007,NA,NA,NA
"Bulgaria",2001,544,NA,NA
"Bulgaria",2002,784,NA,NA
"Bulgaria",2003,1160,NA,NA
"Bulgaria",2004,1286,NA,NA
"Bulgaria",2005,NA,NA,NA
"Bulgaria",2006,NA,NA,NA
"Bulgaria",2007,NA,NA,NA
"Bulgaria",2008,57,NA,NA
"Bulgaria",2009,1375,NA,NA
"Bulgaria",2010,1541,NA,NA
"Bulgaria",2011,NA,NA,NA
"Bulgaria",2012,NA,NA,NA
"Bulgaria",2013,NA,NA,NA
"Bulgaria",2014,NA,NA,NA
"Bulgaria",2015,NA,NA,NA
"Bulgaria",2016,NA,NA,NA
"Croatia",3101,NA,NA,NA
"Croatia",3102,NA,NA,NA
"Croatia",3103,NA,NA,NA
"Croatia",3104,NA,NA,NA
"Croatia",3105,NA,NA,NA
"Croatia",3106,NA,NA,NA
"Croatia",3107,NA,NA,NA
"Croatia",3108,NA,NA,NA
"Croatia",3109,NA,NA,NA
"Croatia",3110,NA,NA,NA
"Croatia",3111,NA,NA,NA
"Croatia",3112,NA,NA,NA
"Croatia",3113,NA,NA,NA
"Croatia",3114,NA,NA,NA
"Cyprus",4001,1575,NA,NA
"Cyprus",4002,NA,NA,NA
"Cyprus",4003,572,NA,NA
"Cyprus",4004,851,NA,NA
"Cyprus",4005,945,NA,NA
"Cyprus",4006,1621,NA,NA
"Czech Republic",2101,789,TRUE,NA
"Czech Republic",2102,829,TRUE,NA
"Czech Republic",2103,1173,TRUE,NA
"Czech Republic",2104,1245,TRUE,NA
"Czech Republic",2105,688,TRUE,NA
"Czech Republic",2106,NA,NA,NA
"Czech Republic",2107,196,TRUE,NA
"Czech Republic",2108,NA,NA,NA
"Czech Republic",2109,2,TRUE,NA
"Czech Republic",2110,336,TRUE,NA
"Czech Republic",2111,NA,NA,NA
"Czech Republic",2112,NA,NA,NA
"Czech Republic",2113,NA,NA,NA
"Denmark",201,1629,TRUE,NA
"Denmark",202,211,TRUE,NA
"Denmark",203,590,TRUE,NA
"Denmark",204,1324,TRUE,NA
"Denmark",206,1644,TRUE,NA
"Denmark",210,1331,TRUE,NA
"Denmark",211,1605,TRUE,NA
"Denmark",212,978,TRUE,NA
"Denmark",213,306,TRUE,NA
"Denmark",215,1418,TRUE,NA
"Denmark",216,NA,NA,NA
"Denmark",217,NA,NA,NA
"Denmark",218,376,TRUE,NA
"Estonia",2201,1597,TRUE,NA
"Estonia",2202,1137,TRUE,NA
"Estonia",2203,113,TRUE,NA
