"Country","year","Cab_left_right","Opp_left_right","left_right_ls_spread","Cab_liberty_authority","Opp_liberty_authority","liberty_authority_ls_spread","Cab_eu_anti_pro","Opp_eu_anti_pro","eu_anti_pro_ls_spread","CabinetChecksum","OppositionChecksum","UnlabeledParliamentShare"
"Bulgaria",2013,3.46311340480294,6.40653481180855,16.8941795643091,4.8395010961282,7.14053884685252,11.2284142430437,6.71430593007928,6.97574325929169,14.1214867162186,0.788461538,1,0
"Bulgaria",2014,3.0608085042504,6.27573495595289,15.3609235070509,4.47161135680786,7.06728222671323,12.5368077195736,6.35416903075386,7.07876764137587,17.9550599116165,0.741758241,0.999999999,0
"Croatia",2000,4.43709704679183,6.75092230250208,5.76440227198114,3.85539421886772,6.4761073952544,7.39489736749304,6.84966652019393,6.25570731474249,0.379844989130297,0.928767123,0.928767123,0.0430554295430464
"Czech Republic",2009,1.87580184454602,4.11230502383521,21.8108042837819,1.18116115283373,4.66011675830443,15.5370549876454,1.39443903726631,6.30304468199324,27.6555615544431,0.269230769,1,0.00730769231
"Czech Republic",2010,3.62748543963845,3.49513359158519,22.5968193881792,2.50887419915993,4.77432779483756,10.3646776341815,3.32215608127837,6.34877445597043,17.9314532627251,0.510989011,1,0.012554945055
"Czech Republic",2013,3.79499934734726,4.00745581403484,22.5706642325585,2.68406473735597,4.90877725947171,11.9625999422013,3.21410292691152,6.64015401996688,20.2115692124713,0.521978022,1,0.035
"Czech Republic",2014,4.4413288979247,4.79771458848996,1.1932137564397,4.19954452015144,6.11177660344706,4.09273600588549,8.27007306169283,5.12895200723806,14.1118635419792,0.956043956,1,0.02543956044
"Greece",2012,5.63843895293899,3.56971157733197,10.6201849583054,5.40590149272552,4.20553565720978,6.62399100053568,8.04439202758654,4.96867370714807,21.5701121327099,0.904109589,1,0
"Italy",2011,6.36495141015926,3.65764771608412,16.7790170579299,5.9863329644808,3.54672780761137,14.2013865834528,4.1696542564641,7.51578580815105,12.3997430905721,0.876373626,1,0.00158730158730159
"Italy",2012,0,5.4772319554849,30.0000698941849,0,5.20770158982512,27.1201558486671,0,6.26657217806041,39.2699268628408,0,1,0.00158730158730159
"Italy",2013,2.64812778010506,4.09923063300404,9.9428025720365,2.1970971755855,3.8378919875189,8.87807847053427,5.04107952157133,5.8987910674643,14.482654078378,0.681318681,1,0.000505843363492064
