Country,Party ID,Party Abbrev,Party Name,Party Name  (English)
IT,802803,PDS;  DSRC,Partito  Democratico della Sinistra; Democratici di Sinistra Rifondazione Comunista,Democratic Party of the  Left; Democrats of the  Left Communist Refoundation Party
IT,805,AN,Alleanza  Nazionale,National Alliance
IT,806,PRI,Partito Repubblicano Italiano,Italian Republican Party
IT,807808,PSDI;  SDIVerdi,Partito  Socialista Democratico Italiano;Socialisti  Democratici ItalianiFederazione dei Verdi,Italian Democratic Socialist  Party;Italian Democratic SocialistsFederation of Greens
IT,811,LN,Lega Nord,Northern League
IT,813,RAD,Radicali  Italiani,Italian Radicals
IT,814815,CCD;  UDCFI,Centro Cristiano Democratico; Unione  dei DemocraticiCristiani e die Democratici di CentroForza  Italia,Christian Democratic Center;Union  of Christian and  Center DemocratsForward Italy
IT,817,CU/UD,Unione  Democratica,Democratic Union
IT,818,CDU,Cristiani Democratici Uniti,United  Christian Democrats
IT,819820,DEM;  DLLB,I Democratici; Democrazia ä LibertÖ-La MargheritaLista  Bonino,The  Democrats; Democracy is Freedom?The  DaisyBonino  List
IT,821,MS,Movimento Sociale Fiamma Tricolore,Tricolor  Flame  Social Movement
IT,822,PdUP,Partito di Unit?? Proletaria,Party of Proletarian Unity  for Communism
IT,823,PPI,Partito Popolare Italiano,Italian Popular Party
IT,824,PsDA,Partito Sardo  d?Azione,Sardinian Action  Party
IT,825,RI,Rinnovamento Italiano,Italian Renewal-Dini List
IT,826,SEG,Patto Segni,Segni Pact
IT,827,SVP,SÅdtiroler Volkspartei,South  Tyrolean People?s  Party
IT,828,IdV,Di Pietro-Italia dei Valori,Italy  of Values
IT,829,UDEUR,Popolari-UDEUR,Popular-UDEUR
IT,830,PP,Partito dei Pensionati,Pensioners? Party
IT,832,MRE,Movimento Repubblicani Europei,European Republican Movement
IT,835,NPSI,Nuovo  Partito Socialista Italiano,New Italian Socialist  Party
IT,836,PdCI,Partito dei Comunisti Italiani,Party of Italian Communists
IT,837,PD,Partido Democratico,Democratic Party
IT,838,SL,Sinistra e Liberta,Left and  Freedom
IT,839,PSI,Partito Socialista Italiano,Italian Socialist  Party
IT,840,MpA,Movimento per le Autonomie,Movement for Autonomies
IT,841,PCI,Partito dei Comunisti Italian,Italian Communist Party
IT,842,SD,Sinistra Democratica,Democratic Left
NL,1001,CDA,Christen-Democratisch Appel,Christian Democratic Appeal
NL,1002,PvdA,Partij van  de Arbeid,Labour  Party
NL,1003,VVD,Volkspartij voor Vrijheid en Demokratie,People?s  Party for Freedom and  Democracy
NL,1004,D66,Democraten  66,Democrats  66
NL,1005,GL,Groen  Links,Green  Left
NL,1006,SGP,Staatkundig Gereformeerde Partij,Political Reformed  Party
NL,1007,GPV,Gereformeerd Politiek Verbond,Reformed  Political League
NL,1008,RPF,Reformatorische Politieke Federatie,Reformational Political Federation
NL,1009,CD,Centrum Democraten,Center Democrats
NL,1014,SP,Socialistische Partij,Socialist  Party
NL,1015,LPF,Lijst  Pim  Fortuyn,Lijst  Pim  Fortuyn
NL,1016,CU,Christen Unie,Christian Union
NL,1017,PVV,Partij voor de Vrijheid,Party for Freedom
NL,1018,PvdD,Partij voor de Dieren,Party for the  Animals
NL,1019,SGP,Sttatkundig  Gereformeerde Partij,Reformed  Political Party
UK,1101,Cons,Conservative Party,Conservative Party
UK,1102,Lab,Labour  Party,Labour  Party
UK,1104,LibDems,Liberal  Democratic Party,Liberal  Democratic Party
UK,1105,SNP,Scottish National Party,Scottish National Party
UK,1106,Plaid,Plaid  Cymru,Party of Wales
UK,1107,Greens,Green  Party,Green  Party
UK,1108,UKIP,United  Kingdom  Independence Party,United  Kingdom Independence Party
UK,1109,BNP,British National Party,British National Party
POR,1201,CDU,Coligaá?o  Democr†tica Unit†ria,Unitarian Democratic Coalition
POR,1202,CDS/PP,Centro Democr†tico e Social/ Partido Popular,Democratic and  Social Center/People?s Party
POR,1205,PS,Partido Socialista,Socialist  Party
POR,12061208,PPD/PSDBE,Partido Popular Democr†tico/Partido Social DemocrataBloco de Esquerda,Democratic People?s  Party/Social Democratic PartyLeft Bloc
AUS,1301,SPô,Sozialdemokratische Partei ôsterreichs,Social Democratic Party of Austria
AUS,1302,ôVP,ôsterreichische Volkspartei,Austrian People?s  Party
AUS,1303,FPô,Freiheitliche Partei ôsterreichs,Freedom Party of Austria
AUS,1304,GrÅne,Die GrÅnen,The  Austrian Green  Party
AUS,1306,LIF,Liberales  Forum,Liberal  Forum
AUS,1307,BZô,BÅndnis Zukunft ôsterreich,Alliance  for the  Future of Austria
AUS,1308,MARTIN,Liste  Dr.  Hans-Peter Martin,Hans-Peter Martin?s List
FIN,1401,SDP,Suomen  Sosialidemokraattinen,Social Democratic Party of Finland
FIN,1402,KOK,Kansallinen Kokoomus,National Coalition Party
FIN,1403,KESK,Suomen  Keskusta,Finnish Center Party
FIN,1404,VAS,Vasemmistoliitto,Left Alliance
FIN,1405,PS,Persussuomalaiset,True  Finns
FIN,1406,RKP/SFP,Ruotsalainen kansanpuolue/ Svenska  folkpartiet,Swedish  People?s  Party
FIN,1408,VIHR,VihreÑt De Grôna,Green  League
FIN,1409,SKL; KD,Suomen  Kristillinen Liitto;  Kristillisdemokraatit,Finish  Christian League;  Christian Democrats
FIN,1411,EKA,ElÑkelÑiset Kansan Asialla,Pensioners for the  People
FIN,1412,REM,RemonttiryhmÑ,Reform  Group
FIN,1413,KIPU,Kirjava ?puolue? - ElonkehÑn puolesta,Ecological  Party
SV,1601,V,VÑnsterpartiet,Left Party
SV,1602,SAP,Arbetarpartiet- Socialdemokraterna,Worker?s  Party-Social Democrats
SV,1603,C,Centerpartiet,Center Party
SV,1604,FP,Folkpartiet liberalerna,Liberal  People?s  Party
SV,1605,M,Moderaterna,Moderate Party
SV,1606,KD,Kristdemokraterna,Christian-Democrats
SV,1607,MP,Miljoepartiet de Groena,Environmental Party the  Greens
SV,1608,NyD,Ny Demokrati,New Democracy
SV,1609,JL,Junilistan,June  List
SV,1610,SD,Sverigedemokraterna,Sweden  Democrats
SV,1611,PIRAT,Piratpartiet,Pirate Party
BUL,2001,NDSV,Nacionalno Dvi?enie  Simeon  Vtori,National Movement Simeon  II
BUL,2002,ODS,Obedineni Demokraticni Sili,United Democratic Forces
BUL,2003,KzB,Koalicija  za B?algarija,Coalition for Bulgaria
BUL,2004,DPS,Dvi?enie  za Prava i Svobodi,Movement for Rights  and  Freedoms
