Country,Unit/Currency,Collaborative Partner,Account,2005,2006,2007,2008,2009,2010,2011,2012,CAGR 2005-2012
Austria,Mil 2013 EURO,Non-European,R&T,0.4,,,,0,0,,,
Belgium,Mil 2013 EURO,Non-European,R&T,,,,1,1,1,1,1,
Bulgaria,Mil 2013 EURO,Non-European,R&T,,,,,0,0,0,0,
Croatia,Mil 2013 EURO,Non-European,R&T,,,,,,,,,
Cyprus,Mil 2013 EURO,Non-European,R&T,,,,,0,,,,
Czech Republic,Mil 2013 EURO,Non-European,R&T,0,0,0,0,0,0,0,0,
Estonia,Mil 2013 EURO,Non-European,R&T,,,0,0,0,,,0,
Finland,Mil 2013 EURO,Non-European,R&T,0,0,0,0,0,0,0.12,0.12,
France,Mil 2013 EURO,Non-European,R&T,8,8,3,3,8,8,13,59.8,0.332912374
Germany,Mil 2013 EURO,Non-European,R&T,22,47.24,4.15,4.9,11,4.2,,,
Greece,Mil 2013 EURO,Non-European,R&T,0.3,,,0,,0,,0,-1
Hungary,Mil 2013 EURO,Non-European,R&T,,0,0,0,0,0,0,0,
Ireland,Mil 2013 EURO,Non-European,R&T,,,,,0,,,0,
Italy,Mil 2013 EURO,Non-European,R&T,,,,,,0,0.22,3,
Latvia,Mil 2013 EURO,Non-European,R&T,,,,,,,,0,
Lithuania,Mil 2013 EURO,Non-European,R&T,,,,,0,,,0,
Luxembourg,Mil 2013 EURO,Non-European,R&T,,,,,,0,0,0,
Malta,Mil 2013 EURO,Non-European,R&T,,,,,0,,,0,
Netherlands,Mil 2013 EURO,Non-European,R&T,,,,11,0,0.9,0.54,0.76,
Poland,Mil 2013 EURO,Non-European,R&T,0,0,0,9.86,3.1,1.97,0,0,
Portugal,Mil 2013 EURO,Non-European,R&T,0.168,0.19,0.13,0,0,0,0,0,-1
Romania,Mil 2013 EURO,Non-European,R&T,,,,,0,,0,0,
Slovakia,Mil 2013 EURO,Non-European,R&T,,,,0,0,0,0,0,
Slovenia,Mil 2013 EURO,Non-European,R&T,,,,0,0,0.2,0,0,
Spain,Mil 2013 EURO,Non-European,R&T,0,0,2.6,6.4,2.4,0.9,0.9,1.1,
Sweden,Mil 2013 EURO,Non-European,R&T,,2.6,4.4,3.7,1.6,1,1.3,1.2,
United Kingdom,Mil 2013 EURO,Non-European,R&T,18.7,,,0,0,0,0,0,-1
Austria,Mil 2013 EURO,Non-European,Procurement,,,,,,,,,
Belgium,Mil 2013 EURO,Non-European,Procurement,,,,0,0,0,0,0,
Bulgaria,Mil 2013 EURO,Non-European,Procurement,,0,0,0,0,0,0,0,
Croatia,Mil 2013 EURO,Non-European,Procurement,,,,,,,,,
Cyprus,Mil 2013 EURO,Non-European,Procurement,,,,,,,,,
Czech Republic,Mil 2013 EURO,Non-European,Procurement,,,,,0,,,0,
Estonia,Mil 2013 EURO,Non-European,Procurement,,,,,0,0,0,,
Finland,Mil 2013 EURO,Non-European,Procurement,0,0,0,0,0,0,0,0,
France,Mil 2013 EURO,Non-European,Procurement,0,0,5,0,0,0,0,0,
Germany,Mil 2013 EURO,Non-European,Procurement,96,80,76,78,80,80,43,,-1
Greece,Mil 2013 EURO,Non-European,Procurement,,,,,4.7,,,0,
Hungary,Mil 2013 EURO,Non-European,Procurement,,,,,,,,,
Ireland,Mil 2013 EURO,Non-European,Procurement,,,,,0,,,0,
Italy,Mil 2013 EURO,Non-European,Procurement,3.52,120,616,517,731,23,97,9,0.143517552
Latvia,Mil 2013 EURO,Non-European,Procurement,,,,,,,,0,
Lithuania,Mil 2013 EURO,Non-European,Procurement,,,0,0,0,0,0,0,
Luxembourg,Mil 2013 EURO,Non-European,Procurement,,0,0,0,0,0,0,0,
Malta,Mil 2013 EURO,Non-European,Procurement,,,,,0,,,0,
Netherlands,Mil 2013 EURO,Non-European,Procurement,,,,,36,,,,
Poland,Mil 2013 EURO,Non-European,Procurement,,,,,0,,,0,
Portugal,Mil 2013 EURO,Non-European,Procurement,,0.16,0.2,0.2,0.04,0,0,0,
Romania,Mil 2013 EURO,Non-European,Procurement,,,,,0,,,0,
Slovakia,Mil 2013 EURO,Non-European,Procurement,,,,,,,,0,
Slovenia,Mil 2013 EURO,Non-European,Procurement,,,,,0,,,0,
Spain,Mil 2013 EURO,Non-European,Procurement,12,0,0,0,0,0,0,0,-1
Sweden,Mil 2013 EURO,Non-European,Procurement,,40,39.9,40.6,63.4,20.2,1,0.7,
United Kingdom,Mil 2013 EURO,Non-European,Procurement,407.4,325,1,367,174,286,434,256,-0.064219191
Austria,Mil 2013 EURO,European,R&T,0.1,,,,0,0.13,,,
Belgium,Mil 2013 EURO,European,R&T,,,,4.4,4.5,1,1,1,
Bulgaria,Mil 2013 EURO,European,R&T,,,,,0,0,0,0,
Croatia,Mil 2013 EURO,European,R&T,,,,,,,,,
Cyprus,Mil 2013 EURO,European,R&T,,,,,0,,,,
Czech Republic,Mil 2013 EURO,European,R&T,1.372,1.1,0.97,0.977,1.1,0.99,0.58,0.55,-0.12241955
Estonia,Mil 2013 EURO,European,R&T,,,0.176,0.17,0.2,,,,
Finland,Mil 2013 EURO,European,R&T,2.29,0.9,1.32,4.1,3.27,3.27,4.29,2.88,0.033290483
France,Mil 2013 EURO,European,R&T,81,110,130,150,140,135,132,71.8,-0.017076049
Germany,Mil 2013 EURO,European,R&T,60,39.06,87.4,103.2,10.4,9.7,,,
Greece,Mil 2013 EURO,European,R&T,0.5,,,7.9,2.6,,,0,-1
Hungary,Mil 2013 EURO,European,R&T,,0.189,0.198,0.299,0.1,0.04,0,0,
Ireland,Mil 2013 EURO,European,R&T,,,,,0,,,0,
Italy,Mil 2013 EURO,European,R&T,,,,,,20.4,3.94,5.7,
Latvia,Mil 2013 EURO,European,R&T,,,,,,,,0,
Lithuania,Mil 2013 EURO,European,R&T,,,,,0,,,0,
Luxembourg,Mil 2013 EURO,European,R&T,,,,,0,,0,0,
Malta,Mil 2013 EURO,European,R&T,,,,,0,,,0,
Netherlands,Mil 2013 EURO,European,R&T,,,,14,25,3.1,3.78,4.16,
Poland,Mil 2013 EURO,European,R&T,0.21,0.341,3.14,8.4,0,0,3.1,1.68,0.345900193
Portugal,Mil 2013 EURO,European,R&T,0.446,0.67,0.51,0.41,0.3,0.14,0.17,0.37,-0.026335015
Romania,Mil 2013 EURO,European,R&T,,,,,0,,0.05,0,
Slovakia,Mil 2013 EURO,European,R&T,,,,0.7,1.07,0.04,0.06,0,
Slovenia,Mil 2013 EURO,European,R&T,,,,0.431,0.2,0.5,0,0,
Spain,Mil 2013 EURO,European,R&T,34.11,41.7,53.4,73.5,51.3,37.5,54,30.7,-0.014934211
