Country,Unit/Currency,Collaborative Partner,Account,2005,2006,2007,2008,2009,2010,2011,2012,CAGR 2005-2012
Sweden,Mil 2013 EURO,European,R&T,,27.8,21,23.4,23.6,26,20.3,16.8,
United Kingdom,Mil 2013 EURO,European,R&T,14,,,,,,,,
Austria,Mil 2013 EURO,European,Procurement,,,,,0,,,,
Belgium,Mil 2013 EURO,European,Procurement,,,,61.3,80.7,68,67.4,81.73,
Bulgaria,Mil 2013 EURO,European,Procurement,,0,0,0,0,0,0,0,
Croatia,Mil 2013 EURO,European,Procurement,,,,,,,,,
Cyprus,Mil 2013 EURO,European,Procurement,,,,,,,,,
Czech Republic,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Estonia,Mil 2013 EURO,European,Procurement,,,,,,,,,
Finland,Mil 2013 EURO,European,Procurement,23.3,,34.9,32.8,32.8,29.8,0,0,-1
France,Mil 2013 EURO,European,Procurement,1193,1639,1179,1802,2195,1847,1315,1364,0.019320036
Germany,Mil 2013 EURO,European,Procurement,850,690,680,696,717,725,2413,,-1
Greece,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Hungary,Mil 2013 EURO,European,Procurement,44.7,0.189,,,0,,,0,-1
Ireland,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Italy,Mil 2013 EURO,European,Procurement,491.3,277,1332,2001,1373,1376,1487,693,0.050366651
Latvia,Mil 2013 EURO,European,Procurement,,,,,,,,0,
Lithuania,Mil 2013 EURO,European,Procurement,,,3.6,2.26,0.1,,,,
Luxembourg,Mil 2013 EURO,European,Procurement,,6,5,5,5,1.6,5,5.73,
Malta,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Netherlands,Mil 2013 EURO,European,Procurement,,,,,169,,,,
Poland,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Portugal,Mil 2013 EURO,European,Procurement,,0.37,22.6,8.7,1.96,9.9,16.8,0.32,
Romania,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Slovakia,Mil 2013 EURO,European,Procurement,,,,,,,,0,
Slovenia,Mil 2013 EURO,European,Procurement,,,,,0,,,0,
Spain,Mil 2013 EURO,European,Procurement,1187,1196,938.36,935,721,703,298.1,1698,0.052476539
Sweden,Mil 2013 EURO,European,Procurement,,0,0,0,0,46.7,23.3,78.5,
United Kingdom,Mil 2013 EURO,European,Procurement,431.87,2261,1867,1525,1846,2474,1712,1812,0.227360565
