Country,Unit/Currency,2005,2006,2007,2008,2009,2010,2011,2012,CAGR 2005-2012,Selected Countries
Austria,Mil 2013 EURO,0.1,,,,0,0.13,,,,FALSE
Belgium,Mil 2013 EURO,,,,4.4,4.5,1,1,1,,FALSE
Bulgaria,Mil 2013 EURO,,,,,0,0,0,0,,FALSE
Croatia,Mil 2013 EURO,,,,,,,,,,FALSE
Cyprus,Mil 2013 EURO,,,,,0,,,,,FALSE
Czech Republic,Mil 2013 EURO,1.372,1.1,0.97,0.977,1.1,0.99,0.58,0.55,-0.12241955,TRUE
Estonia,Mil 2013 EURO,,,0.176,0.17,0.2,,,,,FALSE
Finland,Mil 2013 EURO,2.29,0.9,1.32,4.1,3.27,3.27,4.29,2.88,0.033290483,TRUE
France,Mil 2013 EURO,81,110,130,150,140,135,132,71.8,-0.017076049,TRUE
Germany,Mil 2013 EURO,60,39.06,87.4,103.2,10.4,9.7,,,,TRUE
Greece,Mil 2013 EURO,0.5,,,7.9,2.6,,,0,-1,FALSE
Hungary,Mil 2013 EURO,,0.189,0.198,0.299,0.1,0.04,0,0,,FALSE
Ireland,Mil 2013 EURO,,,,,0,,,0,,FALSE
Italy,Mil 2013 EURO,,,,,,20.4,3.94,5.7,,FALSE
Latvia,Mil 2013 EURO,,,,,,,,0,,FALSE
Lithuania,Mil 2013 EURO,,,,,0,,,0,,FALSE
Luxembourg,Mil 2013 EURO,,,,,0,,0,0,,FALSE
Malta,Mil 2013 EURO,,,,,0,,,0,,FALSE
Netherlands,Mil 2013 EURO,,,,14,25,3.1,3.78,4.16,,FALSE
Poland,Mil 2013 EURO,0.21,0.341,3.14,8.4,0,0,3.1,1.68,0.345900193,FALSE
Portugal,Mil 2013 EURO,0.446,0.67,0.51,0.41,0.3,0.14,0.17,0.37,-0.026335015,FALSE
Romania,Mil 2013 EURO,,,,,0,,0.05,0,,FALSE
Slovakia,Mil 2013 EURO,,,,0.7,1.07,0.04,0.06,0,,FALSE
Slovenia,Mil 2013 EURO,,,,0.431,0.2,0.5,0,0,,FALSE
Spain,Mil 2013 EURO,34.11,41.7,53.4,73.5,51.3,37.5,54,30.7,-0.014934211,TRUE
Sweden,Mil 2013 EURO,,27.8,21,23.4,23.6,26,20.3,16.8,,TRUE
United Kingdom,Mil 2013 EURO,14,,,,,,,,,FALSE
