"","Country","Year","MIO_EUR.S1.B1GQ","MIO_EUR.S1.B5GQ","MIO_EUR.S13.AF_81L","MIO_EUR.S13.B9","MIO_EUR.S13.D41PAY","MIO_EUR.S13.GD","MIO_EUR.S13.GD_F2","MIO_EUR.S13.GD_F3","MIO_EUR.S13.GD_F31","MIO_EUR.S13.GD_F32","MIO_EUR.S13.GD_F4","MIO_EUR.S13.GD_F41","MIO_EUR.S13.GD_F42","MIO_EUR.S13.IGL_F4_EA17","MIO_EUR.S13.IGL_F4_EA18","MIO_EUR.S13.IGL_F4_EA19","MIO_EUR.S13.IGL_F4_EU25","MIO_EUR.S13.IGL_F4_EU27","MIO_EUR.S13.IGL_F4_EU28","MIO_EUR.S13.P51G","MIO_EUR.S1311.B9","MIO_EUR.S1311.B9_OB","MIO_EUR.S1311.F4_ACQ_ORWB","MIO_EUR.S1311.F4_DIS_ORWB","MIO_EUR.S1311.F5_ACQ_ORWB","MIO_EUR.S1311.F5_DIS_ORWB","MIO_EUR.S1311.F71K_ORWB","MIO_EUR.S1311.F8_ASS_ORWB","MIO_EUR.S1311.F8_LIAB_ORWB","MIO_EUR.S1311.FNDL_ORWB","MIO_EUR.S1311.FNDX_ORWB","MIO_EUR.S1311.FT","MIO_EUR.S1311.GD","MIO_EUR.S1311.ORD41A_ORWB","MIO_EUR.S1311.OROA_ORWB","MIO_EUR.S1311.ORWB","MIO_EUR.S1311.ORWB_E","MIO_EUR.S1312.B9","MIO_EUR.S1312.B9_OB","MIO_EUR.S1312.F4_ORWB","MIO_EUR.S1312.F5_ORWB","MIO_EUR.S1312.F71K_ORWB","MIO_EUR.S1312.F8_ASS_ORWB","MIO_EUR.S1312.F8_LIAB_ORWB","MIO_EUR.S1312.FNDL_ORWB","MIO_EUR.S1312.FNDX_ORWB","MIO_EUR.S1312.FT","MIO_EUR.S1312.GD","MIO_EUR.S1312.ORD41A_ORWB","MIO_EUR.S1312.ORNF_ORWB","MIO_EUR.S1312.OROA_ORWB","MIO_EUR.S1312.ORWB","MIO_EUR.S1313.B9","MIO_EUR.S1313.B9_OB","MIO_EUR.S1313.F4_ORWB","MIO_EUR.S1313.F5_ORWB","MIO_EUR.S1313.F71K_ORWB","MIO_EUR.S1313.F8_ASS_ORWB","MIO_EUR.S1313.F8_LIAB_ORWB","MIO_EUR.S1313.FNDL_ORWB","MIO_EUR.S1313.FNDX_ORWB","MIO_EUR.S1313.FT","MIO_EUR.S1313.GD","MIO_EUR.S1313.ORD41A_ORWB","MIO_EUR.S1313.ORNF_ORWB","MIO_EUR.S1313.OROA_ORWB","MIO_EUR.S1313.ORWB","MIO_EUR.S1314.B9","MIO_EUR.S1314.B9_OB","MIO_EUR.S1314.F4_ORWB","MIO_EUR.S1314.F5_ORWB","MIO_EUR.S1314.F71K_ORWB","MIO_EUR.S1314.F8_ASS_ORWB","MIO_EUR.S1314.F8_LIAB_ORWB","MIO_EUR.S1314.FNDL_ORWB","MIO_EUR.S1314.FNDX_ORWB","MIO_EUR.S1314.FT","MIO_EUR.S1314.GD","MIO_EUR.S1314.ORD41A_ORWB","MIO_EUR.S1314.ORNF_ORWB","MIO_EUR.S1314.OROA_ORWB","MIO_EUR.S1314.ORWB","MIO_NAC.S1.B1GQ","MIO_NAC.S1.B5GQ","MIO_NAC.S13.AF_81L","MIO_NAC.S13.B9","MIO_NAC.S13.D41PAY","MIO_NAC.S13.GD","MIO_NAC.S13.GD_F2","MIO_NAC.S13.GD_F3","MIO_NAC.S13.GD_F31","MIO_NAC.S13.GD_F32","MIO_NAC.S13.GD_F4","MIO_NAC.S13.GD_F41","MIO_NAC.S13.GD_F42","MIO_NAC.S13.IGL_F4_EA17","MIO_NAC.S13.IGL_F4_EA18","MIO_NAC.S13.IGL_F4_EA19","MIO_NAC.S13.IGL_F4_EU25","MIO_NAC.S13.IGL_F4_EU27","MIO_NAC.S13.IGL_F4_EU28","MIO_NAC.S13.P51G","MIO_NAC.S1311.B9","MIO_NAC.S1311.B9_OB","MIO_NAC.S1311.F4_ACQ_ORWB","MIO_NAC.S1311.F4_DIS_ORWB","MIO_NAC.S1311.F5_ACQ_ORWB","MIO_NAC.S1311.F5_DIS_ORWB","MIO_NAC.S1311.F71K_ORWB","MIO_NAC.S1311.F8_ASS_ORWB","MIO_NAC.S1311.F8_LIAB_ORWB","MIO_NAC.S1311.FNDL_ORWB","MIO_NAC.S1311.FNDX_ORWB","MIO_NAC.S1311.FT","MIO_NAC.S1311.GD","MIO_NAC.S1311.ORD41A_ORWB","MIO_NAC.S1311.ORNF_ORWB","MIO_NAC.S1311.OROA_ORWB","MIO_NAC.S1311.ORWB","MIO_NAC.S1311.ORWB_E","MIO_NAC.S1312.B9","MIO_NAC.S1312.B9_OB","MIO_NAC.S1312.F4_ORWB","MIO_NAC.S1312.F5_ORWB","MIO_NAC.S1312.F71K_ORWB","MIO_NAC.S1312.F8_ASS_ORWB","MIO_NAC.S1312.F8_LIAB_ORWB","MIO_NAC.S1312.FNDL_ORWB","MIO_NAC.S1312.FNDX_ORWB","MIO_NAC.S1312.FT","MIO_NAC.S1312.GD","MIO_NAC.S1312.ORD41A_ORWB","MIO_NAC.S1312.ORNF_ORWB","MIO_NAC.S1312.OROA_ORWB","MIO_NAC.S1312.ORWB","MIO_NAC.S1312.ORWB_E","MIO_NAC.S1313.B9","MIO_NAC.S1313.B9_OB","MIO_NAC.S1313.F4_ORWB","MIO_NAC.S1313.F5_ORWB","MIO_NAC.S1313.F71K_ORWB","MIO_NAC.S1313.F8_ASS_ORWB","MIO_NAC.S1313.F8_LIAB_ORWB","MIO_NAC.S1313.FNDL_ORWB","MIO_NAC.S1313.FNDX_ORWB","MIO_NAC.S1313.FT","MIO_NAC.S1313.GD","MIO_NAC.S1313.ORD41A_ORWB","MIO_NAC.S1313.ORNF_ORWB","MIO_NAC.S1313.OROA_ORWB","MIO_NAC.S1313.ORWB","MIO_NAC.S1313.ORWB_E","MIO_NAC.S1314.B9","MIO_NAC.S1314.B9_OB","MIO_NAC.S1314.F4_ORWB","MIO_NAC.S1314.F5_ORWB","MIO_NAC.S1314.F71K_ORWB","MIO_NAC.S1314.F8_ASS_ORWB","MIO_NAC.S1314.F8_LIAB_ORWB","MIO_NAC.S1314.FNDL_ORWB","MIO_NAC.S1314.FNDX_ORWB","MIO_NAC.S1314.FT","MIO_NAC.S1314.GD","MIO_NAC.S1314.ORD41A_ORWB","MIO_NAC.S1314.ORNF_ORWB","MIO_NAC.S1314.OROA_ORWB","MIO_NAC.S1314.ORWB","MIO_NAC.S1314.ORWB_E","PC_GDP.S1.B1GQ","PC_GDP.S1.B5GQ","PC_GDP.S13.AF_81L","PC_GDP.S13.B9","PC_GDP.S13.D41PAY","PC_GDP.S13.GD","PC_GDP.S13.GD_F2","PC_GDP.S13.GD_F3","PC_GDP.S13.GD_F31","PC_GDP.S13.GD_F32","PC_GDP.S13.GD_F4","PC_GDP.S13.GD_F41","PC_GDP.S13.GD_F42","PC_GDP.S13.IGL_F4_EA17","PC_GDP.S13.IGL_F4_EA18","PC_GDP.S13.IGL_F4_EA19","PC_GDP.S13.IGL_F4_EU25","PC_GDP.S13.IGL_F4_EU27","PC_GDP.S13.IGL_F4_EU28","PC_GDP.S13.P51G","PC_GDP.S1311.B9","PC_GDP.S1311.B9_OB","PC_GDP.S1311.F4_ACQ_ORWB","PC_GDP.S1311.F4_DIS_ORWB","PC_GDP.S1311.F5_ACQ_ORWB","PC_GDP.S1311.F5_DIS_ORWB","PC_GDP.S1311.F71K_ORWB","PC_GDP.S1311.F8_ASS_ORWB","PC_GDP.S1311.F8_LIAB_ORWB","PC_GDP.S1311.FNDX_ORWB","PC_GDP.S1311.FT","PC_GDP.S1311.GD","PC_GDP.S1311.ORD41A_ORWB","PC_GDP.S1311.OROA_ORWB","PC_GDP.S1311.ORWB","PC_GDP.S1311.ORWB_E","PC_GDP.S1312.B9","PC_GDP.S1312.B9_OB","PC_GDP.S1312.F4_ORWB","PC_GDP.S1312.F5_ORWB","PC_GDP.S1312.F71K_ORWB","PC_GDP.S1312.F8_ASS_ORWB","PC_GDP.S1312.F8_LIAB_ORWB","PC_GDP.S1312.FNDX_ORWB","PC_GDP.S1312.FT","PC_GDP.S1312.GD","PC_GDP.S1312.ORD41A_ORWB","PC_GDP.S1312.ORNF_ORWB","PC_GDP.S1312.OROA_ORWB","PC_GDP.S1312.ORWB","PC_GDP.S1313.B9","PC_GDP.S1313.B9_OB","PC_GDP.S1313.F4_ORWB","PC_GDP.S1313.F5_ORWB","PC_GDP.S1313.F71K_ORWB","PC_GDP.S1313.F8_ASS_ORWB","PC_GDP.S1313.F8_LIAB_ORWB","PC_GDP.S1313.FNDX_ORWB","PC_GDP.S1313.FT","PC_GDP.S1313.GD","PC_GDP.S1313.ORD41A_ORWB","PC_GDP.S1313.ORNF_ORWB","PC_GDP.S1313.OROA_ORWB","PC_GDP.S1313.ORWB","PC_GDP.S1314.B9","PC_GDP.S1314.B9_OB","PC_GDP.S1314.F4_ORWB","PC_GDP.S1314.F5_ORWB","PC_GDP.S1314.F71K_ORWB","PC_GDP.S1314.F8_ASS_ORWB","PC_GDP.S1314.F8_LIAB_ORWB","PC_GDP.S1314.FNDX_ORWB","PC_GDP.S1314.FT","PC_GDP.S1314.GD","PC_GDP.S1314.ORD41A_ORWB","PC_GDP.S1314.ORNF_ORWB","PC_GDP.S1314.OROA_ORWB","PC_GDP.S1314.ORWB"
"1","AT",1995,183907.2,NA,NA,-11306.4,7376.8,124398.7,0,82759.8,668.3,82091.5,42094.8,1031.3,41063.5,NA,NA,NA,NA,NA,NA,7184.8,-9935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1203.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-211.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176183.3,NA,NA,-10831.6,7067,119834.2,0,79284,640.2,78643.8,40550.2,993.4,39556.8,NA,NA,NA,NA,NA,NA,6883,-9517.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1152.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-202.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-6.1,4,68,0,45,0.4,44.6,23,0.6,22.5,NA,NA,NA,NA,NA,NA,3.9,-5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AT",1996,186550.1,NA,NA,-8128.9,7338.5,124352.4,0,85221.2,1018.7,84202.6,40761.6,805.9,39955.7,NA,NA,NA,NA,NA,NA,6865.4,-8078.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182132.8,NA,NA,-7936.4,7164.7,123775.9,0,83203.3,994.5,82208.7,40572.6,802.2,39770.4,NA,NA,NA,NA,NA,NA,6702.8,-7887.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-495.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-4.4,3.9,68,0,45.7,0.5,45.1,22.3,0.4,21.8,NA,NA,NA,NA,NA,NA,3.7,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AT",1997,187441.5,NA,NA,-4477.8,6769.5,117788.4,0,83465,2134,81331,34791.5,700.2,34091.2,NA,NA,NA,NA,NA,NA,5477.9,-5667.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188309.7,NA,NA,-4498.5,6800.9,119001.3,0,83851.6,2143.9,81707.7,35149.8,707.5,34442.3,NA,NA,NA,NA,NA,NA,5503.2,-5694.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2.4,3.6,63.2,0,44.5,1.1,43.4,18.7,0.4,18.3,NA,NA,NA,NA,NA,NA,2.9,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AT",1998,194497,NA,NA,-5298.8,6979.6,124559.2,0,91716.3,144.4,91572,32215.1,576.2,31638.9,NA,NA,NA,NA,NA,NA,5580.4,-5895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195828.2,NA,NA,-5335.1,7027.3,124559.2,0,92344.1,145.4,92198.7,32215.1,576.2,31638.9,NA,NA,NA,NA,NA,NA,5618.6,-5935.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2.7,3.6,63.6,0,47.2,0.1,47.1,16.5,0.3,16.2,NA,NA,NA,NA,NA,NA,2.9,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AT",1999,203418.3,NA,NA,-5282.5,7004.1,135123.3,0,104055.4,5017.8,99037.6,31067.9,661.2,30406.7,NA,NA,NA,NA,NA,NA,5725.9,-5112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203418.3,NA,NA,-5282.5,7004.1,135123.3,0,104055.4,5017.8,99037.6,31067.9,661.2,30406.7,NA,NA,NA,NA,NA,NA,5725.9,-5112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2.6,3.4,66.4,0,51.2,2.5,48.7,15.3,0.3,14.9,NA,NA,NA,NA,NA,NA,2.8,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AT",2000,213196.1,NA,NA,-4367.5,7606.6,140419.8,0,108995.4,6653.2,102342.2,31424.3,1166.5,30257.9,NA,NA,NA,NA,NA,NA,5585.7,-3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-162.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-259.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213196.1,NA,NA,-4367.5,7606.6,140419.8,0,108995.4,6653.2,102342.2,31424.3,1166.5,30257.9,NA,NA,NA,NA,NA,NA,5585.7,-3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-162.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-189.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-259.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-2,3.6,65.9,0,51.1,3.1,48,14.7,0.5,14.2,NA,NA,NA,NA,NA,NA,2.6,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AT",2001,220095.7,NA,NA,-1356.3,7953.1,146328.4,0,117213.7,4215,112998.7,29114.7,1683.7,27431,NA,NA,NA,NA,NA,NA,5207.8,-1848.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220095.7,NA,NA,-1356.3,7953.1,146328.4,0,117213.7,4215,112998.7,29114.7,1683.7,27431,NA,NA,NA,NA,NA,NA,5207.8,-1848.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-0.6,3.6,66.5,0,53.3,1.9,51.3,13.2,0.8,12.5,NA,NA,NA,NA,NA,NA,2.4,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","AT",2002,226302.6,NA,NA,-3043.4,7809.8,150019.1,0,122855.7,2519,120336.7,27163.4,1605.5,25557.9,NA,NA,NA,NA,NA,NA,5832.6,-3041.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226302.6,NA,NA,-3043.4,7809.8,150019.1,0,122855.7,2519,120336.7,27163.4,1605.5,25557.9,NA,NA,NA,NA,NA,NA,5832.6,-3041.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-1.3,3.5,66.3,0,54.3,1.1,53.2,12,0.7,11.3,NA,NA,NA,NA,NA,NA,2.6,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","AT",2003,230999.2,NA,NA,-4078.7,7373.1,151286.3,0,126838.1,1488,125350.1,24448.3,1905.6,22542.7,NA,NA,NA,NA,NA,NA,5646.3,-4089.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-129.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230999.2,NA,NA,-4078.7,7373.1,151286.3,0,126838.1,1488,125350.1,24448.3,1905.6,22542.7,NA,NA,NA,NA,NA,NA,5646.3,-4089.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-129.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-1.8,3.2,65.5,0,54.9,0.6,54.3,10.6,0.8,9.8,NA,NA,NA,NA,NA,NA,2.4,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AT",2004,241505,NA,NA,-11534.5,7283.2,156500.6,0,130122.4,1851.3,128271.1,26378.2,2801.9,23576.3,NA,NA,NA,NA,NA,NA,5688,-11143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241505,NA,NA,-11534.5,7283.2,156500.6,0,130122.4,1851.3,128271.1,26378.2,2801.9,23576.3,NA,NA,NA,NA,NA,NA,5688,-11143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-200.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,-4.8,3,64.8,0,53.9,0.8,53.1,10.9,1.2,9.8,NA,NA,NA,NA,NA,NA,2.4,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
