"Country"	"CHES.party.id"	"ParlGov.party.id"	"Verified"	"Abnormalities"	"CHES.Party.Abbrev"	"Parlgov.Party.Abbrev"	"CHES.Party.Name"	"Parlgov.Party.Name"	"CHES.Party.Name.English"	"Parlgov.Party.Name.English"
"Germany"	304	772	TRUE	NA	"Gr√ºnen"	"Grue"	"B√ºndnis ‚Äô90/Die Gr√ºnen"	"B¸ndnis 90 / Die Gr¸nen"	"Alliance 90/The Greens"	"Alliance 90 / Greens"
"Germany"	305	NA	NA	NA	"REP"	NA	"Republikaner"	NA	"Republikaner"	NA
"Germany"	306	791	TRUE	NA	"PDS;Linkspartei/PD"	"PDS"	"Partei des Demokratischen Sozialismus;Die Linkspartei/Partei des Demokratischen Sozialismus"	"Partei des Demokratischen Sozialismus"	"Party of Democratic Socialism;Left Party/Party of Democratic Socialism"	"Party for Democratic Socialism"
"Germany"	306	1127	TRUE	NA	"PDS;Linkspartei/PD"	NA	"Partei des Demokratischen Sozialismus;Die Linkspartei/Partei des Demokratischen Sozialismus"	NA	"Party of Democratic Socialism;Left Party/Party of Democratic Socialism"	NA
"Germany"	308	1180	TRUE	NA	"CSU"	"CSU"	"Christlich Soziale Union in Bayern"	"Christlich Soziale Union"	"Christian Social Union in Bavaria"	"Christian Social Union"
"Germany"	309	NA	NA	NA	"DVU"	NA	"Deutsche Volksunion"	NA	"German People‚Äôs Union"	NA
"Germany"	310	NA	NA	NA	"AfD"	NA	"Alternative f√ºr Deutschland"	NA	"Alternative for Germany"	NA
"Germany"	311	NA	NA	NA	"Piraten"	NA	"Piratenpartei Deutschland"	NA	"Pirate Party of Germany"	NA
"Germany"	312	NA	NA	NA	"DieTier"	NA	"Mensch Umwelt Tierschutz"	NA	"Human Environment Animal Protection"	NA
"Greece"	401	1338	TRUE	NA	"PASOK"	"PASOK"	"Panellinio Sosialistik√≥ K√≠nima"	"Panellinio SosialistikÛ KÌnima"	"Panhellenic Socialist Movement"	"Panhellenic Socialist Movement"
"Greece"	402	47	TRUE	NA	"ND"	"ND"	"N√©a Dimokrat√≠a"	"NÈa ?imokratÌa"	"New Democracy"	"New Democracy"
"Greece"	403	1441	TRUE	NA	"SYN; SYRIZA"	"SYN"	"Synaspism√≥s t√Øs Arister√°s kai t√Øs Pro√≥dou;Synaspism√≥‚Äôs Rizospastik√≠s Arister√°s"	"SynaspismÛs"	"Coalition of the Left and Progress;Coalition of the Radical Left"	"Synaspismos"
"Greece"	403	1592	TRUE	TRUE	"SYN; SYRIZA"	"SRA"	"Synaspism√≥s t√Øs Arister√°s kai t√Øs Pro√≥dou;Synaspism√≥‚Äôs Rizospastik√≠s Arister√°s"	"SynaspismÛs RizospastikÌs Arister·s"	"Coalition of the Left and Progress;Coalition of the Radical Left"	"Coalition of the Radical Left"
"Greece"	404	614	TRUE	NA	"KKE"	"KKE"	"Kommounistik√≥ K√≥mma Ell√°das"	"KommounistikÛ KÛmma Ell·das"	"Communist Party of Greece"	"Communist Party of Greece"
"Greece"	408	NA	NA	NA	"POLA"	NA	"Politiki Anixi"	NA	"Political Spring"	NA
"Greece"	409	720	TRUE	NA	"DIKKI"	"DIKKI"	"Dimokratiko Kinoniko Kinima"	"Dimokratiko Koinoniko Kinima"	"Democratic Social Movement"	"Democratic Social Movement"
"Greece"	410	1179	TRUE	NA	"LAOS"	"LAOS"	"La√Øk√≥s Orth√≥doxos Synagerm√≥s"	"LaÔkÛs OrthÛdoxos SynagermÛs"	"Popular Orthodox Rally"	"Popular Orthodox Rally"
"Greece"	411	NA	NA	NA	"OP"	NA	"Oikologoi Prasinoi"	NA	"Ecologist Greens"	NA
"Greece"	412	2091	NA	NA	"ANEL"	"AE"	"Anexartitoi Ellines"	"Anexartitoi Ellines"	"Independent Greeks"	"Independent Greeks"
"Greece"	413	NA	NA	NA	"Potami"	NA	"To Potami"	NA	"The River"	NA
"Greece"	414	2093	NA	NA	"DIMAR"	"DIMAR"	"Dimokratiki Aristera"	"Dimokratiki Aristera"	"Democratic Left"	"Democratic Left"
"Greece"	415	2092	NA	NA	"XA"	"LS-CA"	"La√Øk√≥s S√Ωndesmos‚ÄîChrys√≠ Avg√≠"	"Laikos Syndesmos - Chrysi Avg"	"Popular Association‚ÄîGolden Dawn"	"Peopleís Association ñ Golden Dawn"
"Spain"	501	902	TRUE	NA	"PSOE"	"PSOE"	"Partido Socialista Obrero Espa√É≈õol"	"Partido Socialista Obrero EspaÒol"	"Spanish Socialist Workers‚Äô Party"	"Spanish Socialist Workers Party"
"Spain"	502	645	TRUE	NA	"PP"	"PP"	"Partido Popular"	"Partido Popular"	"People‚Äôs Party"	"Popular Party"
"Spain"	504	118	TRUE	NA	"IU"	"IU/PCE"	"Izquierda Unida"	"Izquierda Unida / Partido Communista"	"United Left"	"United Left / Communist Party"
"Spain"	505	894	TRUE	NA	"CiU"	"CiU"	"Converg√®ncia i Uni√≥"	"ConvergËncia i UniÛ"	"Convergence and Unity"	"Convergence and Unity"
"Spain"	506	1361	TRUE	NA	"PNV"	"PNV"	"Euzko Alderdi Jeltzalea/ Partido Nacionalista Vasco"	"Partido Nacionalista Vasco ñ Euzko Alderdi Jeltzalea"	"Basque Nationalist Party"	"Basque National Party"
"Spain"	507	845	TRUE	NA	"EA"	"EA"	"Eusko Alkartasuna"	"Eusko Alkartasuna"	"Basque Solidarity"	"Basque Solidarity"
"Spain"	508	NA	NA	NA	"EH"	NA	"Euskal Herritarrok"	NA	"We Basque Citizens"	NA
"Spain"	510	1221	TRUE	NA	"PAR"	"PAR"	"Partido Aragon√©s"	"Partido AragonÈs Regionalista"	"Aragonese Party"	"Aragonese Regionalist Party"
"Spain"	511	757	TRUE	NA	"ERC"	"ERC"	"Esquerra Republicana de Catalunya"	"Esquerra Republicana de Catalunya"	"Republican Left of Catalonia"	"Republican Left of Catalonia"
"Spain"	512	443	TRUE	NA	"UV"	"UV"	"Uni√≥n Valenciana"	"Union Valenciana"	"Valencian Union"	"Valencian Union"
"Spain"	513	520	TRUE	NA	"BNG"	"BNG"	"Bloque Nacionalista Galego"	"Bloque Nacionalista Galego"	"Galician Nationalist Bloc"	"Galician Nationalist Block"
"Spain"	514	NA	NA	NA	"VERDE"	NA	"Los Verdes"	NA	"The Greens"	NA
"Spain"	516	370	TRUE	NA	"PA"	"PA"	"Partido Andalucista"	"Partidu Andalucista"	"Andalusian Party"	"Andalusian Party"
"Spain"	517	234	TRUE	NA	"CC"	"CC"	"Coalicion Canaria"	"CoaliciÛn Canaria"	"Coalicion Canaria"	"Canary Coalition"
"Spain"	518	941	TRUE	NA	"IC"	"ICV"	"Iniciativa per Catalunya"	"Iniciativa per Catalunya Verds"	"Initiative for Catalonia"	"Initiative for Catalonia Greens"
"Spain"	519	1974	TRUE	NA	"PSC"	"PSC-PSOE"	"Partit dels Socialistes de Catalunya"	"Partit dels Socialistes de Catalunya"	"Catalan Socialist Party"	"Socialists' Party of Catalonia"
"Spain"	520	1367	TRUE	NA	"CHA"	"CA"	"Chunta Aragonesista"	"Chunta Aragonesista"	"Aragonese Council"	"Aragonese Council"
"Spain"	521	NA	NA	NA	"CpE"	NA	"Coalicion por Europa"	NA	"Coalition for Europe"	NA
"Spain"	522	NA	NA	NA	"EdP-V"	NA	"Europa de los Pueblos-Los Verdes"	NA	"Europe of the Peoples-Greens"	NA
"Spain"	523	551	TRUE	NA	"UPD"	"UPyD"	"Union Progreso y Democracia"	"UniÛn Progreso y Democracia"	"Union, Progress, and Democracy"	"Union, Progress and Democracy"
"Spain"	524	1975	NA	NA	"Amaiur"	"A"	"Amaiur"	"Amaiur"	"Amaiur"	"Amaiur"
"Spain"	525	NA	NA	NA	"Podemos"	NA	"Podemos"	NA	"We Can"	NA
"Spain"	526	NA	NA	NA	"Cs"	NA	"Ciudadanos‚ÄîPartido de la Ciudadan√≠a"	NA	"Citizens‚ÄîParty of the Citizenry"	NA
"France"	601	686	TRUE	NA	"PCF"	"PCF"	"Parti Communiste Fran√Éƒüais"	"Parti communiste franÁaise"	"French Communist Party"	"French Communist Party"
"France"	602	1539	TRUE	NA	"PS"	"PS"	"Parti Socialiste"	"Parti socialiste"	"Socialist Party"	"Socialist Party"
"France"	603	1492	TRUE	NA	"PRG"	"PRG"	"Parti Radical de Gauche"	"Parti radical de gauche"	"Left Radical Party"	"Radical Party of the Left"
"France"	605	873	TRUE	NA	"VERTS"	"V"	"Les Verts"	"Les Verts"	"Green Party"	"Greens"
"France"	609	138	TRUE	NA	"RPR; UMP"	"RPR"	"Rassemblement pour la R√©publique;Union pour un Mouvement Populaire"	"Rassemblement pour la RÈpublique"	"Rally for the Republic;Union for Popular Movement"	"Rally for the Republic"
"France"	609	658	TRUE	NA	"RPR; UMP"	"UMP"	"Rassemblement pour la R√©publique;Union pour un Mouvement Populaire"	"Union pour un mouvement populaire"	"Rally for the Republic;Union for Popular Movement"	"Union for a Popular Movement"
"France"	610	270	TRUE	NA	"FN"	"FN"	"Front National"	"Front National"	"National Front"	"National Front"
"France"	612	1101	TRUE	NA	"RPF/MPF; MPF"	"MF"	"Rassemblement pour la France/Mouvement Pour la France;Mouvement Pour la France"	"Mouvement pour la France"	"Rally for France/Movement for France;Movement for France"	"Movement for France"
"France"	613	509	TRUE	NA	"UDF"	"UDF"	"Union pour la D√©mocracie Fran√Éƒüaise"	"Union pour la dÈmocratie franÁaise"	"Union for French Democracy"	"Union for French Democracy"
"France"	614	NA	NA	NA	"LO-LCR"	NA	"Lutte Ouvri√®re/Ligue communiste r√©volutionnaire"	NA	"Workers Fight/RevolutionaryCommunist League"	NA
"France"	615	NA	NA	NA	"DL"	NA	"D√©mocratie Lib√©rale"	NA	"Liberal Democracy"	NA
"France"	617	NA	NA	NA	"MEI"	NA	"Mouvement Ecologiste Ind√©pendant"	NA	"Independent Ecological Movement"	NA
"France"	618	NA	NA	NA	"D"	NA	"La Droite"	NA	"The Right"	NA
"France"	619	NA	NA	NA	"CPNT"	NA	"Chasse, P√™che, Nature, Traditions"	NA	"Hunting, Fishing, Nature, Tradition Party"	NA
"France"	620	NA	NA	NA	"MN"	NA	"Mouvement National R√©publicain"	NA	"National Republican Movement"	NA
"France"	621	NA	NA	NA	"NC"	NA	"Nouveau Centre"	NA	"New Center"	NA
"France"	622	2081	NA	NA	"PRV"	"PR"	"Parti radical"	"Parti radical"	"Radical Party"	"Radical Party"
"France"	623	2078	NA	NA	"AC"	"AC"	"Alliance centriste"	"Alliance centriste"	"Centrist Alliance"	"Centrist Alliance"
"France"	624	NA	NA	NA	"PG"	NA	"Parti de Gauche"	NA	"Left Party"	NA
"France"	625	NA	NA	NA	"Ens"	NA	"Ensemble"	NA	"Together"	NA
"Ireland"	701	280	TRUE	NA	"FF"	"FF"	"Fianna Fail"	"Fianna F·il"	"Soldiers of Destiny"	"Fianna Fail (Soldiers of Destiny)"
"Ireland"	702	1393	TRUE	NA	"FG"	"FG"	"Fine Gael"	"Fine Gael"	"Family of the Irish"	"Fine Gael (Familiy of the Irish)"
"Ireland"	703	318	TRUE	NA	"Lab"	"Lab"	"Labour"	"P·irti Lucht Oibre"	"Labour"	"Labour Party"
"Ireland"	705	1573	TRUE	NA	"GP"	"Greens"	"Green Party"	"Green Party-Comhaontas Glas"	"Green Party"	"Green Party"
"Ireland"	706	651	TRUE	NA	"PD"	"PD"	"Progressive Democrats"	"An Pairti Daonlathach"	"Progressive Democrats"	"Progressive Democrats"
"Ireland"	707	433	TRUE	NA	"SF"	"SF"	"Sinn Fein"	"Sinn FÈin"	"We Ourselves"	"Sinn Fein"
"Ireland"	708	1014	TRUE	NA	"SP"	"SP"	"Socialist Party"	"P·irtÌ SÛisialach"	"Socialist Party"	"Socialist Party"
"Ireland"	709	1804	NA	NA	"PBPA"	"PBPA"	"People Before Profit Alliance"	"People Before Profit Alliance"	"People Before Profit Alliance"	"People Before Profit Alliance"
"Italy"	802	809	TRUE	NA	"PDS; DS"	"DS"	"Partito Democratico della Sinistra; Democratici di Sinistra"	"Democratici di Sinistra"	"Democratic Party of the Left; Democrats of the Left"	"Left-Wing Democrats"
"Italy"	803	1321	TRUE	NA	"RC"	"PRC"	"Rifondazione Comunista"	"Partito della Rifondazione Comunista"	"Communist Refoundation Party"	"Communist Refoundation Party"
"Italy"	805	373	TRUE	NA	"AN"	"AN"	"Alleanza Nazionale"	"Alleanza Nazionale"	"National Alliance"	"National Alliance"
"Italy"	806	93	TRUE	NA	"PRI"	"PRI"	"Partito Repubblicano Italiano"	"Partito Repubblicano Italiano"	"Italian Republican Party"	"Republican Party"
"Italy"	807	1278	TRUE	NA	"PSDI; SDI"	"SDI"	"Partito Socialista Democratico Italiano;Socialisti Democratici Italiani"	"Socialisti Democratici Italiani"	"Italian Democratic Socialist Party;Italian Democratic Socialists"	"Italian Democrat Socialists"
"Italy"	808	910	TRUE	NA	"Verdi"	"FdV"	"Federazione dei Verdi"	"Federazione dei Verdi"	"Federation of Greens"	"Federation of the Greens"
"Italy"	811	1436	TRUE	NA	"LN"	"LN"	"Lega Nord"	"Lega Nord"	"Northern League"	"North League"
"Italy"	813	NA	NA	NA	"RAD"	NA	"Radicali Italiani"	NA	"Italian Radicals"	NA
"Italy"	814	627	TRUE	NA	"CCD; UDC"	"CCD/CDU"	"Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro"	"Centro Cristiano Democratico  / Cristiani Democratici Uniti"	"Christian Democratic Center;Union of Christian and Center Democrats"	"Christian Democratic Center / United Christian Democrats"
"Italy"	814	226	TRUE	NA	"CCD; UDC"	"UDC"	"Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro"	"Unione dei Democratici Cristiani e Democratici di Centro"	"Christian Democratic Center;Union of Christian and Center Democrats"	"Union of Christian and Centre Democrats"
"Italy"	815	596	TRUE	NA	"FI"	"FI"	"Forza Italia"	"Forza Italia"	"Forward Italy"	"Go Italy"
"Italy"	817	NA	NA	NA	"CU/UD"	NA	"Unione Democratica"	NA	"Democratic Union"	NA
"Italy"	818	627	TRUE	NA	"CDU"	"CCD/CDU"	"Cristiani Democratici Uniti"	"Centro Cristiano Democratico  / Cristiani Democratici Uniti"	"United Christian Democrats"	"Christian Democratic Center / United Christian Democrats"
"Italy"	819	961	TRUE	NA	"DEM; DL"	"ID"	"I Democratici; Democrazia √® Libert√†-La Margherita"	"I Democratici"	"The Democrats; Democracy is Freedom‚ÄîThe Daisy"	"Democracy"
"Italy"	819	1005	TRUE	NA	"DEM; DL"	"DL-M"	"I Democratici; Democrazia √® Libert√†-La Margherita"	"Democrazia Ë Libert‡ ñ La Margherita"	"The Democrats; Democracy is Freedom‚ÄîThe Daisy"	"Democracy is Freedom -- The Daisy"
"Italy"	820	NA	NA	NA	"LB"	NA	"Lista Bonino"	NA	"Bonino List"	NA
"Italy"	821	NA	NA	NA	"MS"	NA	"Movimento Sociale Fiamma Tricolore"	NA	"Tricolor Flame Social Movement"	NA
"Italy"	822	NA	NA	NA	"PdUP"	NA	"Partito di Unit√ÉƒÉ Proletaria"	NA	"Party of Proletarian Unity for Communism"	NA
"Italy"	823	NA	NA	NA	"PPI"	NA	"Partito Popolare Italiano"	NA	"Italian Popular Party"	NA
"Italy"	824	NA	NA	NA	"PsDA"	NA	"Partito Sardo d‚ÄôAzione"	NA	"Sardinian Action Party"	NA
"Italy"	825	630	TRUE	NA	"RI"	"RiI"	"Rinnovamento Italiano"	"Rinnovamento Italiano"	"Italian Renewal-Dini List"	"Italian Renewal"
"Italy"	826	NA	NA	NA	"SEG"	NA	"Patto Segni"	NA	"Segni Pact"	NA
"Italy"	827	1030	TRUE	NA	"SVP"	"SVP"	"S√ºdtiroler Volkspartei"	"S¸dtiroler Volkspartei"	"South Tyrolean People‚Äôs Party"	"South Tyrol Peoples Party"
"Italy"	828	693	TRUE	NA	"IdV"	"IdV"	"Di Pietro-Italia dei Valori"	"Italia dei Valori"	"Italy of Values"	"Italy of Values"
"Italy"	829	399	TRUE	NA	"UDEUR"	"UDEUR"	"Popolari-UDEUR"	"Unione Democratici per l'Europa"	"Popular-UDEUR"	"Union of Democrats for Europe"
"Italy"	830	NA	NA	NA	"PP"	NA	"Partito dei Pensionati"	NA	"Pensioners‚Äô Party"	NA
"Italy"	832	NA	NA	NA	"MRE"	NA	"Movimento Repubblicani Europei"	NA	"European Republican Movement"	NA
"Italy"	835	1287	TRUE	NA	"NPSI"	"NPSI"	"Nuovo Partito Socialista Italiano"	"Nuovo Partito Socialisti Italiani"	"New Italian Socialist Party"	"New PSI"
"Italy"	836	1661	TRUE	NA	"PdCI"	"PdCI"	"Partito dei Comunisti Italiani"	"Partito dei Comunisti Italiani"	"Party of Italian Communists"	"Party of the Italian Communists"
"Italy"	837	382	TRUE	NA	"PD"	"PD"	"Partido Democratico"	"Partito Democratico"	"Democratic Party"	"Democratic Party"
"Italy"	838	NA	NA	NA	"SL"	NA	"Sinistra e Liberta"	NA	"Left and Freedom"	NA
"Italy"	839	NA	NA	NA	"PSI"	NA	"Partito Socialista Italiano"	NA	"Italian Socialist Party"	NA
"Italy"	840	1040	TRUE	NA	"MpA"	"MpA"	"Movimento per le Autonomie"	"Movimento per l'Autonomia"	"Movement for Autonomies"	"Movement for Autonomy"
"Italy"	841	1661	TRUE	NA	"PCI"	"PdCI"	"Partito dei Comunisti Italian"	"Partito dei Comunisti Italiani"	"Italian Communist Party"	"Party of the Italian Communists"
"Italy"	842	809	TRUE	NA	"SD"	"DS"	"Sinistra Democratica"	"Democratici di Sinistra"	"Democratic Left"	"Left-Wing Democrats"
"Italy"	843	NA	NA	NA	"CD"	NA	"Centro Democratico‚ÄîDiritti e Libert√°"	NA	"Democratic Centre"	NA
"Italy"	844	NA	NA	NA	"FDL"	NA	"Fratelli d‚ÄôItalia"	NA	"Brothers of Italy"	NA
"Italy"	845	NA	NA	NA	"M5S"	NA	"MoVimento Cinque Stelle"	NA	"Five Star Movement"	NA
"Italy"	846	NA	NA	NA	"SC"	NA	"Scelta Civica"	NA	"Civic Choice"	NA
"Italy"	847	NA	NA	NA	"VdA"	NA	"Vall√©e d‚ÄôAoste"	NA	"Aosta Valley"	NA
"Italy"	848	NA	NA	NA	"NCD"	NA	"Nuovo Centrodestra"	NA	"New Centre-Right"	NA
"Netherlands"	1001	235	TRUE	NA	"CDA"	"CDA"	"Christen-Democratisch Appel"	"Christen Democratisch AppËl"	"Christian Democratic Appeal"	"Christian Democrats"
"Netherlands"	1002	742	TRUE	NA	"PvdA"	"PvdA"	"Partij van de Arbeid"	"Partij van de Arbeid"	"Labour Party"	"Labour"
"Netherlands"	1003	1409	TRUE	NA	"VVD"	"VVD"	"Volkspartij voor Vrijheid en Demokratie"	"Volkspartij voor Vrijheid en Democratie"	"People‚Äôs Party for Freedom and Democracy"	"People's Party for Freedom and Democracy"
"Netherlands"	1004	345	TRUE	NA	"D66"	"D66"	"Democraten 66"	"Democraten 66"	"Democrats 66"	"Libertarians"
"Netherlands"	1005	756	TRUE	NA	"GL"	"GL"	"Groen Links"	"GroenLinks"	"Green Left"	"GreenLeft"
"Netherlands"	1006	1251	TRUE	NA	"SGP"	"SGP"	"Staatkundig Gereformeerde Partij"	"Staatkundig Gereformeerde Partij"	"Political Reformed Party"	"Political Reformed Party"
"Netherlands"	1007	625	TRUE	NA	"GPV"	"GPV"	"Gereformeerd Politiek Verbond"	"Gereformeerd Politiek Verbond"	"Reformed Political League"	"Reformed Political League"
"Netherlands"	1008	212	TRUE	NA	"RPF"	"RPF"	"Reformatorische Politieke Federatie"	"Reformatorisch Politieke Federatie"	"Reformational Political Federation"	"Reformatory Political Federation"
"Netherlands"	1009	NA	NA	NA	"CD"	NA	"Centrum Democraten"	NA	"Center Democrats"	NA
"Netherlands"	1014	357	TRUE	NA	"SP"	"SP"	"Socialistische Partij"	"Socialistische Partij"	"Socialist Party"	"Socialist Party"
"Netherlands"	1015	456	TRUE	NA	"LPF"	"LPF"	"Lijst Pim Fortuyn"	"Lijst Pim Fortuyn"	"Lijst Pim Fortuyn"	"Fortuyn List"
"Netherlands"	1016	1206	TRUE	NA	"CU"	"CU"	"Christen Unie"	"ChristenUnie ñ Staatkundig Gereformeerde Partij"	"Christian Union"	"ChristianUnion -- Reformed Political Party"
"Netherlands"	1017	1501	TRUE	NA	"PVV"	"PVV"	"Partij voor de Vrijheid"	"Partij voor de Vrijheid"	"Party for Freedom"	"Party for Freedom"
"Netherlands"	1018	990	TRUE	NA	"PvdD"	"PvdD"	"Partij voor de Dieren"	"Partij voor de Dieren"	"Party for the Animals"	"Party for the Animals"
