"Country"	"CHES.party.id"	"ParlGov.party.id"	"Verified"	"Abnormalities"	"CHES.Party.Abbrev"	"Parlgov.Party.Abbrev"	"CHES.Party.Name"	"Parlgov.Party.Name"	"CHES.Party.Name.English"	"Parlgov.Party.Name.English"
"Belgium"	102	1378	TRUE	NA	"PS"	"PS"	"Parti Socialiste"	"Parti Socialiste"	"Socialist Party"	"Francophone Socialist Party"
"Belgium"	103	1029	TRUE	NA	"SP; SPA"	"SP"	"Socialistische Partij; Socialistische Partij Anders-Spirit"	"Socialistische Partij"	"Socialist Party; Socialist Party Different-Spirit"	"Socialist Party"
"Belgium"	103	1113	TRUE	NA	"SP; SPA"	"SPA/Spirit"	"Socialistische Partij; Socialistische Partij Anders-Spirit"	"Socialistische Partij Anders / Sociaal-Liberale Partij"	"Socialist Party; Socialist Party Different-Spirit"	"Socialist Party Different / Social Liberal Party"
"Belgium"	104	161	TRUE	NA	"ECOLO"	"Ecolo"	"Ecolo"	"…cologistes ConfÈdÈrÈs pour l'organisation de luttes originales"	"Ecolo"	"Confederated ecologists for the organisation of original struggles"
"Belgium"	105	1594	TRUE	NA	"AGALEV; Groen"	"AGL-Gr"	"Agalev; Groen!"	"Agalev ñ Groen"	"Agalev; Green!"	"Agalev -- Groen"
"Belgium"	106	915	TRUE	NA	"PRL; MR"	"MR"	"Parti R√©formateur Lib√©ral; Mouvement R√©formateur"	"Mouvement RÈformateur"	"Liberal Reformist Party; Reformist Movement"	"Reformist Movement"
"Belgium"	106	168	TRUE	TRUE	"PRL; MR"	"PRL/FDF"	"Parti R√©formateur Lib√©ral; Mouvement R√©formateur"	"Parti RÈformateur LibÈral / Front DÈmocratique des Francophones"	"Liberal Reformist Party; Reformist Movement"	"Liberal Reformation Party / Francophone Democratic Front"
"Belgium"	107	NA	NA	NA	"VLD"	NA	"Vlaamse Liberalen en Democraten"	NA	"Flemish Liberals and Democrats"	NA
"Belgium"	108	1192	TRUE	NA	"PSC; CDH"	"PSC"	"Parti Social Chr√©tien; Centre D√©mocrate Humaniste"	"Parti Social ChrÈtien"	"Christian Social Party; Humanist Democratic Centre"	"Francophone Christian Social Party"
"Belgium"	109	723	TRUE	NA	"CVP; CD&V"	"CVP"	"Christelijke Volkspartij; Christen-Democratisch & Vlaams"	"Christelijke Volkspartij"	"Christian People‚Äôs Party; Christian Democratic & Flemish"	"Flemish Christian Peoples Party"
"Belgium"	109	972	TRUE	NA	"CVP; CD&V"	"CD&V/N-VA"	"Christelijke Volkspartij; Christen-Democratisch & Vlaams"	"Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie"	"Christian People‚Äôs Party; Christian Democratic & Flemish"	"Christian-Democrat and Flemish/New Flemish Alliance"
"Belgium"	109	1310	TRUE	TRUE	"CVP; CD&V"	"CD&V"	"Christelijke Volkspartij; Christen-Democratisch & Vlaams"	"Christen-Democratisch en Vlaams"	"Christian People‚Äôs Party; Christian Democratic & Flemish"	"Christian Democrats & Flemish"
"Belgium"	110	290	TRUE	NA	"VU; NVA"	"VU"	"Volksunie; Nieuw-Vlaamse Alliantie"	"Volksunie"	"People‚Äôs Union; New Flemish Alliance"	"People's Union"
"Belgium"	110	501	TRUE	NA	"VU; NVA"	"N-VA"	"Volksunie; Nieuw-Vlaamse Alliantie"	"Nieuw-Vlaamse Alliantie"	"People‚Äôs Union; New Flemish Alliance"	"New Flemish Alliance"
"Belgium"	111	969	TRUE	NA	"FDF/RW"	"FDF"	"Front D√©mocratique des Francophones"	"Front DÈmocratique des Francophones"	"Francophone Democratic Front"	"Francophone Democratic Front"
"Belgium"	112	993	TRUE	NA	"VB"	"VB"	"Vlaams Block; Vlaams Belang"	"Vlaams Blok"	"Flemish Bloc; Flemish Interest"	"Flemish Block"
"Belgium"	113	NA	NA	NA	"MCC"	NA	"Mouvement des Citoyens pour le Changement"	NA	"Citizens‚Äô Movement for Change"	NA
"Belgium"	114	NA	NA	NA	"ID21"	NA	"ID21"	NA	"ID21"	NA
"Belgium"	115	171	TRUE	NA	"FN"	"FN"	"Front National"	"Front National"	"National Front"	"National Front"
"Belgium"	117	221	TRUE	NA	"LDD"	"LD"	"Lijst DeDecker"	"Lijst Dedecker"	"List Dedecker"	"List Dedecker"
"Belgium"	118	NA	NA	NA	"SLP"	NA	"Sociaal-Liberale Partij"	NA	"Social-Liberal Party"	NA
"Belgium"	119	NA	NA	NA	"PVDA"	NA	"Partij van de Arbeid in Belgie"	NA	"Workers Party of Belgium"	NA
"Belgium"	120	438	NA	NA	"PP"	"Pp"	"Parti Populaire"	"Parti populaire"	"People‚Äôs Party"	"People's Party"
"Denmark"	201	1629	TRUE	NA	"SD"	"Sd"	"Socialdemokraterne"	"Socialdemokraterne"	"Social Democrats"	"Social Democrats"
"Denmark"	202	211	TRUE	NA	"RV"	"RV"	"Det Radikale Venstre"	"Det Radikale Venstre"	"Radical Left-Social Liberal Party"	"Danish Social-Liberal Party"
"Denmark"	203	590	TRUE	NA	"KF"	"KF"	"Konservative Folksparti"	"Konservative"	"Conservative People‚Äôs Party"	"Conservatives"
"Denmark"	204	1324	TRUE	NA	"CD"	"CD"	"Centrum-Demokraterne"	"Centrumdemokraterne"	"Centre Democrats"	"Centre Democrats"
"Denmark"	206	1644	TRUE	NA	"SF"	"SF"	"Socialistisk Folkeparti"	"Socialistisk Folkeparti"	"Socialist People‚Äôs Party"	"Socialist Peoples Party"
"Denmark"	210	1331	TRUE	NA	"KRF"	"KrF"	"Kristeligt Folkeparti"	"Kristeligt Folkeparti"	"Christian People‚Äôs Party"	"Christian People's Party"
"Denmark"	211	1605	TRUE	NA	"V"	"V"	"Venstre, Danmarks Liberale Parti"	"Venstre"	"Venstre, Liberal Party of Denmark"	"Liberal Party of Denmark"
"Denmark"	212	978	TRUE	NA	"FP"	"FrP"	"Fremskridtspartiet"	"Fremskridtspartiet"	"Progress Party"	"Progress Party"
"Denmark"	213	306	TRUE	NA	"EL"	"Enh"	"Enhedslisten"	"Enhedslisten / De R¯d-Gr¯nne"	"Unity List-Red/Green Alliance"	"Red-Green Alliance"
"Denmark"	215	1418	TRUE	NA	"DF"	"DF"	"Dansk Folkeparti"	"Dansk Folkeparti"	"Danish People‚Äôs Party"	"Danish Peoples Party"
"Denmark"	216	NA	NA	NA	"JuniB"	NA	"Junibevaegnelsen"	NA	"June Movement"	NA
"Denmark"	217	NA	NA	NA	"FolkB"	NA	"Folkebev√¶gelsen mod EU"	NA	"People‚Äôs Movement Against the EU"	NA
"Denmark"	218	376	TRUE	NA	"LA"	"NLA"	"Liberal Alliance"	"Ny/Liberal Alliance"	"Liberal Alliance"	"New/Liberal Alliance"
"Germany"	301	808	TRUE	NA	"CDU"	"CDU"	"Christlich Demokratische Union"	"Christlich Demokratische Union"	"Christian Democratic Union"	"Christian Democratic Union"
"Germany"	302	558	TRUE	NA	"SPD"	"SPD"	"Sozialdemokratische Partei Deutschlands"	"Sozialdemokratische Partei Deutschlands"	"Social Democratic Party of Germany"	"Social Democratic Party of Germany"
"Germany"	303	543	TRUE	NA	"FDP"	"FDP"	"Freie Demokratische Partei"	"Freie Demokratische Partei"	"Free Democratic Party"	"Free Democratic Party"
