Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR 2001-2013,Selected Countries
Norway,Mil EURO,2124.557014,2734.623602,2614.871457,2490.51942,2815.017992,2343.036933,2327.926703,2070.982201,2266.180262,2363.323627,2378.376124,2415.382368,2289.353538,0.006244932,FALSE
Poland,Mil EURO,3390.450116,3215.407193,2953.801209,2837.607597,3110.713075,3155.062134,3603.677147,3972.966467,3607.349034,3884.79498,3827.232987,3919.722186,3931.47096,0.012414002,FALSE
Portugal,Mil EURO,2611.99133,2099.666572,1916.075434,1932.933537,2119.7312,2065.321574,1995.174484,1876.728744,2075.742941,1984.858385,2062.298734,1886.226673,1850.74,-0.028302378,FALSE
Romania,Mil EURO,0,0,0,1917.985985,1811.021112,1599.672182,1661.570118,1814.116003,1851.342661,1752.45403,1485.125372,1583.935776,1434.200603,,TRUE
Serbia*,Mil EURO,,,,,,,,,,,,0,0,,FALSE
Slovakia,Mil EURO,0,0,0,434.154412,435.5469551,471.0714352,505.530759,527.9064743,560.9000733,550.5804378,537.5589002,530.7200778,557.232,,FALSE
Slovenia,Mil EURO,0,0,0,287.5891264,306.5460277,331.0458236,329.8665682,368.5358083,390.9697508,368.4074463,388.2302027,336.267077,313.973,,FALSE
Spain,Mil EURO,6619.020811,6586.837605,6427.08601,6364.589056,6360.866136,6560.105389,6683.134001,6905.065124,7211.157398,7103.286026,6559.328104,6231.807703,5498.064,,TRUE
Sweden,Mil EURO,,,,,,1022,1373,1160,,1236,,0,0,,FALSE
Switzerland,Mil EURO,,,,,,,,,,,,0,0,,FALSE
Turkey,Mil EURO,13968.64962,10417.67465,7846.771341,7181.397761,7727.28678,7289.051452,7086.270524,6875.233715,5881.641221,6541.028922,6280.534699,6446.258432,6226.244431,-0.065119764,FALSE
United Kingdom,Mil EURO,20506.46094,20573.21276,19106.03015,19403.46544,22641.0236,22391.00428,22459.9889,18997.41476,17424.82389,17198.81067,17716.10768,17827.54441,15919.33016,-0.020879434,TRUE
