Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR 2001-2013,Selected Countries
Albania,Mil EURO,0,0,0,0,0,0,0,0,128.3914874,114.6039353,113.5717437,101.4277858,100.5370595,,FALSE
Austria,Mil EURO,,,,,,1685.184017,1671.935819,1681.943793,1697.186664,1694.148405,,0,0,,FALSE
Belgium,Mil EURO,2948.582141,2965.009319,3039.878916,3008.166858,2969.366029,2938.152546,3304.058488,3368.163207,3238.690693,3146.217386,3121.346812,3196.475389,3052.28,0.002884521,FALSE
Bosnia & Herzegovina,Mil EURO,,,,,,,,,,,,0,0,,FALSE
Bulgaria,Mil EURO,0,0,0,437.7219211,411.0486813,421.967558,421.1286371,366.6680557,451.8693277,465.3019817,391.783384,360.5663496,426.5430716,,TRUE
Croatia,Mil EURO,0,0,0,0,0,0,0,0,631.4963277,571.1077391,553.3673488,463.0986488,434.5918221,,TRUE
Cyprus,Mil EURO,,,,,,406.5727876,372.1587203,369.8283858,410.5528232,413.2457088,0,0,0,,FALSE
Czech Republic,Mil EURO,717.4839507,817.725013,779.4585646,889.7085788,916.8525991,988.9750684,956.3329899,1124.022339,1049.750038,1044.676714,1026.800917,1069.353187,1004.679493,0.028453386,FALSE
Denmark,Mil EURO,1926.530828,1900.223405,1834.639815,1889.315986,1828.483883,1760.397372,1763.600698,1848.048347,1914.150452,1804.048443,1761.926499,1709.637992,1717.94345,-0.009503964,FALSE
Estonia,Mil EURO,,,,5.270869511,5.738215155,5.508380799,6.634296452,7.817564876,7.757023633,6.133035797,5.955411399,6.774124493,9.9653328,,TRUE
Finland,Mil EURO,,,,,,848,1184,816.1,919.6312247,789,0,0,0,,FALSE
France,Mil EURO,27610.77331,28198.73128,28215.8286,28377.94231,28040.9782,28344.92735,27958.76289,27540.0197,20288.28947,19425.52871,19507.33867,19419.52468,19385.784,-0.029042099,TRUE
Germany,Mil EURO,21250.86389,20992.12689,20933.68808,20047.12151,19612.90743,19036.43613,18460.69333,18936.40948,19242.8237,19254.29553,18728.29405,18689.26279,18222.544,-0.012729785,TRUE
Greece,Mil EURO,5357.07983,4037.006782,3767.757773,4274.829772,4549.399882,4749.761675,5095.172986,5214.768037,4120.677223,3829.543782,3428.898005,3142.744618,2919.825,-0.049317006,TRUE
Hungary,Mil EURO,831.0080216,854.2221331,864.4172892,828.8635725,818.1636577,736.6504199,731.0230964,709.9004623,599.0000806,626.0329665,533.1337609,504.7167788,474.2551777,-0.045665615,TRUE
Ireland,Mil EURO,,,,,,670.4356209,684.2017159,,779.1686084,696.9759863,0,0,0,,FALSE
Italy,Mil EURO,22696.54255,23532.31183,23206.08756,24071.1145,23751.14592,24504.4333,16723.45425,17149.6974,17003.59125,16970.51226,16757.30914,16111.49629,14597.927,-0.036109669,TRUE
Latvia,Mil EURO,0,0,0,147.2593346,180.3450546,170.4250292,167.7036509,200.6070143,170.2630006,120.9414111,112.5434764,111.1638545,113.0847955,,FALSE
Lithuania,Mil EURO,0,0,0,203.7297449,241.7659956,241.0063285,255.7308049,278.4514182,248.3691688,223.2133314,222.5516735,173.7836756,177.6384657,,FALSE
Luxembourg,Mil EURO,187.6270288,194.400525,196.4457213,204.2837711,195.9186235,187.3677465,193.6318294,94.11410027,97.88493614,94.24792669,111.5143621,93.19632295,95.557,-0.0546762,FALSE
Macedonia,Mil EURO,,,,,,,,,,,,0,0,,FALSE
Malta,Mil EURO,,,,,,25.8,27,28.3,,34,0,0,0,,FALSE
Moldova,Mil EURO,,,,,,,,,,,,0,0,,FALSE
Montenegro,Mil EURO,,,,,,,,,,,,0,0,,FALSE
Netherlands,Mil EURO,4037.749327,4279.903478,4456.669368,4332.531659,4308.795621,4243.050885,4236.480847,4526.668986,4579.673703,4599.984647,4579.701454,4699.927264,4324.012,0.005724341,TRUE
