Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR-2001-2013,Selected Countries
Albania,Mil EURO,,,,,,,,,7.175959265,2.725060548,1.178435733,0.869381021,1.373457097,,FALSE
Austria,Mil EURO,,,,,42.4644232,68.26347019,68.02592235,,,,,,,,FALSE
Belgium,Mil EURO,158.8028227,111.9653869,104.3914463,130.7898634,90.9393058,78.03858023,75.37776018,83.97082787,95.63918824,70.84198088,69.91158868,65.15109073,87.208,-0.048720417,FALSE
Bosnia & Herzegovina,Mil EURO,,,,,,,,,,,,,,,FALSE
Bulgaria,Mil EURO,,,,2.459111916,6.550576595,4.887655112,19.74040487,35.11520355,46.56085978,17.36741456,8.719214778,4.458316533,7.344450239,,TRUE
Croatia,Mil EURO,,,,,,,,,13.08348745,11.1669111,5.764243217,4.080164307,7.669267448,,FALSE
Cyprus,Mil EURO,,,,,38.92236541,30.34421293,34.96036463,,,,,,,,FALSE
Czech Republic,Mil EURO,71.74839507,109.6290677,70.85986951,100.9845354,134.0314181,173.1749592,190.4890915,122.2237884,88.80748697,119.5093677,45.59506736,27.73039058,43.68171708,-0.040509618,FALSE
Denmark,Mil EURO,95.77399911,131.553928,89.06018519,77.83698817,73.27257819,148.8170975,135.929698,96.88797157,40.79894392,39.06404108,50.6300718,41.86868551,51.43543262,-0.050486309,FALSE
Estonia,Mil EURO,,,,2.18548248,3.733770135,3.47451712,3.636577314,3.821920606,2.248412647,2.435437404,2.507541642,2.007147998,2.5605369,,FALSE
Finland,Mil EURO,,,,,,,222.6477938,221.7670559,,,,,,,FALSE
France,Mil EURO,2053.693883,1951.147799,2299.422364,2521.385118,2272.286165,1827.112041,1909.617781,1775.227751,905.3597737,1265.107963,1066.190575,1344.73287,906.246,-0.065901805,TRUE
Germany,Mil EURO,1550.643468,1554.972362,1428.088538,1284.638478,1244.729974,1200.195623,1378.667444,1440.43189,1736.19462,1899.854587,1468.183663,1292.735569,1359.343,-0.010912397,TRUE
Greece,Mil EURO,117.1861213,77.63474581,70.80350177,71.89235063,61.39541002,64.35991429,25.6360905,28.14989494,58.34587218,35.34963491,58.65220272,34.34693572,38.475,-0.088635997,FALSE
Hungary,Mil EURO,98.88821969,110.8929341,116.9088957,117.4503038,78.24434149,116.5403985,81.92500218,38.37299796,46.35119672,23.30973811,13.69711243,22.22023554,21.88870051,,TRUE
Ireland,Mil EURO,,,,,13.77550641,17.34180775,23.10935755,,,,,,,,FALSE
Italy,Mil EURO,282.5295753,254.4033711,351.1237457,191.8017092,246.4450938,179.5196579,229.7177782,387.5637831,322.124868,316.3610808,291.2366562,208.9688235,360.677,0.020558438,TRUE
Latvia,Mil EURO,,,,49.75886191,40.19739168,42.17149958,70.27170977,58.92560248,18.37577073,12.54848273,20.40261853,8.307619016,19.98197358,,FALSE
Lithuania,Mil EURO,,,,15.15015716,18.27784159,15.39273996,14.96048584,16.81589381,9.787947537,6.805284494,4.657284648,3.902328045,5.601212883,,FALSE
Luxembourg,Mil EURO,21.67037321,5.135108208,3.739449009,6.047009957,2.60184095,4.898503176,6.011854989,3.659992788,5.323566702,8.68073009,15.35188159,14.0998127,20.57,-0.004333279,FALSE
Macedonia,Mil EURO,,,,,,,,,,,,,,,FALSE
Malta,Mil EURO,,,,,1.243682935,1.754161398,0.811501442,,,,,,,,FALSE
Moldova,Mil EURO,,,,,,,,,,,,,,,FALSE
Montenegro,Mil EURO,,,,,,,,,,,,,,,FALSE
Netherlands,Mil EURO,353.3030661,309.2898998,245.7099081,214.4817653,307.1616681,310.6836422,260.2922554,275.6910384,310.7962194,307.8383607,318.1511065,302.4301022,264.418,-0.023860319,TRUE
Norway,Mil EURO,277.1161323,425.7065766,460.6845494,325.6369217,328.8572421,221.917595,301.7682764,301.5033753,293.9620623,287.8052192,230.1654314,279.1361699,300.7909758,0.006854965,TRUE
Poland,Mil EURO,116.0029589,84.22484173,96.02140153,177.9357899,293.156206,222.8482548,331.220326,295.4579493,291.856718,273.5771112,317.8324972,328.3536909,383.5581425,0.104791129,TRUE
Portugal,Mil EURO,22.62863776,19.97304706,21.93979505,23.44528549,28.00173315,48.78712379,17.7461517,23.55726457,22.02379778,11.30973439,,,,,FALSE
Romania,Mil EURO,,25.85154442,39.21408792,41.69534749,57.19014039,56.17577898,25.27976666,28.87883652,32.64332148,39.87885276,28.16293372,22.62765395,20.89563792,,FALSE
Serbia*,Mil EURO,,,,,,,,,,,,,,,FALSE
Slovakia,Mil EURO,,,,67.78300109,63.42011338,49.88943917,24.54032811,20.4219139,45.23387688,37.0582987,7.734660435,3.19230122,4.512,,TRUE
Slovenia,Mil EURO,,,,12.13850209,15.80627955,4.406599981,25.3743514,29.03256367,18.64535324,16.12155762,13.53081135,8.523880279,5.474,,FALSE
Spain,Mil EURO,229.6821102,251.9555368,242.3138352,271.5872881,209.6988836,343.3326185,365.680917,295.7476683,282.5496084,145.6509753,192.3259784,87.15814969,76.896,,TRUE
Sweden,Mil EURO,,,,,16.59501786,286.5846554,280.5152258,,,,,,,,FALSE
Switzerland,Mil EURO,,,,,,,,,,,,,,,FALSE
Turkey,Mil EURO,1937.486077,1455.74493,516.2349566,447.9342668,370.0807845,361.4405679,505.2125327,448.3848075,343.8862811,368.5086717,343.6518986,425.9135036,356.7119205,-0.13152647,TRUE
United Kingdom,Mil EURO,416.3748413,465.2234041,434.227958,877.5436632,217.70215,1441.005226,1331.391094,1093.001945,1022.256335,770.8150438,755.8872608,870.7540971,1000.64361,0.075803399,TRUE
