geo\time,EU (28 countries),EU (27 countries)
2000,:,60.6
2001,:,59.8
2002,59.2,59.3
2003,60.7,60.8
2004,61.3,61.3
2005,61.8,61.9
2006,60.4,60.5
2007,57.8,57.9
2008,60.9,61
2009,73,73.1
2010,78.5,78.5
2011,81,81.1
2012,83.8,83.8
2013,85.5,85.5
2014,86.8,86.8
2015,85.2,85.2
