NATO_essential,Year,EU 7,EU 8,EU 9,EU 10,USA,TR,FR,GER,GR,IT,NL,PL,PT,SP,UK
Still essential,2014,62,62,62,61,58,49,60,64,41,50,81,62,68,56,70
Still essential,2013,58,57,58,,55,39,62,60,,46,72,47,63,52,69
Still essential,2012,59,58,58,,56,38,60,60,,52,71,45,66,56,71
Still essential,2011,62,61,62,,62,37,60,58,,63,73,51,70,61,69
Still essential,2010,59,59,59,,60,30,60,56,,54,72,52,67,57,68
Still essential,2009,62,62,61,,62,35,56,63,,60,77,50,67,61,72
Still essential,2008,61,60,60,,59,38,62,62,,55,70,51,60,60,68
Still essential,2007,56,55,55,,60,35,55,55,,55,66,46,59,49,64
Still essential,2006,56,55,,,61,44,59,56,,52,66,48,56,49,62
Still essential,2005,58,57,,,60,52,58,61,,52,68,47,65,48,65
Still essential,2004,64,62,,,62,53,57,70,,60,71,52,67,55,70
Still essential,2002,69,,,,56,,61,74,,68,74,64,,,76
No longer essential,2014,31,32,32,33,29,33,36,32,52,42,15,28,26,38,22
No longer essential,2013,33,34,33,,32,39,34,36,,37,24,37,31,43,24
No longer essential,2012,34,35,34,,35,39,35,37,,39,23,40,29,42,22
No longer essential,2011,32,32,31,,31,43,36,38,,28,23,35,27,36,22
No longer essential,2010,36,36,34,,29,43,34,41,,38,26,37,31,38,29
No longer essential,2009,32,33,32,,29,37,38,34,,35,20,36,25,36,24
No longer essential,2008,34,34,33,,32,32,34,36,,41,26,32,30,35,25
No longer essential,2007,36,37,35,,29,34,36,41,,39,27,39,28,45,26
No longer essential,2006,37,38,,,29,35,36,41,,41,29,37,31,45,30
No longer essential,2005,34,35,,,26,32,34,36,,43,27,36,25,40,24
No longer essential,2004,28,29,,,28,26,34,27,,31,24,32,18,34,22
No longer essential,2002,25,,,,30,,33,22,,27,25,26,,,20
[DK]/[REFUSAL],2014,6,6,6,6,13,17,4,4,7,8,4,10,6,6,8
[DK]/[REFUSAL],2013,9,9,9,,13,22,4,4,,18,3,16,7,6,7
[DK]/[REFUSAL],2012,7,7,8,,9,23,5,3,,10,7,15,6,2,7
[DK]/[REFUSAL],2011,7,7,7,,8,20,4,4,,10,4,14,3,4,9
[DK]/[REFUSAL],2010,5,5,6,,11,27,6,3,,9,3,11,3,4,3
[DK]/[REFUSAL],2009,6,6,7,,10,28,6,4,,5,3,15,7,3,5
[DK]/[REFUSAL],2008,6,6,7,,9,31,4,2,,4,4,18,10,5,7
[DK]/[REFUSAL],2007,8,8,9,,11,31,9,4,,6,7,16,13,6,11
[DK]/[REFUSAL],2006,7,7,,,10,21,5,3,,7,5,15,13,6,8
[DK]/[REFUSAL],2005,8,9,,,14,15,8,3,,6,5,17,11,12,11
[DK]/[REFUSAL],2004,8,9,,,11,21,9,3,,9,5,16,15,11,9
[DK]/[REFUSAL],2002,6,,,,14,,6,4,,5,2,40,,,4
