Country,Unit/Currency,2005,2006,2007,2008,2009,2010,2011,2012,CAGR 2005-2012
Austria,Mil 2013 EURO,,,,,,,,,
Belgium,Mil 2013 EURO,,,,0,0,0,0,0,
Bulgaria,Mil 2013 EURO,,0,0,0,0,0,0,0,
Croatia,Mil 2013 EURO,,,,,,,,,
Cyprus,Mil 2013 EURO,,,,,,,,,
Czech Republic,Mil 2013 EURO,,,,,0,,,0,
Estonia,Mil 2013 EURO,,,,,0,0,0,,
Finland,Mil 2013 EURO,0,0,0,0,0,0,0,0,
France,Mil 2013 EURO,0,0,5,0,0,0,0,0,
Germany,Mil 2013 EURO,96,80,76,78,80,80,43,,-1
Greece,Mil 2013 EURO,,,,,4.7,,,0,
Hungary,Mil 2013 EURO,,,,,,,,,
Ireland,Mil 2013 EURO,,,,,0,,,0,
Italy,Mil 2013 EURO,3.52,120,616,517,731,23,97,9,0.143517552
Latvia,Mil 2013 EURO,,,,,,,,0,
Lithuania,Mil 2013 EURO,,,0,0,0,0,0,0,
Luxembourg,Mil 2013 EURO,,0,0,0,0,0,0,0,
Malta,Mil 2013 EURO,,,,,0,,,0,
Netherlands,Mil 2013 EURO,,,,,36,,,,
Poland,Mil 2013 EURO,,,,,0,,,0,
Portugal,Mil 2013 EURO,,0.16,0.2,0.2,0.04,0,0,0,
Romania,Mil 2013 EURO,,,,,0,,,0,
Slovakia,Mil 2013 EURO,,,,,,,,0,
Slovenia,Mil 2013 EURO,,,,,0,,,0,
Spain,Mil 2013 EURO,12,0,0,0,0,0,0,0,-1
Sweden,Mil 2013 EURO,,40,39.9,40.6,63.4,20.2,1,0.7,
United Kingdom,Mil 2013 EURO,407.4,325,1,367,174,286,434,256,-0.064219191
