id_type,year,id,share
cabinet,1950,799,1
cabinet,1950,853,0.120879121
cabinet,1950,872,0.793956044
cabinet,1950,895,1
cabinet,1950,922,0.835164835
cabinet,1950,923,0.164835165
cabinet,1950,1142,0.027472527
cabinet,1951,36,1
cabinet,1951,66,0.332417582
cabinet,1951,88,0.818681319
cabinet,1951,104,0.423076923
cabinet,1951,123,0.565934066
cabinet,1951,128,0.200549451
cabinet,1951,147,1
cabinet,1951,154,0.447802198
cabinet,1951,200,0.28021978
cabinet,1951,243,0.799450549
cabinet,1951,360,0.497252747
cabinet,1951,361,0.25
cabinet,1951,367,0.186813187
cabinet,1951,445,0.75
cabinet,1951,450,0.357142857
cabinet,1951,487,0.115384615
cabinet,1951,556,0.950549451
cabinet,1951,566,0.642857143
cabinet,1951,597,0.434065934
cabinet,1951,639,0.675824176
cabinet,1951,643,0.552197802
cabinet,1951,691,0.181318681
cabinet,1951,700,1
cabinet,1951,717,0.667582418
cabinet,1951,726,0.884615385
cabinet,1951,750,1
cabinet,1951,766,1
cabinet,1951,775,1
cabinet,1951,799,0.502747253
cabinet,1951,814,0.049450549
cabinet,1951,826,0.39010989
cabinet,1951,872,0.043956044
cabinet,1951,895,1
cabinet,1951,923,0.120879121
cabinet,1951,924,0.230769231
cabinet,1951,1137,0.648351648
cabinet,1952,32,0.131506849
cabinet,1952,36,1
cabinet,1952,66,1
cabinet,1952,147,1
cabinet,1952,200,1
cabinet,1952,243,0.671232877
cabinet,1952,360,1
cabinet,1952,361,0.723287671
cabinet,1952,366,0.328767123
cabinet,1952,389,0.961643836
cabinet,1952,487,1
cabinet,1952,560,0.175342466
cabinet,1952,566,1
cabinet,1952,597,1
cabinet,1952,643,1
cabinet,1952,658,0.816438356
cabinet,1952,691,1
cabinet,1952,700,0.038356164
cabinet,1952,750,1
cabinet,1952,766,1
cabinet,1952,775,0.824657534
cabinet,1952,781,0.276712329
cabinet,1952,814,1
cabinet,1952,826,0.052054795
cabinet,1952,895,0.81369863
cabinet,1952,896,0.18630137
cabinet,1952,924,0.715068493
cabinet,1952,925,0.019178082
cabinet,1952,968,0.265753425
cabinet,1953,36,0.302197802
cabinet,1953,66,1
cabinet,1953,147,0.802197802
cabinet,1953,192,0.197802198
cabinet,1953,200,0.519230769
cabinet,1953,232,0.35989011
cabinet,1953,327,0.392857143
cabinet,1953,359,0.445054945
cabinet,1953,360,0.994505495
cabinet,1953,366,1
cabinet,1953,389,1
cabinet,1953,400,0.510989011
cabinet,1953,487,0.78021978
cabinet,1953,532,0.005494505
cabinet,1953,545,0.21978022
cabinet,1953,557,0.472527473
cabinet,1953,560,0.25
cabinet,1953,566,1
cabinet,1953,597,0.538461538
cabinet,1953,603,0.087912088
cabinet,1953,643,1
cabinet,1953,658,0.016483516
cabinet,1953,659,0.75
cabinet,1953,691,1
cabinet,1953,738,0.120879121
cabinet,1953,750,0.607142857
cabinet,1953,762,0.304945055
cabinet,1953,766,0.695054945
cabinet,1953,781,1
cabinet,1953,798,0.373626374
cabinet,1953,814,1
cabinet,1953,879,0.252747253
cabinet,1953,896,0.379120879
cabinet,1953,897,0.620879121
cabinet,1953,925,1
cabinet,1954,66,0.903846154
cabinet,1954,90,0.063186813
cabinet,1954,161,0.461538462
cabinet,1954,178,0.480769231
cabinet,1954,192,1
cabinet,1954,327,1
cabinet,1954,366,1
cabinet,1954,389,0.304945055
cabinet,1954,400,0.464285714
cabinet,1954,410,0.096153846
cabinet,1954,414,0.535714286
cabinet,1954,500,0.510989011
cabinet,1954,532,0.489010989
cabinet,1954,545,1
cabinet,1954,566,0.519230769
cabinet,1954,626,0.582417582
cabinet,1954,643,0.417582418
cabinet,1954,659,1
cabinet,1954,685,0.197802198
cabinet,1954,691,1
cabinet,1954,738,0.340659341
cabinet,1954,745,0.695054945
cabinet,1954,762,1
cabinet,1954,781,1
cabinet,1954,796,0.89010989
cabinet,1954,798,0.046703297
cabinet,1954,814,1
cabinet,1954,879,1
cabinet,1954,897,0.93956044
cabinet,1954,898,0.06043956
cabinet,1954,925,0.068681319
cabinet,1954,927,0.931318681
cabinet,1955,178,1
cabinet,1955,184,0.601648352
cabinet,1955,192,0.535714286
cabinet,1955,218,0.914835165
cabinet,1955,221,0.942307692
cabinet,1955,250,0.445054945
cabinet,1955,327,1
cabinet,1955,366,1
cabinet,1955,376,0.464285714
cabinet,1955,397,0.854395604
cabinet,1955,410,1
cabinet,1955,414,0.145604396
cabinet,1955,500,1
cabinet,1955,545,0.057692308
cabinet,1955,626,1
cabinet,1955,635,0.043956044
cabinet,1955,659,1
cabinet,1955,685,1
cabinet,1955,691,0.260989011
cabinet,1955,729,0.137362637
cabinet,1955,745,1
cabinet,1955,762,1
cabinet,1955,781,1
cabinet,1955,796,0.554945055
cabinet,1955,814,0.956043956
cabinet,1955,879,0.085164835
cabinet,1955,898,0.208791209
cabinet,1955,899,0.684065934
cabinet,1955,900,0.107142857
cabinet,1955,927,0.491758242
cabinet,1955,928,0.074175824
cabinet,1955,929,0.159340659
cabinet,1955,1080,0.274725275
cabinet,1956,105,0.506849315
cabinet,1956,178,0.02739726
cabinet,1956,184,1
cabinet,1956,207,0.263013699
cabinet,1956,218,1
cabinet,1956,221,1
cabinet,1956,250,1
cabinet,1956,327,1
cabinet,1956,366,0.780821918
cabinet,1956,373,0.830136986
cabinet,1956,376,0.147945205
cabinet,1956,397,0.082191781
cabinet,1956,410,1
cabinet,1956,479,0.97260274
cabinet,1956,500,1
cabinet,1956,591,0.917808219
cabinet,1956,626,1
cabinet,1956,633,0.852054795
cabinet,1956,635,1
cabinet,1956,659,0.493150685
cabinet,1956,664,0.438356164
cabinet,1956,685,0.169863014
cabinet,1956,745,1
cabinet,1956,761,0.219178082
cabinet,1956,762,0.561643836
cabinet,1956,781,0.736986301
cabinet,1956,900,0.969863014
cabinet,1956,901,0.030136986
cabinet,1956,929,1
cabinet,1957,51,0.596153846
cabinet,1957,61,0.233516484
cabinet,1957,105,1
cabinet,1957,184,0.024725275
cabinet,1957,207,0.832417582
cabinet,1957,209,0.398351648
cabinet,1957,218,0.403846154
cabinet,1957,221,0.766483516
cabinet,1957,249,0.53021978
cabinet,1957,250,0.379120879
cabinet,1957,280,0.620879121
cabinet,1957,327,0.46978022
cabinet,1957,373,0.401098901
cabinet,1957,380,0.167582418
cabinet,1957,404,0.975274725
cabinet,1957,410,0.736263736
cabinet,1957,458,0.153846154
cabinet,1957,479,1
cabinet,1957,500,1
cabinet,1957,523,0.785714286
cabinet,1957,591,0.447802198
cabinet,1957,626,0.214285714
cabinet,1957,629,0.208791209
cabinet,1957,631,0.241758242
cabinet,1957,633,0.813186813
cabinet,1957,635,1
cabinet,1957,664,1
cabinet,1957,745,1
cabinet,1957,747,0.269230769
cabinet,1957,761,1
cabinet,1957,793,0.186813187
cabinet,1957,860,0.087912088
cabinet,1957,869,0.054945055
cabinet,1957,887,0.848901099
cabinet,1957,901,0.151098901
cabinet,1957,929,1
cabinet,1958,51,1
cabinet,1958,61,1
cabinet,1958,105,1
cabinet,1958,112,0.373626374
cabinet,1958,144,0.151098901
cabinet,1958,197,0.582417582
cabinet,1958,208,0.585164835
cabinet,1958,249,0.244505495
cabinet,1958,280,0.497252747
cabinet,1958,380,0.414835165
cabinet,1958,404,1
cabinet,1958,446,0.021978022
cabinet,1958,458,0.35989011
cabinet,1958,479,0.942307692
cabinet,1958,500,0.239010989
cabinet,1958,523,1
cabinet,1958,544,0.760989011
cabinet,1958,552,0.340659341
cabinet,1958,594,0.057692308
cabinet,1958,627,0.057692308
cabinet,1958,635,1
cabinet,1958,664,0.978021978
cabinet,1958,697,0.755494505
cabinet,1958,741,0.024725275
cabinet,1958,745,0.475274725
cabinet,1958,761,0.975274725
cabinet,1958,780,0.554945055
cabinet,1958,791,0.346153846
cabinet,1958,793,1
cabinet,1958,860,0.313186813
cabinet,1958,869,1
cabinet,1958,880,0.502747253
cabinet,1958,887,0.445054945
cabinet,1958,929,0.016483516
cabinet,1958,930,0.480769231
cabinet,1958,931,0.502747253
cabinet,1959,51,1
cabinet,1959,61,1
cabinet,1959,105,0.538461538
cabinet,1959,114,0.461538462
cabinet,1959,144,1
cabinet,1959,197,0.019230769
cabinet,1959,208,1
cabinet,1959,230,0.967032967
cabinet,1959,237,0.214285714
cabinet,1959,331,0.112637363
cabinet,1959,351,0.398351648
cabinet,1959,364,0.524725275
cabinet,1959,372,0.876373626
cabinet,1959,404,0.785714286
cabinet,1959,446,0.489010989
cabinet,1959,523,0.475274725
cabinet,1959,544,0.164835165
cabinet,1959,552,0.032967033
cabinet,1959,623,0.038461538
cabinet,1959,627,1
cabinet,1959,635,0.961538462
cabinet,1959,692,0.980769231
cabinet,1959,694,0.620879121
cabinet,1959,697,1
cabinet,1959,741,0.379120879
cabinet,1959,780,1
cabinet,1959,793,1
