Country	Party ID	Party Abbrev	Party Name	Party Name (English)
SLE	2914	PS	Pozitivna Slovenija	Positive Slovenia
CRO	3101	HDZ	Hrvatska Demokratska Zajednica	Croatian Democratic Union
CRO	3102	SDP	Socialdemokratska Partija Hrvatske	Social Democratic Party of Croatia
CRO	3103	HSS	Hrvatska Seljačka Stranka	Croatian Peasant Party
CRO	3104	HSLS	Hrvatska Socijalno Liberalna Stranka	Croatian Social Liberal Party
CRO	3105	HNS	Hrvatska Narodna Stranka—Liberalni Demokrati	Croatian People’s Party—Liberal Democrats
CRO	3106	IDS	Istarski Demokratski Sabor	Istrian Democratic Assembly
CRO	3107	HDSSB	Hrvatski Demokrtski Sabor Slavonije i Baranje	Croatian Democratic Assembly of Slavonija and Baranja
CRO	3109	HSP	Hrvatska Stranka Prava	Croatian Party of Rights
CRO	3112	HL-SR	Hrvatski Laburisti–Stranka Rada	Croatian Labourists–Labour Party
CRO	3113	HSP-AS	Hrvatska stranka prava dr. Ante Starčević	Croatian Party of Rights dr. Ante Starcevic
CRO	3114	ORaH	Održivi Razvoj Hrvatske	Croatian Sustainable Development
TUR	3401	AKP	Adalet ve Kalkinma Partisi	Justice and Development Party
TUR	3402	CHP	Cumhuriyet Halk Patisi	Republican People’s Party
TUR	3403	MHP	Milliyetci Hareket Partisi	Nationalist Movement Party
TUR	3407	HDP	Halklarin Demokratik Partisi	Peoples’ Democratic Party
NOR	3501	Ap	Arbeiderpartiet	Labour Party
NOR	3502	FrP	Fremskrittspartiet	Progress Party
NOR	3503	H	Høyre	Conservative Party
NOR	3504	SV	Sosialistisk Venstreparti	Socialist Left Party
NOR	3505	Sp	Senterpartiet	Centre Party
NOR	3506	KrF	Kristelig Folkeparti	Christian Democratic Party
NOR	3507	V	Venstre	Liberal Party
NOR	3508	MDG	Miljøpartiet De Grønne	Green Party
SWI	3601	SVP/UDC		Swiss People’s Party
SWI	3602	SP/PS		Social Democratic Party of Switzerland
SWI	3603	FDP/PLR		FDP. The Liberals
SWI	3604	CVP/PVC		Christian Democratic People’s Party
SWI	3605	GPS/PES		Green Party
SWI	3606	GLP/PVL		Green Liberal Party
SWI	3607	EVP/PEV		Evangelical People’s Party
SWI	3608	EDU/UDF		Federal Democratic Union
SWI	3610	LdT		Ticino League
SWI	3611	CSP/PCS		Christian Social Party
SWI	3612	BDP		Conservative Democratic Party
MAL	3701	PL	Partit Laburista	Labour Party
MAL	3702	PN	Partit Nazzjonalista	Nationalist Party
LUX	3801	CSV	Chrëschtlech Sozial Vollekspartei	Christian Social People’s Party
LUX	3802	Greng	Déi Gréng	The Greens
LUX	3803	DP	Demokratesch Partei	Democratic Party
LUX	3804	LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	Luxembourg Socialist Workers’ Party
LUX	3805	ADR	Alternativ Demokratesch Reformpartei	Alternative Democratic Reform Party
LUX	3806	DL	Déi Lénk	The Left
CYP	4001	DISY	Dimokratikós Sinagermós	Democratic Rally
CYP	4002	Evroko	Evropaiko Komma	European Party
CYP	4003	AKEL	Anorthotikó Kómma Ergazómenou Laoú	Progressive Party of Working People
CYP	4004	DIKO	Dimokratikó Kómma	Democratic Party
CYP	4005	EDEK	Kinima Sosialdimokraton EDEK	Movement for Social Democracy EDEK
CYP	4006	KOP	Kinima Oikologon Perivallontiston	Ecological and Environmental Movement
