EU_leadership,Year,EU 7,EU 8,EU 9,EU 10,USA,RU,TR,FR,GER,GR,IT,NL,PL,PT,SE,SP,UK
ST Desirable,2014,75,74,74,73,70,25,31,71,87,59,77,74,73,71,76,65,62
ST Desirable,2013,73,71,71,,57,,26,68,86,,75,72,69,72,74,56,60
ST Desirable,2012,71,70,70,,63,37,29,76,86,,73,71,65,74,73,67,55
ST Desirable,2011,78,77,76,,69,,28,76,87,,85,79,69,77,78,72,63
ST Desirable,2010,79,78,78,,72,,27,72,87,,85,80,70,84,,76,73
ST Desirable,2009,76,77,76,,72,,26,72,88,,83,80,68,78,,79,61
ST Desirable,2008,76,75,75,,68,,22,71,86,,83,81,69,70,,74,60
ST Desirable,2007,78,78,77,,73,,21,72,86,,81,84,76,75,,74,71
ST Desirable,2006,76,76,,,76,,35,67,88,,82,82,70,77,,73,65
ST Undesirable,2014,22,23,23,23,21,62,59,28,12,38,21,23,18,23,19,33,32
ST Undesirable,2013,22,24,24,,29,,63,30,12,,21,25,19,23,22,42,31
ST Undesirable,2012,23,25,24,,25,44,55,22,12,,24,21,20,23,23,31,36
ST Undesirable,2011,17,18,18,,20,,60,22,10,,13,18,15,20,20,24,28
ST Undesirable,2010,18,18,18,,22,,56,26,12,,13,17,19,14,,22,25
ST Undesirable,2009,19,19,19,,18,,56,23,10,,16,15,16,14,,19,34
ST Undesirable,2008,19,20,19,,21,,51,25,12,,16,15,15,16,,22,33
ST Undesirable,2007,16,17,17,,16,,54,20,11,,18,12,13,12,,23,22
ST Undesirable,2006,18,19,,,17,,47,28,10,,15,14,16,13,,24,26
