EU_leadership,Year,EU 7,EU 8,EU 9,EU 10,USA,RU,TR,FR,GER,GR,IT,NL,PL,PT,SE,SP,UK
Very desirable,2014,30,29,29,29,32,6,9,27,34,25,41,30,17,30,22,27,24
Very desirable,2013,26,25,25,,21,,6,21,31,,35,22,13,32,21,22,21
Very desirable,2012,25,25,25,,26,5,8,28,33,,34,30,10,35,22,26,20
Very desirable,2011,29,29,29,,30,,10,29,28,,42,34,13,31,27,31,24
Very desirable,2010,29,30,30,,36,,9,24,34,,41,31,13,41,,36,21
Very desirable,2009,28,27,27,,27,,30,29,19,,28,16,38,26,,21,39
Very desirable,2008,27,27,27,,24,,8,24,30,,37,32,14,29,,28,21
Very desirable,2007,30,30,30,,30,,5,29,33,,31,39,19,30,,35,28
Very desirable,2006,27,27,,,30,,7,24,31,,31,36,12,32,,29,23
Very desirable,2005,29,29,,,27,,22,33,28,,35,34,14,37,,31,26
Very desirable,2004,,,,,37,,,,,,,,,,,,
Very desirable,2003,,,,,43,,,,,,,,,,,,
Very desirable,2002,34,,,,31,,,40,27,,53,42,16,,,,32
Somewhat desirable,2014,45,44,45,44,38,19,23,44,53,34,36,44,57,42,54,39,38
Somewhat desirable,2013,47,46,46,,36,,20,47,55,,40,50,56,41,53,34,38
Somewhat desirable,2012,46,45,45,,37,32,21,48,53,,40,41,55,39,51,41,36
Somewhat desirable,2011,49,48,47,,40,,18,46,59,,43,45,56,46,51,40,39
Somewhat desirable,2010,50,49,48,,36,,18,48,53,,44,50,57,42,,40,52
Somewhat desirable,2009,49,49,49,,42,,18,44,59,,43,52,52,41,,52,42
Somewhat desirable,2008,49,48,47,,43,,14,47,56,,46,49,55,42,,46,39
Somewhat desirable,2007,49,48,47,,43,,16,43,53,,50,45,58,45,,40,44
Somewhat desirable,2006,50,49,,,46,,27,43,56,,50,47,58,45,,44,43
Somewhat desirable,2005,50,50,,,46,,28,49,59,,47,52,55,44,,51,41
Somewhat desirable,2004,,,,,42,,,,,,,,,,,,
Somewhat desirable,2003,,,,,37,,,,,,,,,,,,
