EU_leadership,Year,EU 7,EU 8,EU 9,EU 10,USA,RU,TR,FR,GER,GR,IT,NL,PL,PT,SE,SP,UK
Somewhat desirable,2002,47,,,,48,,,43,55,,36,50,52,,,,47
Somewhat undesirable,2014,14,15,15,15,13,35,25,16,10,16,15,12,15,12,13,24,15
Somewhat undesirable,2013,14,16,16,,16,,23,18,9,,14,15,15,13,13,29,18
Somewhat undesirable,2012,15,16,16,,15,33,24,15,8,,15,12,16,13,16,23,20
Somewhat undesirable,2011,11,12,12,,11,,21,13,7,,9,11,13,12,14,20,16
Somewhat undesirable,2010,12,13,13,,10,,16,18,9,,9,10,17,9,,18,14
Somewhat undesirable,2009,13,13,13,,10,,17,15,7,,13,9,14,9,,16,17
Somewhat undesirable,2008,13,13,13,,12,,15,16,9,,12,10,13,9,,18,17
Somewhat undesirable,2007,11,12,12,,10,,15,13,8,,15,7,12,8,,19,13
Somewhat undesirable,2006,12,13,,,11,,16,19,7,,11,10,13,8,,18,16
Somewhat undesirable,2005,12,12,,,11,,16,10,9,,13,8,16,7,,10,14
Somewhat undesirable,2004,,,,,8,,,,,,,,,,,,
Somewhat undesirable,2003,,,,,7,,,,,,,,,,,,
Somewhat undesirable,2002,10,,,,10,,,9,10,,6,5,15,,,,12
Very undesirable,2014,8,8,8,8,9,27,34,11,3,22,7,11,3,11,6,9,16
Very undesirable,2013,8,9,9,,12,,40,12,4,,7,10,4,10,8,13,14
Very undesirable,2012,8,9,8,,10,11,31,7,4,,9,10,4,10,7,8,16
Very undesirable,2011,6,6,6,,10,,39,9,3,,3,7,2,8,6,4,13
Very undesirable,2010,6,5,5,,12,,40,8,2,,4,7,2,5,,4,11
Very undesirable,2009,6,6,6,,8,,39,8,3,,2,6,2,4,,3,17
Very undesirable,2008,7,7,6,,10,,36,9,4,,4,5,2,7,,5,16
Very undesirable,2007,5,5,5,,6,,39,7,3,,3,5,2,4,,5,9
Very undesirable,2006,6,6,,,6,,30,8,3,,4,4,3,6,,7,11
Very undesirable,2005,5,5,,,7,,25,6,4,,3,5,4,3,,3,12
Very undesirable,2004,,,,,5,,,,,,,,,,,,
Very undesirable,2003,,,,,6,,,,,,,,,,,,
Very undesirable,2002,4,,,,7,,,3,4,,3,1,3,,,,5
[Neither or both equally],2014,1,1,1,1,2,7,2,0,1,1,0,1,1,1,1,1,2
[Neither or both equally],2013,1,1,1,,1,,4,1,,,,2,3,1,1,1,2
[Neither or both equally],2012,1,1,2,,3,8,2,,1,,1,2,3,1,1,,2
[Neither or both equally],2011,1,1,2,,1,,3,1,,,1,1,4,1,,2,2
[Neither or both equally],2010,1,1,1,,,,3,,,,1,,2,1,,1,1
[Neither or both equally],2009,1,1,1,,2,,4,,,,1,,3,1,,1,1
[Neither or both equally],2008,1,1,2,,3,,6,1,,,,1,3,4,,2,2
[Neither or both equally],2007,1,1,2,,2,,2,1,1,,,1,3,3,,1,1
[Neither or both equally],2006,1,1,,,1,,3,,,,1,2,2,3,,1,1
[Neither or both equally],2005,1,1,,,1,,3,,,,,,3,3,,2,1
[Neither or both equally],2004,,,,,1,,,,,,,,,,,,
[Neither or both equally],2003,,,,,,,,,,,,,,,,,
[Neither or both equally],2002,2,,,,,,,,2,,2,1,5,,,,2
[DK]/[REFUSAL],2014,2,2,2,2,7,5,7,1,1,2,1,2,8,5,4,2,5
[DK]/[REFUSAL],2013,4,4,4,,14,,7,2,1,,3,2,10,4,4,1,7
[DK]/[REFUSAL],2012,4,4,4,,9,11,14,1,1,,2,6,12,2,3,2,7
[DK]/[REFUSAL],2011,4,4,4,,9,,10,2,2,,2,2,12,2,2,2,6
[DK]/[REFUSAL],2010,3,2,3,,6,,14,2,1,,1,3,9,1,,1,2
[DK]/[REFUSAL],2009,4,4,4,,8,,15,5,1,,1,4,12,7,,1,4
[DK]/[REFUSAL],2008,4,4,4,,8,,21,3,1,,1,4,13,10,,2,5
[DK]/[REFUSAL],2007,4,4,5,,9,,22,6,2,,1,3,8,10,,2,6
[DK]/[REFUSAL],2006,5,4,,,6,,16,5,2,,2,2,12,8,,2,7
[DK]/[REFUSAL],2005,3,3,,,8,,6,2,,,1,1,9,6,,2,6
[DK]/[REFUSAL],2004,,,,,7,,,,,,,,,,,,
[DK]/[REFUSAL],2003,,,,,7,,,,,,,,,,,,
[DK]/[REFUSAL],2002,3,,,,4,,,4,2,,1,1,8,,,,3
