,,EU 7,EU 8,EU 9,EU 10,USA,RU,TR,FR,GER,GR,IT,NL,PL,PT,SE,SP,UK
EU_favorable,Year,"100%
(7000)","100%
(8000)","100%
(9000)","100%
(10000)","100%
(1003)","100%
(1500)","100%
(1007)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)","100%
(1000)"
ST Favorable,2014,66,66,66,65,57,41,45,61,75,47,66,67,76,61,65,64,51
ST Favorable,2013,67,66,66,,50,,35,63,75,,70,65,76,63,62,59,50
ST Favorable,2012,66,65,67,,57,64,36,71,75,,69,62,68,67,64,64,46
ST Favorable,2011,69,69,71,,65,,39,59,74,,77,61,76,77,68,73,58
ST Favorable,2010,70,72,73,,68,,34,66,69,,78,74,80,83,,83,59
ST Favorable,2009,69,71,72,,63,,32,66,72,,80,73,75,88,,83,48
ST Unfavorable,2014,31,31,31,32,27,52,51,38,23,51,33,30,19,34,29,34,43
ST Unfavorable,2013,30,31,31,,33,,60,36,24,,28,33,18,34,33,39,44
ST Unfavorable,2012,30,31,30,,31,24,53,28,24,,29,34,18,31,32,35,49
ST Unfavorable,2011,27,26,25,,26,,53,37,24,,21,29,15,21,29,25,35
ST Unfavorable,2010,28,26,25,,31,,55,33,30,,21,25,15,16,,15,40
ST Unfavorable,2009,27,26,25,,23,,54,33,26,,20,24,15,7,,15,46
