Country,Unit/Currency,2005,2006,2007,2008,2009,2010,2011,2012,CAGR 2005-2012
Austria,Mil EURO,6.5,0.8,1,0.057,7,1,1.1,1,-0.234633375
Belgium,Mil EURO,,,,9.33,8.9,8.5,7.9,7.3,
Bulgaria,Mil EURO,,0.222,0.24,0.041,0,0,0,0,
Croatia,Mil EURO,,,,,,,,,
Cyprus,Mil EURO,,,,,0,0,0,418,
Czech Republic,Mil EURO,11,12.7,6.4,4.8,7,7.3,6.6,7,-0.062528858
Estonia,Mil EURO,0.52,,0.826,1.6,0.3,0.7,0,0,-1
Finland,Mil EURO,32,20,14,25.5,12.5,16.9,6,29,-0.013964447
France,Mil EURO,695,761,814,835,904,820,760,648,-0.009953157
Germany,Mil EURO,405,522,455.5,470.1,406,394,411,,
Greece,Mil EURO,1.1,0.052,0.03,0.172,3.6,,0,0,-1
Hungary,Mil EURO,0.27,0.57,0.198,0.55,0.68,0.05,0.1,0.05,-0.214090895
Ireland,Mil EURO,,0,,,0,0,0,0,
Italy,Mil EURO,,,,,,,,,
Latvia,Mil EURO,0.22,,,,,,0,0,
Lithuania,Mil EURO,0.043,,,,0,0,0,0,
Luxembourg,Mil EURO,,,,,0,,0,0,
Malta,Mil EURO,,,,,0,0,0,0,
Netherlands,Mil EURO,110,112,107,105,105,75,69.4,70.7,-0.061195318
Poland,Mil EURO,12.43,22.9,49.32,52.13,12.73,14,118,85,0.31606778
Portugal,Mil EURO,5.9,,4.699,5.3,9.03,7,2.3,0.6,-0.278584273
Romania,Mil EURO,,0.44,1.3,1.22,0.31,2.1,1.9,2.1,
Slovakia,Mil EURO,2.18,2.6,2.49,1.6,2.4,0.1,0.6,0.3,-0.246727507
Slovenia,Mil EURO,1.22,8.9,14.63,15.4,8.65,5.6,0.8,0.7,-0.076293436
Spain,Mil EURO,85.28,104,107.8,124,100,82,81.4,63.6,-0.041037957
Sweden,Mil EURO,,140,129,119,92,86,78,23,
United Kingdom,Mil EURO,653.8,899,775,649,526,,,,
