Country,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Romania,Mil US$," 3,500.42 "," 3,047.43 "," 2,926.39 "," 3,103.00 "," 3,571.49 "," 3,683.03 "," 3,760.03 "," 3,772.56 "," 2,673.72 "," 2,365.08 "," 2,337.56 "," 2,425.64 "," 2,524.38 "
Slovakia,Mil US$, 738.37 , 786.14 ," 1,028.62 "," 1,067.65 "," 1,160.64 "," 1,205.59 "," 1,345.68 "," 1,502.22 "," 1,402.10 "," 1,170.55 "," 1,077.11 "," 1,026.32 ", 998.99 
Slovenia,Mil US$, 340.63 , 398.75 , 496.43 , 580.94 , 596.07 , 692.16 , 756.21 , 871.68 , 812.73 , 792.13 , 724.72 , 548.08 , 519.42 
Croatia,Mil US$, 903.85 ," 1,022.26 ", 948.76 , 905.91 , 903.36 ," 1,016.66 "," 1,126.32 "," 1,414.47 "," 1,197.55 "," 1,065.08 "," 1,127.59 ", 874.99 , 849.99 
Albania,Mil US$, 74.23 , 79.93 , 99.28 , 127.33 , 134.84 , 169.03 , 226.08 , 284.20 , 270.29 , 200.66 , 204.61 , 186.42 , 184.30 
Bosnia & Herzegovina,Mil US$,, 341.78 , 282.19 , 270.26 , 226.45 , 217.84 , 224.14 , 250.35 , 258.10 , 230.56 , 251.07 , 203.48 , 203.42 
Macedonia,Mil US$, 325.54 , 147.57 , 157.48 , 177.66 , 162.35 , 155.89 , 186.83 , 185.32 , 168.54 , 134.86 , 133.12 , 119.93 , 126.68 
Moldova,Mil US$, 17.43 , 19.67 , 20.14 , 17.78 , 22.85 , 30.36 , 31.79 , 41.12 , 33.34 , 22.11 , 23.47 , 22.81 , 23.04 
Montenegro,Mil US$,,,,,, 80.57 , 73.63 , 90.86 , 79.90 , 76.95 , 88.89 , 68.63 , 69.48 
Norway,Mil US$," 4,866.97 "," 6,835.87 "," 7,338.21 "," 7,503.38 "," 8,178.92 "," 6,484.23 "," 7,391.51 "," 7,292.26 "," 7,462.30 "," 7,338.30 "," 7,631.49 "," 7,328.99 "," 7,390.34 "
Serbia*,Mil US$," 1,734.32 "," 1,914.27 "," 1,801.12 "," 1,622.12 "," 1,194.72 "," 1,190.92 "," 1,493.94 "," 1,528.34 "," 1,217.66 "," 1,036.90 "," 1,063.76 ", 896.20 , 924.41 
Switzerland,Mil US$," 3,066.04 "," 3,192.15 "," 3,580.92 "," 3,804.44 "," 3,767.44 "," 3,523.83 "," 3,639.26 "," 4,126.41 "," 4,108.83 "," 4,147.13 "," 5,468.99 "," 4,592.83 "," 5,056.40 "
Turkey,Mil US$," 28,240.18 "," 21,387.05 "," 19,520.30 "," 18,001.40 "," 18,393.52 "," 18,879.79 "," 18,244.47 "," 20,002.94 "," 16,530.83 "," 17,446.38 "," 16,511.07 "," 14,796.55 "," 14,361.34 "
