Country,Year,Increase,Decrease,Same,IDK
BG,2008,30,19,21,31
BG,2011,26,24,44,6
BG,2012,12,30,51,7
FR,2002,28,33,47,2
FR,2003,22,32,43,3
FR,2004,19,29,44,8
FR,2008,19,23,54,4
FR,2011,11,33,55,1
FR,2012,8,38,54,0
FR,2013,11,31,57,1
GER,2002,14,45,38,2
GER,2003,15,43,37,5
GER,2004,21,32,39,8
GER,2008,16,34,44,6
GER,2011,14,36,47,3
GER,2012,6,45,47,3
GER,2013,5,47,47,1
IT,2002,12,52,33,2
IT,2003,23,27,37,13
IT,2004,13,34,35,18
IT,2008,38,22,34,6
IT,2011,11,45,40,4
IT,2012,5,56,34,5
IT,2013,13,53,29,5
NL,2002,6,38,53,2
NL,2003,12,37,41,10
NL,2004,17,29,39,15
NL,2008,18,37,35,10
NL,2011,14,38,47,1
NL,2012,7,37,51,5
NL,2013,9,40,50,1
PL,2002,45,14,36,8
PL,2003,44,14,23,19
PL,2004,41,19,23,17
PL,2008,35,18,30,17
PL,2011,21,19,55,6
PL,2012,19,21,49,10
PL,2013,22,19,52,6
PT,2003,32,26,24,18
PT,2004,16,45,22,16
PT,2008,38,26,27,9
PT,2011,10,49,38,3
PT,2012,8,45,43,3
PT,2013,11,46,41,2
RO,2008,32,21,22,25
RO,2011,17,32,44,7
RO,2012,14,34,45,7
RO,2013,22,29,46,3
RU,2012,34,13,43,10
SE,2011,21,24,52,3
SE,2012,17,25,56,3
SE,2013,29,23,45,3
SK,2004,11,32,32,26
SK,2008,11,16,55,19
SK,2011,10,43,42,6
SK,2012,7,45,42,6
SK,2013,5,48,45,2
SP,2004,16,28,38,19
SP,2008,29,20,42,10
SP,2011,10,50,37,3
SP,2012,5,52,42,1
SP,2013,6,56,37,1
TR,2004,15,35,32,18
TR,2008,18,24,35,22
TR,2011,23,24,38,15
TR,2012,29,17,44,10
TR,2013,50,15,32,4
UK,2002,24,21,53,3
UK,2003,25,26,40,9
UK,2004,28,28,34,10
UK,2008,50,19,26,5
UK,2011,36,18,45,2
UK,2012,29,16,51,4
UK,2013,28,18,53,2
USA,2002,44,15,38,3
USA,2003,17,25,53,5
USA,2004,21,38,36,6
USA,2008,26,36,32,5
USA,2011,19,34,45,2
USA,2012,20,32,45,3
USA,2013,25,26,46,3
EU 10,2004,21,30,36,13
EU 10,2008,27,25,39,9
EU 10,2013,13,39,46,2
EU 11,2008,29,24,38,9
EU 11,2011,16,35,46,3
EU 11,2012,11,39,46,4
EU 11,2013,14,38,46,2
EU 5,2013,12,41,45,2
EU 7,2002,22,33,42,3
EU 7,2003,23,31,37,9
EU 7,2004,22,30,36,12
EU 7,2008,29,25,38,7
EU 7,2011,17,33,47,3
EU 7,2012,12,38,47,4
EU 7,2013,14,37,47,2
EU 9,2004,22,29,36,13
EU 9,2008,29,25,39,7
EU 9,2011,16,35,46,3
EU 9,2012,11,39,46,4
EU 9,2013,13,39,46,2
EU 12,2008,28,24,38,10
EU 12,2011,17,34,46,3
EU 12,2012,11,39,46,4
