Component,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,CAGR 2001-2013
Total Equipment,Mil 2013 EURO,47122.51547,45795.68746,44127.75726,43130.35899,43149.86944,44120.67816,43704.10046,43343.56444,42640.73267,44365.66822,40028.73698,39878.85972,40933.53551,-0.01
Total Personnel,Mil 2013 EURO,136785.3707,133399.083,128159.5073,128134.3913,131766.6506,131293.7342,123579.3832,117237.2366,110601.4263,109871.191,106649.3802,111810.4951,106491.7901,-0.02
Total O&M/Other,Mil 2013 EURO,56549.74247,54074.54383,51465.86729,50877.14823,53462.31451,53621.27869,56280.13134,54427.22713,53667.97304,53335.4955,53223.07285,54536.76414,54313.19078,0
Total Infrastructure,Mil 2013 EURO,7803.530681,7319.452939,6551.530399,6841.391337,5958.604794,6742.671803,7146.684053,6414.374996,5866.276538,5943.584239,5383.154147,5660.89545,5645.441533,-0.03
Total R&D,Mil 2013 EURO,13235.94399,13802.55564,13022.16099,10907.62444,10068.54548,10631.43564,10747.38972,8929.791437,8214.23023,6364.502876,4439.752168,4758.177986,2482.159187,-0.13
