Year,Aruba,Andorra,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (developing only),East Asia & Pacific (all income levels),Europe & Central Asia (developing only),Europe & Central Asia (all income levels),Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faeroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,Indonesia,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kosovo,Kuwait,Latin America & Caribbean (developing only),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean (all income levels),Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa (all income levels),Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (developing only),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,High income: nonOECD,Norway,Nepal,New Zealand,High income: OECD,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,"Korea, Dem. Rep.",Portugal,Paraguay,Pacific island small states,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (developing only),South Sudan,Sub-Saharan Africa (all income levels),Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Virgin Islands (U.S.),Vietnam,Vanuatu,West Bank and Gaza,World,Samoa,"Yemen, Rep.",South Africa,"Congo, Dem. Rep.",Zambia,Zimbabwe
1997,85447,64090,19021226,12791388,3148281,261260242,2608993,35690778,3137652,54942,72232,18517000,7968041,7838250,6369573,10181245,6361301,10664982,124945315,8312068,597400,286845,3535998,10117000,218484,60497,7978521,166925457,264606,309904,521146,1657349,3424733,29987200,109459093,7088906,145709,14872458,1230075000,15042149,14709426,2878333,37901358,489627,417562,3658020,6293504,11024249,,35596,890733,10304131,82034771,687897,70756,5284991,8256496,30345466,1754731205,1982353941,254396440,858541666,11799289,63094069,314817823,3560353,39582413,1399535,60584273,485523290,308127053,5139835,793098,59963792,44413,108506,1137412,58316954,4531600,17568461,8296478,1126986,1191672,471288,10776504,101125,56000,10449636,150306,734059,1191873550,6489300,5852719,435952203,4572000,8136372,10290486,200050444,73814,990460131,,3674171,62542531,21693597,271128,5836000,56890372,2534069,4459000,126091000,15333703,28943647,4696400,11395958,78725,43885,45953580,2086000,1635999,477415808,5096724,3092718,2365290,4924347,150994,501523719,615735225,593162168,31758,18568000,1983130963,4670060459,1801679,3575137,419450,2432851,412031,31304,27632321,31242,3654208,14329239,256347,294471698,98968558,51697,4076898291,1991687,9462256,375236,46664455,261650006,612812,2335723,62939,16914628,2475726,1148284,10404259,21805835,302704697,1757969,201642,9849621,113979481,4849272,15610650,229892020,4405157,21647305,3781300,961981530,1131612987,2177723,15358760,133597492,2873288,24789855,72780928,18123,4970823,38649660,3759430,22240833,10108977,5021271,1883077,223734,529491,22553978,147915373,6470628,1309016962,19060850,25903704,9164050,3796000,379861,3928313,5855226,26114,6673254,7649631,612850038,5779278,613321326,23535341,134029,447771,5383291,1985956,8846062,1006760,,77319,15168523,16527,7463347,4504291,60206941,5937177,4335991,862622,96574,1260677,9215000,60372413,9298,31586039,22084527,50594105,2093767328,3270549,272657000,23667000,108001,23020184,108355,74306900,175004,2706518,5861934009,172191,16088019,40926063,44078397,9320089,12045813
1998,87276,63799,19496836,13137542,3128530,266537558,2753498,36109342,3112958,55899,74206,18711000,7976789,7913000,6447672,10203008,6546493,10967836,127478524,8256786,617537,289926,3640821,10069000,225083,60943,8150214,169472347,265370,317214,533737,1692148,3498140,30247900,109207205,7110001,146669,15072409,1241935000,15436470,15107909,2961357,38568056,502128,425932,3750585,6342332,11063917,144472,37742,908040,10294373,82047195,699922,70295,5304219,8392534,30820435,1774962184,2003878640,254945519,859668422,12042454,64084443,315487077,3668350,39721108,1386156,62353942,486168296,315318064,5153498,800616,60185178,45050,108236,1166525,58487141,4487300,17968830,8457221,1159271,1218336,486542,10834880,101302,56100,10691090,152275,737526,1198273331,6543700,5980152,447852845,4501000,8285690,10266570,202990922,74848,1007746556,,3712696,63713397,22387179,274047,5971000,56906744,2556780,4597000,126410000,15071300,29702246,4769000,11685332,80018,44391,46286503,1966000,1722208,485176821,5200898,3114014,2558085,5009240,153066,509715182,631249631,607480754,32227,18784000,2018744087,4744751393,1821609,3549331,424700,2410019,418810,30358,28013585,31517,3652732,14790245,261973,300150805,100678867,51922,4137270639,2013117,9712365,377516,47321204,266704579,611947,2355618,65374,17350739,2550307,1160421,10700180,22355057,306162843,1809719,205000,10215806,116867371,4937320,15707209,230698317,4431464,22175431,3815000,967575014,1139828655,2171135,15646469,137139290,2933100,25206817,74393147,18524,5104516,38663481,3781101,22444993,10160196,5130723,1907187,228380,550367,22507344,147670780,7169658,1333616347,19282965,26491253,9387783,3927200,390493,3961869,5895018,26321,6904978,7567745,629345943,6060600,629832485,23895988,135650,453920,5390516,1981629,8850974,1028694,31240,78846,15591261,17114,7724316,4620710,60903042,6012933,4395293,853069,96991,1262544,9333300,61308204,9334,32378333,22780451,50143939,2118526552,3291677,275854000,24051000,107923,23482700,108535,75456300,178074,2776568,5943024724,172979,16564235,41899683,44960941,9577483,12229500
1999,89004,64084,19987071,13510616,3108778,271912978,2893648,36514558,3093820,56768,76041,18926000,7992324,7982750,6545273,10226419,6740491,11281942,129966823,8210624,640913,293442,3752004,10035000,231860,61285,8322408,172006362,266220,324501,548599,1724924,3569523,30499200,109092730,7143991,147682,15265536,1252735000,15802248,15513653,3044444,39234115,515028,434168,3841734,6387127,11101580,139428,39810,925491,10283860,82100243,711652,69902,5321799,8527881,31276295,1794094115,2024110433,255481995,860941089,12286995,65097777,316375290,3795384,39926268,1380620,64158887,487179992,322524020,5165474,806857,60495470,45788,107808,1195919,58682466,4452500,18384302,8600911,1193143,1245530,502169,10882580,101441,56100,10941913,153951,741046,1204575542,6606500,6107385,460056745,4554000,8433339,10237530,205946831,75875,1025014711,,3754786,64858754,23091408,277381,6125000,56916317,2574289,4681000,126650000,14928426,30478597,4840400,11960467,81377,44938,46616677,1762000,1818405,492817134,5298146,3156706,2741755,5092939,155073,517592150,646993433,621954654,32676,19056000,2054186416,4818472346,1839611,3524238,430475,2390482,425448,29305,28374203,31795,3647001,15262817,267456,305898816,102316781,52076,4196517692,2034487,9977308,379360,47925630,271676356,611367,2376197,67271,17798102,2627739,1175267,11012707,22896048,309600485,1857149,209214,10596258,119831888,5021079,15812088,231248517,4461913,22690158,3835100,973327025,1148125115,2172287,15936169,140580398,2993685,25611482,76018006,18878,5240941,38660271,3800081,22641754,10217828,5240321,1930254,232956,572155,22472040,147214777,7853015,1358111216,19620692,27085465,9618564,3958700,401323,4030443,5928809,26594,7149044,7540401,646291530,6362201,646793699,24253550,137396,460215,5396020,1983045,8857874,1048151,31084,80410,15995760,17866,8002899,4740974,61623143,6094661,4449427,848230,97457,1264781,9455900,62243779,9374,33183093,23507800,49673350,2142331276,3308884,279040000,24311650,107879,23945002,108596,76596700,181346,2848431,6023047888,173758,17035531,42923485,45889100,9839179,12384727
2000,90858,65399,20595360,13924930,3089027,277561423,3026352,36903067,3076098,57522,77648,19153000,8011566,8048600,6674286,10251250,6949366,11607944,132383265,8170172,668239,297759,3834364,10005000,238586,61833,8495271,174504898,267190,331801,564350,1755375,3638316,30769700,108405522,7184250,148725,15454402,1262645000,16131332,15927713,3126204,39897984,528312,442426,3929588,6431380,11138416,133860,41685,943287,10255063,82211508,722887,69679,5339616,8663421,31719449,1812175348,2043379556,256285094,862094365,12533087,66136590,317608111,3939348,40263216,1396985,66024199,487975692,330080933,5176209,811647,60911057,46491,107430,1225527,58892514,4418300,18825034,8746128,1228863,1273312,518179,10917482,101620,56200,11204183,155328,744471,1210722389,6665000,6235561,472726491,4426000,8578234,10210971,208938698,76806,1042261758,,3805174,65911052,23801156,281205,6289000,56942108,2589389,4797000,126870000,14883626,31285050,4898400,12222871,82788,45544,47008111,1700000,1906231,500304988,5388281,3235380,2891968,5176185,156949,525299778,663076857,636658396,33093,19102000,2089438289,4891279561,1856225,3499536,436300,2367550,431907,28384,28710123,32081,3639592,15744811,272745,311791217,103873607,52161,4254621165,2052129,10260577,381363,48453000,276589220,611196,2397473,68434,18275618,2708095,1186873,11321496,23420751,312993944,1897953,213230,10989815,122876727,5100920,15925513,231667801,4490967,23184177,3857700,979054588,1156313649,2192535,16222082,143832014,3054812,26000080,77651848,19174,5379226,38258629,3810605,22840225,10289898,5350253,1952589,237267,593693,22442971,146596870,8395577,1382195669,20144584,27729798,9861679,4027900,412336,4139757,5958794,26969,7385416,7516346,663729242,6652984,664247421,24606051,139428,466668,5388720,1988925,8872109,1063715,30519,81131,16371208,18876,8301151,4864753,62343379,6186152,4501419,853585,97962,1267980,9563500,63174483,9419,34020512,24275641,49175848,2165182876,3320841,282162411,24650400,107897,24407553,108639,77630900,185058,2922153,6102001950,174614,17522537,44000000,46949244,10100981,12503652
2001,92894,68000,21347782,14385283,3064111,283493089,3132104,37273361,3059960,58176,78972,19413000,8042293,8111200,6839376,10286570,7174911,11946080,134729503,8020282,698749,303005,3879353,9928000,245198,62504,8669066,176968205,268296,339114,580888,1783349,3704045,31081900,107811539,7229854,149799,15639289,1271850000,16420173,16350440,3205636,40558648,541976,450812,4013488,6478705,11175465,128905,43317,961481,10216605,82349925,733732,69660,5358783,8799298,32150198,1829456590,2061910900,256674673,863600591,12780869,67204189,319071777,4101609,40756001,1388115,67956866,489161520,337932362,5188008,814700,61355725,47135,107170,1255299,59119673,4386400,19293392,8895353,1266691,1301748,534592,10951764,101849,56350,11478984,156417,747657,1217620409,6714300,6365040,485905201,4440000,8720247,10187576,211970371,77616,1059500888,,3866243,66857624,24516842,284968,6439000,56974100,2605556,4917000,127149000,14858335,32126351,4945100,12472586,84261,46214,47357362,1701154,1980604,507634232,5470169,3357600,2998770,5258677,158650,532840550,679537030,651625175,33475,18797000,2124273947,4962395348,1871500,3470818,441525,2337170,438080,27782,29021156,32366,3631462,16235767,277825,317805287,105339877,52184,4310770173,2065098,10562768,393028,48894203,281419375,611525,2419669,68817,18785719,2791403,1199881,11623166,23925742,316113359,1931282,217324,11396434,126004992,5176685,16046180,232443635,4513751,23655119,3880500,985176774,1164804524,2239025,16510199,146857081,3116409,26372358,79297756,19404,5518971,38248076,3818774,23043449,10362722,5460621,1974075,241276,611808,22131970,145976473,8760003,1405746086,20891594,28434810,10119118,4138000,423529,4295667,5985299,27467,7609265,7503433,681464392,6924455,681998984,24962979,141783,473312,5378867,1992060,8895960,1074761,31189,81202,16700984,20186,8620917,4992225,63069070,6289340,4551762,871353,98504,1272347,9673600,64100297,9471,34895398,25088033,48683865,2186496226,3326762,284968955,24964450,107989,24870441,108386,78621000,189285,2997784,6180015757,175567,18029989,44909738,48167045,10362137,12586763
2002,94995,71639,22202806,14886574,3051427,289680968,3223969,37627545,3047002,58729,80030,19651400,8081957,8171950,7037727,10332785,7414744,12296399,137006279,7868468,732541,309039,3897579,9865000,251766,62912,8843350,179393768,269524,346407,598455,1808976,3767248,31362000,107128884,7284753,150908,15819522,1280400000,16674987,16782044,3283719,41216304,556028,459140,4093840,6521269,11212125,128804,44742,979877,10196916,82488495,744434,69806,5375931,8935261,32572977,1845962610,2079495780,257010286,865379128,13030041,68302914,320764845,4281576,41431558,1379350,69948344,490504132,345983653,5200598,816237,61803229,47751,106983,1285318,59370479,4357000,19786307,9045748,1306667,1330849,551399,10983723,102099,56609,11765738,157241,750629,1224650076,6744100,6495801,499547326,4440000,8859635,10158608,215038285,78338,1076705723,,3931947,67727274,25238267,287523,6570000,57059007,2615253,5038000,127445000,14858948,33000524,4990700,12709336,85799,46934,47622179,1702310,2048232,514805325,5545245,3515604,3070673,5340389,160217,540217803,696334710,666831547,33821,18921000,2159443025,5033154140,1885487,3443067,446175,2310173,444150,27450,29311443,32653,3623062,16736029,282743,323928401,106723661,52161,4366322593,2074441,10882662,395969,49261313,286194319,612325,2443231,68499,19319894,2877431,1210196,11926778,24413795,319050105,1958303,221490,11817297,129224641,5248577,16148929,233318373,4538159,24102862,3948500,991331703,1173236272,2308409,16800017,149693684,3178450,26729909,80953652,19575,5660267,38230364,3823701,23248059,10419631,5571371,1994790,245032,629745,21730496,145408033,8987523,1429513552,21825217,29186427,10390050,4176000,434880,4493047,6008308,28064,7825924,7500031,699668048,7186820,700219447,25316076,144447,480099,5376912,1994530,8924958,1082183,32566,83700,16994676,21740,8959964,5123674,63797841,6404118,4600171,899367,99083,1277723,9781900,65022300,9530,35806497,25943441,48202500,2206879568,3327500,287625193,25271850,108150,25333622,108208,79538700,193950,3075373,6257804216,176592,18551068,45808736,49516960,10625423,12640922
2003,97015,75643,23116142,15421075,3033659,296095945,3369254,37970411,3036032,59117,80904,19895400,8121423,8234100,7264340,10376133,7665681,12659086,139185986,7823557,772058,315624,3895779,9797000,258346,63325,9016787,181752951,270844,353649,616383,1832602,3829636,31676000,106808998,7339001,152039,15995658,1288400000,16909801,17223277,3363418,41872051,570491,466939,4171145,6564985,11245926,131253,46032,998142,10193998,82534176,755085,70058,5390574,9071318,33003442,1861857314,2096269504,257792979,867576140,13279806,69432477,322563172,4472533,42187645,1370720,71989666,492340768,354227821,5213014,817224,62242474,48308,106816,1315820,59647577,4328900,20301686,9204581,1348548,1360559,568552,11018324,102369,56765,12062835,157823,753612,1231471834,6730800,6628171,513621158,4440000,8996229,10129552,218145617,79001,1093786762,,3996521,68543171,25959531,289521,6689700,57313203,2624695,5164000,127718000,14909018,33905011,5043300,12934369,87371,47679,47859311,1703466,2116353,521830960,5619069,3690110,3124222,5422612,161766,547443994,713415311,682231310,34141,19173000,2194868737,5103614254,1898757,3415213,451630,2287955,450711,27363,29586937,32968,3612874,17245275,287594,330179555,108056312,52115,4421382944,2080866,11219737,398582,49577152,290931916,613448,2468595,67562,19873460,2965667,1222811,12238739,24890654,321847258,1981237,225735,12254040,132550146,5317878,16225302,234035814,4564855,24525527,4027200,997436020,1181560149,2389121,17090379,152419974,3240805,27073334,82604681,19700,5803302,38204570,3826095,23449180,10458821,5682350,2015471,248536,660238,21574326,144667468,9126167,1453111368,22852333,29973979,10673535,4114800,446335,4712763,6029366,28700,8037706,7480591,718089717,7449905,718658269,25670835,147455,486867,5373374,1995733,8958229,1087929,33791,82800,17298476,23412,9311234,5258956,64488338,6529609,4648037,933369,99691,1283868,9839800,65938265,9590,36760831,26838428,47812950,2226514207,3325411,290107933,25567650,108353,25797219,108085,80468400,198952,3154969,6335086088,177677,19081306,46409243,50972323,10894519,12673103
2004,98742,79060,24018682,15976715,3014579,302824676,3658658,38308779,3025652,59262,81718,20127400,8171966,8306500,7510771,10421137,7922796,13034258,141235035,7781161,820505,322400,3886723,9730000,265040,63740,9187610,184010283,272205,360797,633893,1854739,3893595,31995000,106530417,7389625,153174,16168241,1296075000,17144325,17674960,3448868,42527623,585389,473577,4246336,6609643,11273363,133363,47299,1015820,10197101,82516260,765776,70325,5404523,9207389,33461345,1877361349,2112499255,258734006,869932238,13529091,70591288,324408656,4665522,42921895,1362550,74066147,494330068,362644490,5228172,818995,62702121,48782,106575,1347125,59987905,4318300,20835514,9379621,1391934,1390791,585983,11055729,102655,56911,12367800,158194,756939,1238504946,6783500,6762426,528066010,4439000,9129933,10107146,221293797,79658,1110626108,,4070262,69342126,26673536,292074,6809000,57685327,2634145,5290000,127761000,15012985,34834606,5104700,13149386,88936,48421,48039415,1704622,2196466,528725135,5699112,3853582,3184643,5507000,163460,554534410,730694477,697754397,34445,19435000,2230512895,5174012022,1912022,3377075,458095,2263122,458542,27514,29855820,33346,3603945,17763367,292505,336707719,109381550,52074,4476257625,2085728,11572936,401268,49875169,295798207,614670,2496248,66143,20438827,3055425,1233386,12569091,25365089,324864038,2003320,230068,12708897,135999250,5386299,16281779,234944755,4591910,24921910,4087500,1003560191,1189894522,2464001,17380197,155151394,3303335,27403845,84231329,19805,5948461,38182222,3826878,23639303,10483861,5793330,2037106,251811,720383,21451748,143821212,9254379,1476314527,23839231,30778572,10967568,4166700,457827,4928175,6050297,29290,8249965,7463157,737078798,7730180,737664781,26026946,150842,493394,5372280,1997012,8993531,1094758,35318,82500,17676012,25025,9665024,5397851,65087400,6663929,4696876,966987,100319,1290379,9932400,66845635,9646,37765139,27766986,47451600,2245744730,3323822,292805298,25864350,108562,26261326,107950,81437700,204135,3236626,6412516968,178794,19612696,47019452,52487293,11174650,12693047
2005,100031,81223,24860855,16544376,2992724,309824383,4148883,38647854,3014917,59117,82565,20394800,8227829,8391850,7770392,10478617,8182362,13421929,143135180,7739900,879534,329088,3879828,9663000,271920,64154,9354709,186142403,273568,367815,650417,1875805,3960897,32312000,106254694,7437115,154298,16337749,1303720000,17393994,18137734,3542867,43184026,600733,478651,4320130,6654820,11292078,136708,48623,1032586,10211216,82469422,776585,70542,5419432,9343362,33960903,1892684836,2128481380,259776294,872520472,13777131,71777678,326165307,4854066,43653155,1354775,76167240,496303356,371206203,5246096,822484,63176246,49157,106198,1379465,60401206,4361400,21384034,9576331,1436549,1421515,603648,11092913,102951,56935,12678919,158401,760834,1245729415,6813200,6898825,542837993,4442000,9260879,10087065,224480901,80345,1127143548,,4159914,70152384,27377045,296734,6930100,57969484,2643601,5411000,127773000,15147029,35785718,5162600,13356424,90468,49139,48138077,1705780,2296314,535502703,5790646,3986865,3269786,5594450,165407,561502779,748106719,713362256,34740,19644000,2266321152,5244447400,1925844,3322528,465158,2238799,468149,27906,30125445,33808,3595187,18290394,297576,343510995,110731826,52058,4531085144,2090044,11941258,403834,50181020,300818779,615820,2526502,64372,21010376,3146164,1243253,12924746,25843466,327892753,2027026,234393,13183798,139585891,5455219,16319868,236119091,4623291,25292058,4133900,1009610324,1198172267,2522325,17657933,157971415,3365929,27723281,85821214,19907,6095959,38165445,3821362,23813333,10503330,5904170,2060378,254884,821159,21319685,143113885,9429457,1498995049,24690067,31585871,11270826,4265800,469306,5119895,6072538,29775,8466938,7440769,756669739,8039351,757273387,26373131,154615,499523,5372807,2000474,9029572,1104642,36936,82900,18167367,26450,10014413,5540214,65559487,6805655,4747839,982889,100960,1296933,10029000,67743052,9694,38824384,28724869,47105150,2264763992,3325155,295516599,26167000,108749,26725897,107863,82393500,209375,3320396,6490176815,179928,20139661,47639556,54028003,11470022,12710589
2006,100830,81877,25631282,17122409,2968028,317125787,4875639,38988923,3002911,58652,83467,20697900,8268641,8484550,8042579,10547958,8443671,13822257,144868702,7699020,950951,335622,3875157,9604000,278985,64523,9517395,188134315,274923,374697,665568,1895944,4032102,32570505,105999320,7483934,155406,16504530,1311020000,17662417,18611937,3646653,43841370,616526,481940,4392493,6700409,11301100,140217,50026,1048314,10238905,82376451,787544,70690,5437272,9479269,34507214,1907490038,2144153798,260908703,875178204,14023503,72990754,327760412,5035036,44397319,1346810,78290649,498179240,379956074,5266268,828060,63617975,49414,105686,1412907,60846820,4398000,21947779,9798963,1482324,1452659,621517,11127947,103260,56774,12995374,158429,765367,1253347579,6857100,7037428,557936978,4440000,9388642,10071370,227709821,81068,1143289350,,4274137,70976584,28064095,303782,7053700,58143979,2653042,5536000,127756000,15308084,36757498,5218400,13555054,91953,49823,48371946,1719536,2417445,542156081,5895930,4079823,3384791,5686475,167658,568336456,765649069,729028598,35028,19858000,2302340655,5314612227,1940413,3269909,472637,2218357,479808,28414,30395097,34369,3585209,18826126,302825,350621934,112116694,52084,4585583629,2093801,12325545,405308,50500070,306024448,616854,2559496,62235,21587317,3237713,1252698,13307535,26327098,331014940,2052931,238459,13679705,143314909,5524927,16346101,237546891,4660677,25634043,4184600,1015800688,1206615089,2554905,17943362,160905794,3428509,28030688,87366573,20012,6245797,38141267,3805214,23969917,10522288,6014781,2085616,257731,967602,21193760,142487260,9660946,1521155564,25371936,32397535,11582925,4401400,480745,5280909,6096692,30130,8687671,7411569,776877393,8376893,777498910,26729387,158806,505186,5373054,2006868,9080505,1118253,38272,84600,18804914,27642,10356822,5685845,65883961,6954522,4801595,999053,101617,1303478,10127900,68626337,9732,39942347,29711397,46787750,2283242974,3330217,298379912,26488250,108908,27190882,107700,83313000,214654,3406334,6567959806,181073,20661714,48269753,55590838,11781612,12724308
