Year,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russian Federation,Serbia,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
1998," $3,558,093,554 "," $283,948,796,040 "," $338,915,253,457 "," $19,085,197,228 "," $33,173,897,874 "," $12,461,636,067 "," $86,577,046,454 "," $230,869,817,298 "," $7,315,130,799 "," $174,707,217,556 "," $1,970,647,742,166 "," $2,921,756,985,991 "," $189,033,532,889 "," $63,327,023,402 "," $11,074,371,133 "," $117,149,329,057 "," $1,652,411,272,008 ", $-   ," $8,631,213,902 "," $14,679,875,177 "," $26,531,915,163 "," $4,969,299,049 ", $-   ," $562,426,904,062 "," $197,146,951,934 "," $226,103,509,711 "," $161,723,138,268 "," $54,935,796,088 "," $353,433,316,796 "," $23,850,053,591 "," $38,899,794,789 "," $28,858,592,626 "," $804,874,648,602 "," $348,016,109,514 "," $384,771,723,959 "," $351,260,172,724 "," $54,632,843,905 "," $1,994,622,765,003 "
1999," $4,275,228,803 "," $269,784,620,441 "," $323,239,880,198 "," $17,004,085,309 "," $29,112,646,170 "," $12,169,683,308 "," $80,564,263,631 "," $221,535,217,334 "," $7,114,520,084 "," $168,332,656,979 "," $1,867,585,513,229 "," $2,734,493,841,853 "," $178,007,434,093 "," $60,953,921,330 "," $11,142,885,360 "," $122,666,889,538 "," $1,554,860,666,778 ", $-   ," $9,072,934,865 "," $13,657,437,952 "," $27,719,438,142 "," $4,864,709,890 ", $-   ," $547,644,418,331 "," $197,983,135,116 "," $209,410,625,325 "," $158,672,817,760 "," $44,306,218,251 "," $243,868,616,228 "," $22,916,430,126 "," $37,853,899,846 "," $28,244,519,467 "," $788,215,494,083 "," $337,158,264,515 "," $360,854,746,392 "," $310,896,199,052 "," $39,312,357,689 "," $1,939,835,135,424 "
2000," $4,408,962,711 "," $234,906,328,964 "," $283,836,477,029 "," $15,969,844,684 "," $26,040,437,078 "," $11,139,983,229 "," $73,518,719,637 "," $196,322,143,428 "," $6,799,515,343 "," $150,136,647,311 "," $1,636,554,035,734 "," $2,328,720,575,196 "," $156,164,118,256 "," $56,340,608,171 "," $10,700,985,933 "," $118,776,545,605 "," $1,365,999,521,467 "," $2,211,503,106 "," $9,367,776,258 "," $13,674,465,929 "," $25,476,854,307 "," $4,732,782,245 "," $1,177,126,323 "," $494,392,540,930 "," $201,261,321,008 "," $205,350,194,651 "," $141,547,501,214 "," $44,614,167,841 "," $310,591,750,835 "," $7,821,656,728 "," $34,813,508,848 "," $24,326,815,098 "," $712,058,389,508 "," $310,704,167,952 "," $324,885,467,647 "," $318,795,808,510 "," $37,386,497,595 "," $1,852,083,959,092 "
2001," $4,845,223,568 "," $233,263,612,637 "," $281,162,514,339 "," $16,940,801,306 "," $27,583,257,097 "," $11,463,741,002 "," $79,796,780,454 "," $195,171,176,975 "," $7,382,689,473 "," $153,077,987,415 "," $1,637,040,276,706 "," $2,307,042,197,483 "," $161,079,495,213 "," $63,402,584,905 "," $9,649,138,597 "," $128,449,308,511 "," $1,377,145,239,505 "," $3,002,737,097 "," $9,845,606,328 "," $14,400,848,677 "," $24,869,352,191 "," $4,639,856,839 "," $1,373,724,299 "," $504,643,348,050 "," $202,433,646,753 "," $226,094,706,967 "," $143,953,710,316 "," $48,068,130,476 "," $363,127,041,975 "," $14,528,700,456 "," $36,359,698,746 "," $24,724,546,458 "," $741,378,307,543 "," $284,147,090,960 "," $329,995,872,769 "," $232,139,658,980 "," $45,016,587,782 "," $1,810,986,613,353 "
2002," $5,177,120,032 "," $247,804,874,455 "," $300,652,678,113 "," $19,016,449,452 "," $31,274,789,156 "," $12,284,145,712 "," $95,059,133,938 "," $207,852,823,850 "," $8,504,016,485 "," $162,378,509,960 "," $1,745,737,989,395 "," $2,415,902,920,259 "," $177,692,143,989 "," $78,384,822,276 "," $10,687,266,012 "," $148,022,487,117 "," $1,474,279,071,466 "," $3,144,440,300 "," $10,838,324,934 "," $16,480,627,123 "," $27,094,581,639 "," $4,998,852,290 "," $1,494,600,103 "," $540,449,921,735 "," $223,318,884,447 "," $231,175,252,273 "," $156,183,708,079 "," $53,510,464,564 "," $401,556,738,819 "," $18,752,939,566 "," $40,893,103,648 "," $27,417,034,593 "," $820,480,797,866 "," $307,094,155,051 "," $350,380,973,160 "," $270,568,793,316 "," $49,326,745,326 "," $1,948,290,790,223 "
2003," $6,397,191,446 "," $295,078,950,146 "," $360,554,717,053 "," $23,882,113,207 "," $39,225,377,874 "," $15,074,801,353 "," $112,386,179,217 "," $246,836,805,286 "," $11,116,510,361 "," $193,614,826,118 "," $2,091,666,223,065 "," $2,832,065,724,433 "," $228,106,969,385 "," $95,905,280,679 "," $12,816,729,477 "," $185,018,953,034 "," $1,777,268,911,145 "," $3,797,217,730 "," $12,660,609,193 "," $21,060,975,403 "," $32,929,192,684 "," $5,794,287,985 "," $1,932,699,282 "," $646,153,873,526 "," $254,515,936,145 "," $246,178,109,021 "," $186,703,042,455 "," $67,302,480,713 "," $487,059,485,187 "," $23,980,962,620 "," $52,979,769,193 "," $33,612,151,340 "," $1,026,358,564,046 "," $374,742,717,709 "," $398,367,504,379 "," $342,935,157,847 "," $56,739,500,170 "," $2,199,853,123,409 "
2004," $8,139,817,604 "," $327,001,735,201 "," $403,979,690,613 "," $28,264,930,937 "," $45,336,124,711 "," $17,248,065,183 "," $129,740,749,149 "," $273,977,226,667 "," $13,148,594,796 "," $214,581,053,282 "," $2,316,394,057,136 "," $3,070,339,865,988 "," $261,342,944,798 "," $112,490,472,532 "," $14,979,879,261 "," $210,509,207,218 "," $1,961,988,601,638 "," $3,969,270,600 "," $15,006,693,301 "," $24,709,469,583 "," $37,304,536,851 "," $6,154,141,994 "," $2,260,840,211 "," $704,525,331,181 "," $283,555,988,270 "," $276,464,607,725 "," $206,314,137,103 "," $82,652,514,029 "," $644,491,227,976 "," $27,110,908,636 "," $62,516,492,759 "," $37,589,402,301 "," $1,166,375,616,003 "," $416,242,119,374 "," $429,149,020,824 "," $427,648,522,649 "," $70,753,571,356 "," $2,506,060,952,135 "
2005," $8,838,649,808 "," $332,001,089,636 "," $408,294,410,548 "," $30,917,227,042 "," $47,922,173,239 "," $17,935,642,792 "," $143,493,149,906 "," $279,155,851,504 "," $14,775,707,279 "," $215,710,332,587 "," $2,325,203,139,910 "," $3,015,223,806,500 "," $261,330,792,446 "," $118,063,449,835 "," $17,725,353,005 "," $221,964,350,526 "," $1,955,733,866,877 "," $3,949,640,752 "," $16,926,937,371 "," $27,524,545,184 "," $39,066,327,743 "," $6,310,781,837 "," $2,381,712,451 "," $709,453,811,247 "," $320,836,290,613 "," $321,207,711,959 "," $208,185,884,819 "," $104,644,390,959 "," $806,154,202,673 "," $27,700,443,377 "," $66,134,690,071 "," $38,350,215,854 "," $1,221,100,431,862 "," $410,508,166,181 "," $430,028,890,302 "," $509,628,072,224 "," $90,894,841,621 "," $2,545,206,976,629 "
2006," $9,386,216,776 "," $343,577,029,030 "," $422,084,665,885 "," $34,584,263,921 "," $51,837,172,944 "," $18,947,823,099 "," $159,524,072,987 "," $290,821,327,727 "," $17,429,058,028 "," $222,555,470,796 "," $2,389,464,297,745 "," $3,081,753,120,733 "," $280,854,991,558 "," $117,410,983,937 "," $17,576,025,089 "," $236,925,823,720 "," $1,997,409,167,817 "," $4,027,012,834 "," $20,488,746,409 "," $31,086,460,571 "," $42,939,488,809 "," $6,567,610,587 "," $2,770,903,101 "," $739,356,816,303 "," $349,486,736,462 "," $352,875,311,315 "," $214,348,685,779 "," $126,103,906,626 "," $1,017,426,537,054 "," $31,458,135,129 "," $72,407,013,376 "," $40,684,904,423 "," $1,299,611,469,728 "," $431,695,391,833 "," $441,101,590,514 "," $545,645,856,653 "," $110,745,861,729 "," $2,654,558,356,525 "
2007," $10,806,602,306 "," $390,252,134,484 "," $476,945,208,260 "," $44,065,207,362 "," $60,657,910,970 "," $22,057,336,838 "," $190,681,136,037 "," $322,652,622,969 "," $22,448,008,560 "," $257,891,848,616 "," $2,689,256,594,410 "," $3,469,409,429,535 "," $321,812,413,322 "," $139,947,419,377 "," $21,658,363,894 "," $271,940,113,524 "," $2,225,717,375,415 "," $4,740,829,540 "," $29,049,528,562 "," $39,714,029,770 "," $49,693,539,314 "," $7,587,976,446 "," $3,709,628,813 "," $841,368,975,028 "," $397,361,600,730 "," $433,181,596,150 "," $242,526,716,665 "," $172,300,540,135 "," $1,312,534,712,360 "," $40,687,108,398 "," $86,879,863,853 "," $48,589,453,369 "," $1,493,866,496,336 "," $492,631,478,033 "," $482,131,887,044 "," $653,540,714,296 "," $144,127,260,399 "," $2,992,509,665,307 "
