Country,Region,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001-2011,2001-2010
Croatia,Eastern Europe,Mil EURO,,,5.532046038,30.98441082,45.81222153,49.61148343,83.9444098,,87.10111097,64.68868526,126.9396275,99.74435352,68.47047077,44.22416955,,
Albania,Non-Aligned Eastern Europe,Mil EURO,,,,,,,,,22.10338072,23.53335923,19.43692525,20.76574431,22.17703078,,,
Bosnia & Herzegovina,Non-Aligned Eastern Europe,Mil EURO,,,,,,,,,,,,,,,,
Macedonia,Non-Aligned Eastern Europe,Mil EURO,,,,,,,,,,,,,,,,
Moldova,Non-Aligned Eastern Europe,Mil EURO,,,,,,,,,,,,,,,,
Montenegro,Non-Aligned Eastern Europe,Mil EURO,,,,,,,,,,,,,,,,
Norway,Northern Europe,Mil EURO,1157.964033,1718.054597,1420.233323,1388.405953,1398.040875,1008.848614,1161.471884,1129.52034,1034.184293,1011.443949,943.1019389,1021.242247,1058.30772,1173.227042,-0.02031523,-0.014919185
Serbia*,Non-Aligned Eastern Europe,Mil EURO,,,,,,,,,,,,,,,,
Switzerland,Western Europe,Mil EURO,,,,,1213.967045,1103.706971,,,,,,,,,,
Turkey,Southern Europe,Mil EURO,10539.26758,7674.474844,7197.398754,5181.481921,4801.476876,5608.038765,3548.842254,4046.559326,3307.600405,4004.623711,3170.803391,2658.069895,3194.623179,2566.075004,-0.113179164,-0.101939287
