Country,Region,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001-2011,2001-2010
France,France,Mil EURO,8768.689118,8800.542395,9751.939106,10263.5721,10226.13532,11178.39101,10405.83119,10021.72927,11120.14071,12320.00209,11169.39006,12178.13759,11378.30087,9682.153,0.02449414,0.038504676
Germany,Germany,Mil EURO,5030.960278,5085.125148,4899.820047,5099.643513,4869.047588,5097.272353,5001.181465,6115.311609,6442.103616,6525.911007,5965.750308,6188.774609,4468.953696,4482.621,0.017188446,0.029329627
Italy,Southern Europe,Mil EURO,3267.818704,3979.597718,4153.136187,3767.455173,2821.785457,2164.371036,3229.244646,3090.477795,2615.335693,2479.302691,2635.322234,1873.954059,2530.572307,2063.824,-0.021281997,-0.030216877
Spain,Southern Europe,Mil EURO,1312.745502,2774.197735,2548.041886,2681.277716,2568.67579,2658.946089,2619.357804,2896.124223,2135.919643,1353.612705,676.6869253,2483.813852,633.0028518,2177.332,-0.064118797,0.003412069
Sweden,Northern Europe,Mil EURO,,,,,1217,1158,1289,901,789,1036,,,,,,
United Kingdom,United Kingdom,Mil EURO,12939.59828,12614.21536,11228.36089,11382.90647,12772.09309,12071.74293,13239.37586,11872.32904,10345.88718,11995.69445,10584.73352,9108.45171,10450.78358,10019.56284,-0.019887533,-0.008380735
Austria,Western Europe,Mil EURO,,,,,214.5786758,91.54822824,549.5001152,386.7929235,317.1128624,,,,,,,
Belgium,Western Europe,Mil EURO,308.0668028,297.9417865,224.1488164,227.5463962,256.2151805,232.7057334,203.2607316,382.9002087,361.3923381,287.3271576,262.1302385,148.1011128,111.7944361,136.955,-0.016017846,-0.007714
Denmark,Northern Europe,Mil EURO,616.5289097,491.2916157,572.0669179,679.1497702,372.9006148,558.5014029,545.4211813,673.286392,336.5684172,505.6362974,330.4853648,316.2370497,360.7766324,335.9701132,-0.06045004,-0.021791023
Finland,Northern Europe,Mil EURO,,,,,700.5687988,768.163398,607.4127131,768.4800233,782.8689915,,,,,,,
Greece,Southern Europe,Mil EURO,1241.920611,762.929377,531.4598586,396.3235081,918.6546852,929.2507776,652.6076033,1122.258279,1966.082913,1049.347571,259.7846715,313.0622631,471.325188,322.998,-0.144830962,-0.018547009
Ireland,Western Europe,Mil EURO,,,,,95.20577281,83.58178024,92.51478281,92.88718157,62.73446049,87.81396585,,,,,,
Luxembourg,Western Europe,Mil EURO,31.62572732,15.83966244,18.07766831,21.11895627,29.33901264,21.09951841,17.25429362,42.83778322,29.02470129,71.33454693,46.49745239,29.15290885,25.88247143,43.068,0.039295062,0.094588908
Netherlands,Western Europe,Mil EURO,1403.218566,1329.344149,1262.215022,1428.820344,1372.198622,1493.224173,1716.088544,1635.125256,1601.738038,1370.180034,1208.135049,1098.238424,975.4517429,833.316,-0.014857589,-0.00264388
Portugal,Southern Europe,Mil EURO,177.6407743,105.6558821,185.417359,203.6471567,254.3481218,245.2302592,216.173184,358.1528397,242.3517388,377.5701434,324.0873801,227.7546396,213.9353376,180.24,0.061969261,0.087386376
Bulgaria,Eastern Europe,Mil EURO,,,,144.6913109,137.3090137,116.0926737,223.9001607,173.7895279,108.0371256,112.7446299,36.32629416,20.76227019,27.69123091,5.634522957,,
Cyprus,Southern Europe,Mil EURO,,,,,55.99296,7.917198317,4.337110192,18.15248224,41.40633597,73.03175542,,,,,,
Czech Republic,Eastern Europe,Mil EURO,330.451614,328.338939,380.9821404,279.3718426,187.4357044,315.4018099,202.7478138,290.6202688,524.3311386,262.4257716,247.3527453,261.9343581,157.2286278,96.75170686,-0.028549031,-0.02528506
Estonia,Eastern Europe,Mil EURO,,,,2.107634365,2.436216178,3.202219644,6.086396727,2.57149534,4.118233206,2.138724697,1.882506201,3.176868688,3.414880719,5.45204709,,
Hungary,Eastern Europe,Mil EURO,186.7399486,197.3763954,187.1304473,205.0898085,147.027011,133.0175331,196.2673967,225.2186025,154.9624977,138.3613137,133.9003599,63.36557946,110.6660068,70.79982508,-0.032715005,-0.03276762
Latvia,Eastern Europe,Mil EURO,,,,23.34421679,29.29516244,49.26324472,38.14287861,59.79580726,15.71500212,34.24917375,23.97763491,20.94565486,26.00626375,23.62794013,,
Lithuania,Eastern Europe,Mil EURO,,,,49.4818565,64.14385152,75.37069642,88.13762906,81.19365568,66.44759152,34.22870714,31.51236111,29.3550484,24.80407137,45.36926552,,
Malta,Southern Europe,Mil EURO,,,,,,0.14,0.14,0.391,0.4,2,,,,,,
Poland,Eastern Europe,Mil EURO,475.3367544,561.6789644,577.7727063,694.5336207,807.4206845,1083.761177,1250.783614,882.205629,934.7053495,1244.815565,1071.227848,1047.07134,946.9598739,1432.094257,0.084646067,0.112899525
Romania,Eastern Europe,Mil EURO,,,,1071.096765,586.6387026,718.3673991,375.1121248,438.6826434,170.1004573,160.5339551,129.7420189,78.39078012,201.6297102,320.501384,,
Slovakia,Eastern Europe,Mil EURO,,,,89.1206639,137.7619594,121.6292781,158.7166513,148.8310845,132.4462342,86.3191644,54.81519346,76.46540735,53.83755325,83.472,,
Slovenia,Eastern Europe,Mil EURO,,,,87.44068816,46.11481712,68.05606695,60.3393941,44.24962357,49.95901924,108.4178089,29.91869953,5.15535088,4.986000699,2.562,,
