"Country"	"ParlGov.party.id"	"Parlgov.Party.Abbrev"	"Parlgov.Party.Name"	"Parlgov.Party.Name.English"	"CHES.party.id"
"Switzerland"	1012	"CsP-PCS"	"Christlich-soziale Partei – Parti chrétien-social"	"Christian Social Party"	3611
"Switzerland"	1318	"EDU-UDF"	"Eidgenössisch-Demokratische Union – Union Démocratique Fédérale"	"Federal Democratic Union of Switzerland"	3608
"Switzerland"	602	"EVP-PEP"	"Evangelische Volkspartei der Schweiz – Parti Populaire Evangelique Suisse"	"Protestant Peoples Party"	3607
"Switzerland"	26	"FDP-PRD"	"Freisinnig-Demokratische Partei der Schweiz – Parti Radical-Democratique Suisse"	"Radical Democratic Party"	NA
"Switzerland"	1602	"FPS"	"Freiheitspartei der Schweiz"	"Freedom Party of Switzerland"	NA
"Switzerland"	569	"FraP"	"Frauen macht Politik"	"Feminist Green Alternative"	NA
"Switzerland"	141	"Grue"	"Grüne – Écologiste"	"Greens"	3605
"Switzerland"	458	"LPS"	"Liberale Partei der Schweiz – Parti liberal suisse"	"Liberal Party of Switzerland"	NA
"Switzerland"	1500	"LdT"	"Lega dei Ticinesi"	"Ticino League"	3610
"Switzerland"	1264	"LdU-ADI"	"Landesring der Unabhängigen – Alliance des Indépendants"	"Independents Alliance"	NA
"Switzerland"	628	"NA-AN"	"Nationale Aktion gegen die Überfremdung von Volk und Heimat – Action Nationale contre l'Emprise et la Surpopulation Etrangere"	"National Action against Foreign Domination"	NA
"Switzerland"	1167	"PdA"	"Partei der Arbeit der Schweiz"	"Swiss Party of Labour"	NA
"Switzerland"	35	"SP-PS"	"Sozialdemokratische Partei der Schweiz – Parti Socialiste Suisse"	"Social Democratic Party of Switzerland"	3602
"Switzerland"	750	"SVP-UDC"	"Schweizerische Volkspartei – Union Démocratique du Centre"	"Swiss People's Party"	3601
"Switzerland"	1226	"S"	"solidaritéS"	"Solidarity"	NA
"Switzerland"	308	"GPL-PVL"	"Grünliberale Partei der Schweiz – Parti Vert-Libéral"	"Green Liberal Party"	3606
"Switzerland"	1213	"BDP"	"Bürgerlich-Demokratische Partei (BDP) Graubünden"	"Conservative Democratic Party of Switzerland"	3612
"Switzerland"	1996	"CSP-OW"	"Christlichsoziale Partei Obwalden"	"Christian Social Party Obwalden"	NA
"Switzerland"	1991	"FDP"	"FDP.Die Liberalen"	"FDP.The Liberals"	3603
"Switzerland"	1992	"MCG"	"Mouvement citoyens genevois"	"Geneva Citizens' Movement"	NA
"Cyprus"	572	"AKEL"	"Anorthotikó Kómma Ergazómenou Laoú"	"Progressive Party of Working People"	4003
"Cyprus"	851	"DIKO"	"Dimokratikó Kómma"	"Democratic Party"	4004
"Cyprus"	1575	"DISY"	"Dimokratikós Sinayermós"	"Democratic Rally"	4001
"Cyprus"	1523	"ED"	"Enomeni Dimokrates"	"Free Democrats Movement"	NA
"Cyprus"	945	"EDEK"	"Kinima Sosialdimokraton EDEK"	"Movement for Social Democracy EDEK"	4005
"Cyprus"	1151	"etc"	"others"	"others"	NA
"Cyprus"	1049	"ADK"	"Agonistiko Dimokratiko Kinima"	"Fighting Democratic Movement"	NA
"Cyprus"	1621	"KOP"	"Kinima Oikologoi Perivallontistoi"	"Ecological and Environmental Movement"	4006
"Cyprus"	6	"NO"	"Neoi Orizontes"	"New Horizons"	NA
"Cyprus"	491	"EK"	"Evropaiko Komma"	"European Party"	NA
"Czech Republic"	789	"CSSD"	"?eská strana sociáln? demokratická"	"Czech Social Democratic Party"	2101
"Czech Republic"	1245	"KDU/CSL"	"K?es?anská a demokratická unie / ?eskoslovenská strana lidová"	"Christian Democratic Union / People's Party"	2104
"Czech Republic"	1173	"KSCM"	"Komunistická strana Cech a Moravy"	"Communist Party of Bohemia and Moravia"	2103
"Czech Republic"	829	"ODS"	"Ob?anská demokratická strana"	"Civic Democratic Party"	2102
"Czech Republic"	688	"US/DEU"	"Unie svobody / Demokratická unie"	"Freedom Union / Democratic Union"	2105
"Czech Republic"	196	"SZ"	"Strana zelených"	"Green Party"	2107
"Czech Republic"	1567	"none"	"no party affiliation"	"no party affiliation"	NA
"Czech Republic"	2	"TOP09"	"Tradice Odpov?dnost Prosperita 09"	"Tradition Responsibility Prosperity 09"	2109
"Czech Republic"	336	"VV"	"V?ci ve?ejné"	"Public Affairs"	2110
"Czech Republic"	2042	"LIDEM"	"LIDEM"	"LIDEM"	NA
"Germany"	808	"CDU"	"Christlich Demokratische Union"	"Christian Democratic Union"	301
"Germany"	1180	"CSU"	"Christlich Soziale Union"	"Christian Social Union"	308
"Germany"	543	"FDP"	"Freie Demokratische Partei"	"Free Democratic Party"	303
"Germany"	772	"Grue"	"Bündnis 90 / Die Grünen"	"Alliance 90 / Greens"	304
"Germany"	791	"PDS"	"Partei des Demokratischen Sozialismus"	"Party for Democratic Socialism"	306
"Germany"	558	"SPD"	"Sozialdemokratische Partei Deutschlands"	"Social Democratic Party of Germany"	302
"Germany"	1227	"Linke"	"Die Linke"	"The Left"	NA
"Denmark"	1324	"CD"	"Centrumdemokraterne"	"Centre Democrats"	204
"Denmark"	1418	"DF"	"Dansk Folkeparti"	"Danish Peoples Party"	215
"Denmark"	306	"Enh"	"Enhedslisten / De Rød-Grønne"	"Red-Green Alliance"	213
"Denmark"	978	"FrP"	"Fremskridtspartiet"	"Progress Party"	212
"Denmark"	1634	"G/F"	"Grønland og Færøerne"	"Greenland and Faroe Islands"	NA
"Denmark"	590	"KF"	"Konservative"	"Conservatives"	203
"Denmark"	1331	"KrF"	"Kristeligt Folkeparti"	"Christian People's Party"	210
"Denmark"	211	"RV"	"Det Radikale Venstre"	"Danish Social-Liberal Party"	202
"Denmark"	1644	"SF"	"Socialistisk Folkeparti"	"Socialist Peoples Party"	206
"Denmark"	1629	"Sd"	"Socialdemokraterne"	"Social Democrats"	201
"Denmark"	1605	"V"	"Venstre"	"Liberal Party of Denmark"	211
"Denmark"	376	"NLA"	"Ny/Liberal Alliance"	"New/Liberal Alliance"	218
"Denmark"	1891	"IA"	"Inuit Ataqatigiit"	"Community of the People"	NA
"Denmark"	1894	"Jf"	"Javnaðarflokkurin"	"Social Democratic Party (Faroe Islands)"	NA
"Denmark"	1892	"Sbf"	"Sambandsflokkurin"	"Union Party (Faroe Islands)"	NA
"Denmark"	74	"Si"	"Siumut"	"Forward (Greenland)"	NA
"Spain"	520	"BNG"	"Bloque Nacionalista Galego"	"Galician Nationalist Block"	513
"Spain"	234	"CC"	"Coalición Canaria"	"Canary Coalition"	517
"Spain"	894	"CiU"	"Convergència i Unió"	"Convergence and Unity"	505
"Spain"	845	"EA"	"Eusko Alkartasuna"	"Basque Solidarity"	507
"Spain"	757	"ERC"	"Esquerra Republicana de Catalunya"	"Republican Left of Catalonia"	511
"Spain"	1317	"HB"	"Herri Batasuna"	"United People"	NA
"Spain"	118	"IU/PCE"	"Izquierda Unida / Partido Communista"	"United Left / Communist Party"	504
"Spain"	1361	"PNV"	"Partido Nacionalista Vasco – Euzko Alderdi Jeltzalea"	"Basque National Party"	506
"Spain"	645	"PP"	"Partido Popular"	"Popular Party"	502
"Spain"	902	"PSOE"	"Partido Socialista Obrero Español"	"Spanish Socialist Workers Party"	501
"Spain"	443	"UV"	"Union Valenciana"	"Valencian Union"	512
"Spain"	1367	"CA"	"Chunta Aragonesista"	"Aragonese Council"	520
"Spain"	941	"ICV"	"Iniciativa per Catalunya Verds"	"Initiative for Catalonia Greens"	518
"Spain"	370	"PA"	"Partidu Andalucista"	"Andalusian Party"	516
"Spain"	385	"NaBai"	"Nafarroa Bai"	"Navarre Yes"	NA
"Spain"	551	"UPyD"	"Unión Progreso y Democracia"	"Union, Progress and Democracy"	523
"Spain"	1975	"A"	"Amaiur"	"Amaiur"	524
"Spain"	1976	"EU"	"Extremadura Unida"	"United Extremadura"	NA
"Spain"	1978	"FAC"	"Foro de Ciudadanos"	"Asturian Forum"	NA
"Spain"	1979	"GBAI"	"Geroa Bai"	"Yes to the future"	NA
"Spain"	1221	"PAR"	"Partido Aragonés Regionalista"	"Aragonese Regionalist Party"	510
"Spain"	1974	"PSC-PSOE"	"Partit dels Socialistes de Catalunya"	"Socialists' Party of Catalonia"	519
"Spain"	1630	"UPN"	"Union del Pueblo Navarro"	"Navarrese Peoples Union"	NA
"Spain"	1377	"etc"	"others"	"others"	NA
"Estonia"	1137	"EK"	"Eesti Keskerakond"	"Centre Party of Estonia"	2202
"Estonia"	113	"ERe"	"Eesti Reformierakond"	"Estonian Reform Party"	2203
"Estonia"	486	"KMU"	"Koonderakond ja Maarahva Ühendus"	"Coalition Party and Rural Union"	NA
"Estonia"	149	"MKE"	"Meie Kodu on Eestimaa!"	"Our Home is Estonia!"	NA
"Estonia"	1395	"P"	"Parempoolsed"	"Right-wingers"	NA
"Estonia"	1314	"RKI/ERSP"	"Rahvuslik Koonderakond \"Isamaa\" / Eesti Rahvusliku Sõltumatuse Partei"	"National Coalition Party \"Pro Patria\" / ERSP"	NA
"Estonia"	1448	"SDE-M"	"Sotsiaaldemokraatlik Erakond – Mõõdukad"	"Social Democratic Party -- Moderates"	2204
"Estonia"	1519	"EKK"	"Eesti Koonderakond"	"Estonian Coalition Party"	NA
"Estonia"	924	"EME"	"Eesti Maarahva Erakond"	"Estonian Country People's Party"	NA
"Estonia"	846	"I"	"Isamaaliit"	"Pro Patria Union"	NA
"Estonia"	1590	"K-EUR"	"Konstitutsioonierakond – Eestimaa Ühendatud Rahvapartei"	"Constitution Party -- Estonian United People's Party"	2205
"Estonia"	417	"ERa"	"Eestimaa Rahvalliit"	"People's Union of Estonia"	2206
"Estonia"	428	"ResP"	"Res Publica"	"Res Publica Party"	NA
"Estonia"	219	"EER"	"Erakonna Eestimaa Rohelised"	"Estonian Greens"	2207
"Estonia"	1597	"IRL"	"Erakond Isamaa ja Res Publica Liit"	"Union of Pro Patria and Res Publica"	2201
"Finland"	66	"AS"	"Åländsk Samlingin ääntä – Åländsk Samling"	"Aland Coalition"	NA
"Finland"	1105	"Eko"	"Ekologinen puolue – Ekologiska partiet"	"Ecological Party"	1413
"Finland"	1463	"KD"	"Suomen Kristillisdemokraatit – Kristdemokraterna i Finland"	"Finnish Christian Union"	1409
"Finland"	94	"KESK"	"Keskusta"	"Centre Party"	1403
"Finland"	1118	"KOK"	"Kansallinen Kokoomus – Samlingspartiet"	"National Coalition Party"	1402
"Finland"	1009	"NSP"	"Nuorsuomalaiset – Ungfinnarna"	"Young Finns"	NA
"Finland"	585	"RKP-SFP"	"Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland"	"Swedish People's Party"	1406
"Finland"	200	"SP-P"	"Suomen Puolue – Perussuomalaiset"	"Finnish Party -- True Finns"	1405
"Finland"	395	"SSDP"	"Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti"	"Social Democratic Party of Finland"	1401
"Finland"	1427	"VAS"	"Vasemmistoliitto – Vänsterförbundet"	"Left Alliance"	1404
"Finland"	1062	"VIHR"	"Vihreä Liitto – Gröna Förbundet"	"Green League"	1408
"Finland"	638	"Rt"	"Remonttiryhmä"	"Reform Group"	1412
"France"	270	"FN"	"Front National"	"National Front"	610
"France"	686	"PCF"	"Parti communiste française"	"French Communist Party"	601
"France"	1539	"PS"	"Parti socialiste"	"Socialist Party"	602
"France"	138	"RPR"	"Rassemblement pour la République"	"Rally for the Republic"	609
"France"	509	"UDF"	"Union pour la démocratie française"	"Union for French Democracy"	613
"France"	873	"V"	"Les Verts"	"Greens"	605
"France"	285	"droite"	"divers droite"	"other right"	NA
"France"	177	"gauche"	"divers gauche"	"others left"	NA
"France"	1101	"MF"	"Mouvement pour la France"	"Movement for France"	612
"France"	658	"UMP"	"Union pour un mouvement populaire"	"Union for a Popular Movement"	609
"France"	1058	"NC"	"Nouveau centre"	"New Centre"	NA
"France"	937	"MoDem"	"Mouvement démocrate"	"Democratic Movement"	NA
"France"	2078	"AC"	"Alliance centriste"	"Centrist Alliance"	623
"France"	2077	"MIM"	"Mouvement indépendantiste martiniquais"	"Martinican Independence Movement"	NA
"France"	2081	"PR"	"Parti radical"	"Radical Party"	622
"France"	1492	"PRG"	"Parti radical de gauche"	"Radical Party of the Left"	603
"France"	2079	"exd"	"extrême droite"	"other far-right"	NA
"United Kingdom"	773	"Con"	"Conservatives"	"Conservatives"	1101
"United Kingdom"	319	"DUP"	"Democratic Unionist Party"	"Democratic Unionist Party"	NA
"United Kingdom"	1302	"LD"	"Liberal Democrats"	"Liberal Democrats"	1104
"United Kingdom"	1556	"Lab"	"Labour Party"	"Labour"	1102
"United Kingdom"	311	"Plaid"	"Plaid Cymru"	"Plaid Cymru"	1106
"United Kingdom"	1023	"SDLP"	"Social Democratic and Labour Party"	"Social Democratic and Labour Party"	NA
"United Kingdom"	689	"SF"	"Sinn Féin"	"Sinn Fein"	NA
"United Kingdom"	1284	"SNP"	"Scottish National Party – Pàrtaidh Nàiseanta na h-Alba"	"Scottish National Party"	1105
"United Kingdom"	593	"UKUP"	"United Kingdom Unionist Party"	"United Kingdom Unionist Party"	NA
"United Kingdom"	1210	"UUP"	"Ulster Unionist Party"	"Ulster Unionist Party"	NA
"United Kingdom"	453	"etc"	"others"	"others"	NA
"United Kingdom"	1057	"R"	"Respect – The Unity Coalition"	"Respect -- The Unity Coalition"	NA
"United Kingdom"	2060	"All"	"Alliance Party of Northern Ireland"	"Alliance Party of Northern Ireland"	NA
"United Kingdom"	467	"GP"	"Green Party"	"Green Party"	1107
"Greece"	720	"DIKKI"	"Dimokratiko Koinoniko Kinima"	"Democratic Social Movement"	409
"Greece"	614	"KKE"	"Kommounistikó Kómma Elládas"	"Communist Party of Greece"	404
"Greece"	47	"ND"	"Néa ?imokratía"	"New Democracy"	402
"Greece"	1338	"PASOK"	"Panellinio Sosialistikó Kínima"	"Panhellenic Socialist Movement"	401
"Greece"	1441	"SYN"	"Synaspismós"	"Synaspismos"	403
"Greece"	1179	"LAOS"	"Laïkós Orthódoxos Synagermós"	"Popular Orthodox Rally"	410
"Greece"	1592	"SRA"	"Synaspismós Rizospastikís Aristerás"	"Coalition of the Radical Left"	403
"Greece"	1358	"none"	"no party affiliation"	"no party affiliation"	NA
"Greece"	2091	"AE"	"Anexartitoi Ellines"	"Independent Greeks"	412
"Greece"	2093	"DIMAR"	"Dimokratiki Aristera"	"Democratic Left"	414
"Greece"	2092	"LS-CA"	"Laikos Syndesmos - Chrysi Avg"	"People’s Association – Golden Dawn"	415
"Hungary"	870	"FKgP"	"Független Kisgazda Párt"	"Independent Small Holders Party"	NA
"Hungary"	921	"Fides-MPSz"	"Fidesz – Magyar Polgári Szövetség"	"Fidesz-Hungarian Civic Union"	2302
"Hungary"	546	"MDF"	"Magyar Demokrata Fórum"	"Hungarian Democratic Forum"	2303
"Hungary"	95	"MIEP"	"Magyar Igazság és Élet Pártja"	"Hungarian Justice and Life Party"	2305
"Hungary"	1591	"MSZP"	"Magyar Szocialista Párt"	"Hungarian Socialist Party"	2301
"Hungary"	1426	"SzDSz"	"Szabad Demokraták Szövetsége"	"Alliance of Free Democrats"	2304
"Hungary"	1617	"none"	"független"	"no party affiliation"	NA
"Hungary"	434	"KDNP"	"Kereszténydemokrata Néppárt"	"Christian Democratic People's Party"	2307
"Hungary"	952	"SE"	"Somogyért Egyesület"	"Association for Somogy"	NA
"Hungary"	403	"LMP"	"Lehet Más a Politika"	"Politics Can Be Different"	2309
"Hungary"	584	"MIEP-Jobbik"	"Magyar Igazság és Élet Pártja – Jobbik a Harmadik Út"	"Hungarian Justice and Life Party -- Jobbik and Third Way Alliance"	NA
"Ireland"	1580	"DLP"	"Democratic Left"	"Democratic Left"	NA
"Ireland"	280	"FF"	"Fianna Fáil"	"Fianna Fail (Soldiers of Destiny)"	701
"Ireland"	1393	"FG"	"Fine Gael"	"Fine Gael (Familiy of the Irish)"	702
"Ireland"	1573	"Greens"	"Green Party-Comhaontas Glas"	"Green Party"	705
"Ireland"	318	"Lab"	"Páirti Lucht Oibre"	"Labour Party"	703
"Ireland"	651	"PD"	"An Pairti Daonlathach"	"Progressive Democrats"	706
"Ireland"	433	"SF"	"Sinn Féin"	"Sinn Fein"	707
"Ireland"	1014	"SP"	"Páirtí Sóisialach"	"Socialist Party"	708
"Ireland"	30	"none"	"no party affiliation"	"no party affiliation"	NA
"Ireland"	1804	"PBPA"	"People Before Profit Alliance"	"People Before Profit Alliance"	709
"Italy"	373	"AN"	"Alleanza Nazionale"	"National Alliance"	805
"Italy"	99	"CCD"	"Centro Cristiano Democratico"	"Christian Democratic Center"	NA
"Italy"	809	"DS"	"Democratici di Sinistra"	"Left-Wing Democrats"	802
"Italy"	809	"DS"	"Democratici di Sinistra"	"Left-Wing Democrats"	842
"Italy"	596	"FI"	"Forza Italia"	"Go Italy"	815
"Italy"	910	"FdV"	"Federazione dei Verdi"	"Federation of the Greens"	808
"Italy"	1436	"LN"	"Lega Nord"	"North League"	811
"Italy"	1321	"PRC"	"Partito della Rifondazione Comunista"	"Communist Refoundation Party"	803
"Italy"	1661	"PdCI"	"Partito dei Comunisti Italiani"	"Party of the Italian Communists"	836
"Italy"	1661	"PdCI"	"Partito dei Comunisti Italiani"	"Party of the Italian Communists"	841
"Italy"	840	"PpP"	"Popolari per Prodi"	"Popular Party for Prodi"	NA
"Italy"	630	"RiI"	"Rinnovamento Italiano"	"Italian Renewal"	825
"Italy"	1278	"SDI"	"Socialisti Democratici Italiani"	"Italian Democrat Socialists"	807
"Italy"	1145	"UDR"	"Unione dei democratici per la repubblica"	"Union of republican democrats"	NA
"Italy"	825	"etc"	"diversi"	"others"	NA
"Italy"	1552	"none"	"senzo partito"	"no party affiliation"	NA
"Italy"	961	"ID"	"I Democratici"	"Democracy"	819
"Italy"	399	"UDEUR"	"Unione Democratici per l'Europa"	"Union of Democrats for Europe"	829
"Italy"	2001	"PC"	"Presidente del Consiglio dei ministri"	"Prime minister"	NA
"Italy"	627	"CCD/CDU"	"Centro Cristiano Democratico  / Cristiani Democratici Uniti"	"Christian Democratic Center / United Christian Democrats"	814
"Italy"	627	"CCD/CDU"	"Centro Cristiano Democratico  / Cristiani Democratici Uniti"	"Christian Democratic Center / United Christian Democrats"	818
"Italy"	1005	"DL-M"	"Democrazia è Libertà – La Margherita"	"Democracy is Freedom -- The Daisy"	819
"Italy"	949	"Giras"	"Il Girasole"	"Greens and Social Democrats"	NA
"Italy"	1287	"NPSI"	"Nuovo Partito Socialisti Italiani"	"New PSI"	835
"Italy"	1030	"SVP"	"Südtiroler Volkspartei"	"South Tyrol Peoples Party"	827
"Italy"	974	"UV"	"Union Valdôtaine"	"Valdotanian Union"	NA
"Italy"	93	"PRI"	"Partito Repubblicano Italiano"	"Republican Party"	806
"Italy"	226	"UDC"	"Unione dei Democratici Cristiani e Democratici di Centro"	"Union of Christian and Centre Democrats"	814
"Italy"	1494	"AISA"	"Associazioni Italiane in Sud America"	"Italian Associations in Latin America"	NA
"Italy"	1063	"ALD"	"Autonomie Liberté Démocratie"	"Autonomy Liberty Democracy"	NA
"Italy"	1550	"DCA/NPSI"	"Democrazia Cristiana / Nuovo PSI"	"Chrisitan Democracy / New PSI"	NA
"Italy"	693	"IdV"	"Italia dei Valori"	"Italy of Values"	828
"Italy"	1246	"LUP"	"L'Unione-Prodi"	"The Union-Prodi"	NA
"Italy"	946	"PIM"	"Per Italia nel Mondo"	"For Italy in the World"	NA
"Italy"	849	"RnP"	"Rosa nel Pugno"	"Rose in the Fist"	NA
"Italy"	1048	"Ulivo"	"L'Ulivo"	"The Olive Tree"	NA
"Italy"	51	"IPdL"	"Il Popolo della Libertà"	"The People of Freedom"	NA
"Italy"	927	"MAIE"	"Movimento Associativo Italiani all'Estero"	"Associative Movement Italians Abroad"	NA
"Italy"	1040	"MpA"	"Movimento per l'Autonomia"	"Movement for Autonomy"	840
"Italy"	382	"PD"	"Partito Democratico"	"Democratic Party"	837
"Italy"	737	"UdC"	"Unione di Centro"	"Union of the Centre"	NA
"Italy"	1477	"FLI"	"Futuro e libertà per l'Italia"	"Future and Freedom for Italy"	NA
"Lithuania"	383	"JL"	"Jaunoji Lietuva"	"Young Lithuania"	NA
"Lithuania"	493	"KDS"	"Krikš?ioni? demokrat? s?junga"	"Christian Democratic Union"	NA
"Lithuania"	887	"LCS"	"Lietuvos centro s?junga"	"Center Union of Lithuania"	2509
"Lithuania"	519	"LDDP"	"Lietuvos demokratin? darbo partija"	"Democratic Labour Party of Lithuania"	NA
"Lithuania"	1144	"LDP"	"Lietuvos demokrat? partijos jungtinis s?rašas"	"Lithuanian Democratic Party"	NA
"Lithuania"	675	"LKDP"	"Lietuvos Krikš?ionys Demokratai"	"Lithuanian Christian Democrats"	2508
"Lithuania"	28	"LLRA"	"Lietuvos lenk? rinkim? akcija"	"Election Action of Lithuania's Poles"	2511
"Lithuania"	378	"LLS"	"Lietuvos liberal? s?junga"	"Liberal Union of Lithuania"	NA
"Lithuania"	1261	"LMP-NDP"	"Lietuvos moter? partija – Naujosios demokratijos partija"	"Lithuanian Women’s Party -- New Democratic Party"	2502
"Lithuania"	1447	"LPKTS"	"Lietuvos politini? kalini? ir termini? s?junga"	"Union of Lithuanian Political Prisoners and Deportees"	NA
"Lithuania"	1408	"LSDP"	"Lietuvos socialdemokrat? partija"	"Lithuanian Social Democratic Party"	2501
"Lithuania"	432	"LTS"	"Lietuvi? tautinink? s?junga"	"Lithuanian National Union List"	NA
"Lithuania"	1632	"LVP"	"Lietuvos valstie?i? partija"	"Lithuanian Peasant Party"	2507
"Lithuania"	1045	"TS-LK"	"T?vyn?s S?junga"	"Homeland Union"	NA
"Lithuania"	58	"none"	"no party affiliation"	"no party affiliation"	NA
"Lithuania"	422	"BSDK"	"Brazausko socialdemokratiné koalicija"	"Brazauskas Social Democratic Coalition"	NA
"Lithuania"	1482	"JL/PKS"	"Jaunoji Lietuva / Politini? kalini? s?junga"	"Young Lithuania / Union of Political Prisoners"	2513
"Lithuania"	1562	"LLS"	"Lietuvos laisv?s s?junga"	"Lithuanian Liberty Union"	2512
"Lithuania"	129	"MKDS"	"Moderni?j? krikš?ioni? demokrat? s?junga"	"Modern Christian-Democratic Union"	2514
"Lithuania"	1320	"NKS"	"Nuosaiki?j? konservatori? s?junga"	"Moderate Conservative Union"	2510
"Lithuania"	856	"NS"	"Naujoji s?junga (socialliberalai)"	"New Union"	2504
"Lithuania"	581	"DP"	"Darbo Partija"	"Labour Party"	2516
"Lithuania"	1277	"LSDP"	"Lietuvos socialdemokrat? partija"	"Lithuanian Social Democratic Party"	NA
"Lithuania"	983	"LiCS"	"Liberal? ir centro s?junga"	"Liberal and Centre Union"	2505
"Lithuania"	823	"RPk"	"Rolando Pakso koalicija 'Už tvark? ir teisingum?'"	"Coalition of Rolandas Paksas 'For Order and Justice'"	NA
"Lithuania"	1438	"VP/NDP"	"Valstie?i? partija / Naujosios demokratijos partija"	"Peasant Party / New Democratic Party"	2507
"Lithuania"	191	"LVLS"	"Lietuvos valstie?i? liaudinink? s?junga"	"Lithuanian Peasant Popular Union"	2507
"Lithuania"	676	"PDP"	"Pilietin?s demokratijos partija"	"Civic Democratic Party"	NA
"Lithuania"	482	"LRLS"	"Lietuvos Respublikos Liberal? s?j?dis"	"Liberals' Movement of the Republic of Lithuania"	2518
"Lithuania"	1502	"TPP"	"Tautos prisik?limo partija"	"National Resurrection Party"	2517
"Lithuania"	293	"TS-LKD"	"T?vyn?s s?junga – Lietuvos krikš?ionys demokratai"	"Homeland Union -- Lithuanian Christian Democrats"	2506
