"Country"	"ParlGov.party.id"	"Parlgov.Party.Abbrev"	"Parlgov.Party.Name"	"Parlgov.Party.Name.English"	"CHES.party.id"
"Austria"	50	"FPO"	"Freiheitliche Partei Österreichs"	"Freedom Party of Austria"	1303
"Austria"	1429	"GRUENE"	"Die Grünen – Die grüne Alternative"	"The Greens -- The Green Alternative"	1304
"Austria"	955	"LIF"	"Liberales Forum"	"Liberal Forum"	1306
"Austria"	1013	"OVP"	"Österreichische Volkspartei"	"Austrian People's Party"	1302
"Austria"	973	"SPO"	"Sozialdemokratische Partei Österreichs"	"Social Democratic Party of Austria"	1301
"Austria"	1536	"BZO"	"Bündnis Zukunft Österreich"	"Alliance for the Future of Austria"	1307
"Belgium"	1594	"AGL-Gr"	"Agalev – Groen"	"Agalev -- Groen"	105
"Belgium"	723	"CVP"	"Christelijke Volkspartij"	"Flemish Christian Peoples Party"	109
"Belgium"	161	"Ecolo"	"Écologistes Confédérés pour l'organisation de luttes originales"	"Confederated ecologists for the organisation of original struggles"	104
"Belgium"	171	"FN"	"Front National"	"National Front"	115
"Belgium"	168	"PRL/FDF"	"Parti Réformateur Libéral / Front Démocratique des Francophones"	"Liberal Reformation Party / Francophone Democratic Front"	106
"Belgium"	1378	"PS"	"Parti Socialiste"	"Francophone Socialist Party"	102
"Belgium"	1192	"PSC"	"Parti Social Chrétien"	"Francophone Christian Social Party"	108
"Belgium"	1110	"PVV"	"Partij voor Vrijheid en Vooruitgang"	"Party of Liberty and Progress"	NA
"Belgium"	1029	"SP"	"Socialistische Partij"	"Socialist Party"	103
"Belgium"	993	"VB"	"Vlaams Blok"	"Flemish Block"	112
"Belgium"	290	"VU"	"Volksunie"	"People's Union"	110
"Belgium"	1310	"CD&V"	"Christen-Democratisch en Vlaams"	"Christian Democrats & Flemish"	109
"Belgium"	915	"MR"	"Mouvement Réformateur"	"Reformist Movement"	106
"Belgium"	501	"N-VA"	"Nieuw-Vlaamse Alliantie"	"New Flemish Alliance"	110
"Belgium"	1113	"SPA/Spirit"	"Socialistische Partij Anders / Sociaal-Liberale Partij"	"Socialist Party Different / Social Liberal Party"	103
"Belgium"	972	"CD&V/N-VA"	"Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie"	"Christian-Democrat and Flemish/New Flemish Alliance"	109
"Belgium"	221	"LD"	"Lijst Dedecker"	"List Dedecker"	117
"Belgium"	438	"Pp"	"Parti populaire"	"People's Party"	120
"Belgium"	969	"FDF"	"Front Démocratique des Francophones"	"Francophone Democratic Front"	111
"Bulgaria"	599	"BBB"	"Balgarski Biznes Blok"	"Bulgarian Business Bloc"	NA
"Bulgaria"	603	"DL"	"Democratichnata Levitsa"	"Democratic Left"	NA
"Bulgaria"	710	"KE"	"Koalicija Evrolevica"	"Euroleft Coalition"	NA
"Bulgaria"	784	"ODS"	"Obedineni Demokratichni Sili"	"United Democratic Forces"	2002
"Bulgaria"	996	"ONS"	"Obedinenie za Nacionalno Spasenie"	"Union for National Salvation"	NA
"Bulgaria"	353	"ZNS"	"Zemedelski Naroden S?yuz"	"Agrarian People's Union"	NA
"Bulgaria"	1286	"DPS"	"Dvizhenie za prava i svobodi"	"Movement for Rights and Freedoms"	2004
"Bulgaria"	1160	"KzB"	"Koalicija za Balgarija"	"Coalition for Bulgaria"	NA
"Bulgaria"	544	"NDSV"	"Natsionalno Dvizhenie Simeon Vtori"	"National Movement Simeon II"	2006
"Bulgaria"	535	"ATA"	"Natsionalen S?yuz Ataka"	"National Union Attack"	2007
"Bulgaria"	1375	"BNS"	"Balgarski Naroden Sajuz"	"Bulgarian People's Union"	2009
"Bulgaria"	57	"DSB"	"Demokrati za Silna Balgarija"	"Democrats for a Strong Bulgaria"	2008
"Bulgaria"	1254	"BC"	"Sinyata koalitsia"	"Blue Coalition"	NA
"Bulgaria"	1541	"GERB"	"Grazhdani za evropeysko razvitie na Balgariya"	"Citizens for European Development of Bulgaria"	2010
"Bulgaria"	636	"PPS"	"Porz?dek, Prawo i Sprawiedliwo??"	"Order, Law and Justice"	NA
"Switzerland"	531	"CVP-PDC"	"Christlichdemokratische Volkspartei – Parti démocrate-chrétien"	"Conservative Peoples Party"	3604
