Component,Unit/Currency,2005,2006,2007,2008,2009,2010,2011,2012,CAGR 2005-2012
Total Defense Equipment Procurement,Mil EURO,26355,29134,32325,33269,32521,34309,29174,34157,0.037738908
Total Collaborative Equipment Procurement,Mil EURO,4746,6663,6846,8072,8233,7694,7912,5999,0.034036515
European Collaborative Equipment Procurement,Mil EURO,4222,6078,6107,7068,7144,7286,7338,5732,0.044647352
Non European Collaborative Equipment Procurement,Mil EURO,524,585,739,1004,1089,408,574,267,-0.091827038
