"Country","CHES.party.id","ParlGov.party.id","Recommended.CHES.party.id","Disagreement","Verified","Abnormalities","CHES.Party.Abbrev","Parlgov.Party.Abbrev","CHES.Party.Name","Parlgov.Party.Name","CHES.Party.Name.English","Parlgov.Party.Name.English"
"Denmark",218,376,218,FALSE,TRUE,NA,"LA","NLA","Liberal Alliance","Ny-Liberal Alliance","Liberal Alliance","New-Liberal Alliance"
"Germany",301,808,301,FALSE,TRUE,NA,"CDU","CDU","Christlich Demokratische Union","Christlich Demokratische Union","Christian Democratic Union","Christian Democratic Union"
"Germany",302,558,302,FALSE,TRUE,NA,"SPD","SPD","Sozialdemokratische Partei Deutschlands","Sozialdemokratische Partei Deutschlands","Social Democratic Party of Germany","Social Democratic Party of Germany"
"Germany",303,543,303,FALSE,TRUE,NA,"FDP","FDP","Freie Demokratische Partei","Freie Demokratische Partei","Free Democratic Party","Free Democratic Party"
"Germany",304,772,304,FALSE,TRUE,NA,"Grünen","B90/Gru","Bündnis ’90/Die Grünen","Bündnis 90 / Die Grünen","Alliance 90/The Greens","Alliance 90 / Greens"
"Germany",305,524,305,FALSE,NA,NA,"REP","Rep","Republikaner","Die Republikaner","Republikaner","The Republicans"
"Germany",306,791,306,FALSE,TRUE,NA,"PDS;Linkspartei/PD","Li/PDS","Partei des Demokratischen Sozialismus;Die Linkspartei/Partei des Demokratischen Sozialismus","Die Linke / PDS","Party of Democratic Socialism;Left Party/Party of Democratic Socialism","The Left / PDS"
"Germany",306,1127,NA,FALSE,TRUE,NA,"PDS;Linkspartei/PD",NA,"Partei des Demokratischen Sozialismus;Die Linkspartei/Partei des Demokratischen Sozialismus",NA,"Party of Democratic Socialism;Left Party/Party of Democratic Socialism",NA
"Germany",308,1180,308,FALSE,TRUE,NA,"CSU","CSU","Christlich Soziale Union in Bayern","Christlich Soziale Union","Christian Social Union in Bavaria","Christian Social Union"
"Germany",309,1506,309,FALSE,NA,NA,"DVU","DVU","Deutsche Volksunion","Deutsche Volksunion","German People’s Union","German People's Union"
"Germany",310,NA,NA,FALSE,NA,NA,"AfD",NA,"Alternative für Deutschland",NA,"Alternative for Germany",NA
"Germany",311,NA,NA,FALSE,NA,NA,"Piraten",NA,"Piratenpartei Deutschland",NA,"Pirate Party of Germany",NA
"Germany",312,NA,NA,FALSE,NA,NA,"DieTier",NA,"Mensch Umwelt Tierschutz",NA,"Human Environment Animal Protection",NA
"Greece",401,1338,401,FALSE,TRUE,NA,"PASOK","PASOK","Panellinio Sosialistikó Kínima","Panellinio Sosialistikó Kínima","Panhellenic Socialist Movement","Panhellenic Socialist Movement"
"Greece",402,47,402,FALSE,TRUE,NA,"ND","ND","Néa Dimokratía","Néa Đimokratía","New Democracy","New Democracy"
"Greece",403,1441,403,FALSE,TRUE,NA,"SYN; SYRIZA","SYN","Synaspismós tïs Aristerás kai tïs Proódou;Synaspismó’s Rizospastikís Aristerás","Synaspismós tīs Aristerás","Coalition of the Left and Progress;Coalition of the Radical Left","Coalition of the Left"
"Greece",403,1592,NA,FALSE,TRUE,TRUE,"SYN; SYRIZA","SYRIZA","Synaspismós tïs Aristerás kai tïs Proódou;Synaspismó’s Rizospastikís Aristerás","Synaspismós Rizospastikís Aristerás","Coalition of the Left and Progress;Coalition of the Radical Left","Coalition of the Radical Left"
"Greece",404,614,404,FALSE,TRUE,NA,"KKE","KKE","Kommounistikó Kómma Elládas","Kommounistikó Kómma Elládas","Communist Party of Greece","Communist Party of Greece"
"Greece",408,1412,408,FALSE,NA,NA,"POLA","POLAN","Politiki Anixi","Politiki Anixi","Political Spring","Political Spring"
"Greece",409,720,409,FALSE,TRUE,NA,"DIKKI","DIKKI","Dimokratiko Kinoniko Kinima","Dimokratiko Koinoniko Kinima","Democratic Social Movement","Democratic Social Movement"
"Greece",410,1179,410,FALSE,TRUE,NA,"LAOS","LAOS","Laïkós Orthódoxos Synagermós","Laïkós Orthódoxos Synagermós","Popular Orthodox Rally","Popular Orthodox Rally"
"Greece",411,1280,411,FALSE,NA,NA,"OP","OP","Oikologoi Prasinoi","Oikologoi Prasinoi","Ecologist Greens","Ecologist Greens"
"Greece",412,2091,NA,FALSE,TRUE,NA,"ANEL","AE","Anexartitoi Ellines","Anexartitoi Ellines","Independent Greeks","Independent Greeks"
"Greece",413,NA,NA,FALSE,NA,NA,"Potami",NA,"To Potami",NA,"The River",NA
"Greece",414,2093,NA,FALSE,TRUE,NA,"DIMAR","DIMAR","Dimokratiki Aristera","Dimokratiki Aristera","Democratic Left","Democratic Left"
"Greece",415,2092,NA,FALSE,TRUE,NA,"XA","LS-CA","Laïkós Sýndesmos—Chrysí Avgí","Laikos Syndesmos – Chrysi Avg","Popular Association—Golden Dawn","Peoples Association -- Golden Dawn"
"Spain",501,902,501,FALSE,TRUE,NA,"PSOE","PSOE","Partido Socialista Obrero EspaÃśol","Partido Socialista Obrero Español","Spanish Socialist Workers’ Party","Spanish Socialist Workers Party"
"Spain",502,645,502,FALSE,TRUE,NA,"PP","AP-P","Partido Popular","Alianza-Partido Popular","People’s Party","People's Alliance-Party"
"Spain",504,118,504,FALSE,TRUE,NA,"IU","IU|PCE","Izquierda Unida","Izquierda Unida | Partido Communista","United Left","United Left | Communist Party"
