Country,Region,Unit/Currency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
France,France,Mil EURO,37175.0844,38681,40684,42690,42545,44386,45150,45366,39190,39237,38455,,
Germany,Germany,Mil EURO,30648.8559,31168,31060,30610,30600,30365,31090,32824,34171,34925,34630,,
Italy,Southern Europe,Mil EURO,24760.32,25887,26795,27476,26959,26631,20932,22631,21946,21637,21741,,
Spain,Southern Europe,Mil EURO,7971.50173,9560,9577,10197,10497,11506,12219,12756,12196,11132,10059,,
Sweden,Northern Europe,Mil EURO,4611.414385,4628.517528,4702.606049,4442.118065,4442.529829,4448.034863,4666.408158,4130.866094,3653.065678,4451.448641,4898.486003,,
United Kingdom,United Kingdom,Mil EURO,39349.37856,40045.41094,38187.09346,39498.45691,44958.79383,47093.94779,50320.24969,46686.90492,42608.7104,45547.94782,45698.25675,,
Austria,Western Europe,Mil EURO,1999,1999,2111,2158,2160,2105,2557,2558,2495,2652,2577,,
Belgium,Western Europe,Mil EURO,3392.93293,3344,3434,3433,3400,3434,3773,4293,4048,3960,3986,,
Denmark,Northern Europe,Mil EURO,2819.998251,2861.968049,2835.944052,2882.055029,2791.128,3106.420864,3050.892114,3274.033176,3122.609968,3401.094302,3255.977667,,
Finland,Northern Europe,Mil EURO,1653,1712,2006,2131,2206,2281,2203,2468,2591,2567,2856,,
Greece,Southern Europe,Mil EURO,6567.67622,4845,4264,4800,5429,5829,5997,6896,7311,5973,4622,,
Ireland,Western Europe,Mil EURO,858,862,855,887,921,949,1003,1081,1019,962,935,,
Luxembourg,Western Europe,Mil EURO,179.13254,163,176,189,196,197,209,146,145,187,201,,
Netherlands,Western Europe,Mil EURO,6929.0722,7149,7404,7552,7693,8145,8388,8488,8733,8472,8156,,
Portugal,Southern Europe,Mil EURO,2598.59739,2082,2094,2293,2527,2514,2418,2536,2692,2782,2598,,
Bulgaria,Eastern Europe,Mil EURO,455.0840161,485.5036785,505.2690378,524.6630725,562.8032515,598.4868404,754.0556034,710.2713863,692.4807969,674.8831264,568.5360892,,
Cyprus,Southern Europe,Mil EURO,360,253,255,271,302,304,295,310,339,361,385,,
Czech Republic,Eastern Europe,Mil EURO,1330.064118,1573.200287,1646.948815,1599.798329,1778.600492,1920.603663,1848.673253,2115.556042,2257.66417,2010.5952,1762.833009,,
Estonia,Eastern Europe,Mil EURO,105,130,152,165,214,251,325,346,314,249,266,,
Hungary,Eastern Europe,Mil EURO,1062.60445,1150.86132,1240.208623,1236.246841,1284.420042,1124.401427,1298.189256,1280.282411,1067.617986,1020.832699,994.3974304,,
Latvia,Eastern Europe,Mil EURO,97.3133708,156.2605628,168.6105931,186.4136659,221.1929838,295.8058585,352.8317398,398.510855,260.7366008,194.7124483,209.3471385,,
Lithuania,Eastern Europe,Mil EURO,240.1370421,255.4730517,280.0717284,271.0673931,301.1376,339.9371185,392.4064425,454.9699947,362.2886414,309.2973011,318.5676154,,
Malta,Southern Europe,Mil EURO,28.43,28.69,29.987,32.537,42.286,35.284,35.766,38.252,42.55,44.343,45.603,,
Poland,Eastern Europe,Mil EURO,3946.329528,3791.266145,3512.774328,3744.425581,4455.964713,4884.912499,5736.242236,5612.673131,5405.505583,6424.311431,6419.157846,,
Romania,Eastern Europe,Mil EURO,1104.891555,1120.142054,1038.384398,1232.559228,1590.811882,1795.164692,1908.174653,2053.34994,1601.504364,1574.650402,1543.543131,,
Slovakia,Eastern Europe,Mil EURO,632,662,762,762,848,898,929,994,967,853,760,,
Slovenia,Eastern Europe,Mil EURO,275,328,360,396,413,485,506,566,575,583,514,,
Albania,Non-Aligned Eastern Europe,Mil EURO,59.42252368,62.15321517,67.78583248,81.33453463,88.64176538,112.3248492,142.561742,174.7411969,178.9708075,143.3088833,141.8892771,,
Bosnia & Herzegovina,Non-Aligned Eastern Europe,Mil EURO,,378.8170414,180.1305103,160.9491298,139.5530081,142.0879113,142.5307416,160.2980582,174.3148069,166.1370833,176.8826523,,
Croatia,Non-Aligned Eastern Europe,Mil EURO,702.2119755,779.134125,628.6621552,567.1024809,584.2118827,677.0045873,715.6408843,885.338226,812.893787,766.6391494,784.0451077,,
Macedonia,Non-Aligned Eastern Europe,Mil EURO,255.4104586,113.3553987,104.152739,107.7899648,102.2085492,100.3768493,118.467907,117.6911498,113.6683393,120.88,117.2,,
Moldova,Non-Aligned Eastern Europe,Mil EURO,6.650217498,7.267660022,7.31304168,7.676864002,9.663187043,13.09403154,16.67787292,25.30117245,17.92757755,13.86051775,14.76862417,,
Montenegro,Non-Aligned Eastern Europe,Mil EURO,,,,,,49.7,46.9,58.1,55.2,56.8,63.1,,
Norway,Northern Europe,Mil EURO,3314.813098,4323.618643,4000.600467,3937.455626,4678.239938,3995.2506,4298.01359,4374.405566,4464.084567,4907.196202,5198.04898,,
Serbia,Non-Aligned Eastern Europe,Mil EURO,568.1271992,725.8677017,644.867013,592.0481735,504.6481645,561.2485142,710.0262044,761.4903591,678.8499714,637.7542475,672.5192022,,
Switzerland,Western Europe,Mil EURO,3088.525914,3063.518482,2897.420285,2822.877018,2802.21298,2653.440697,2575.190855,2799.785734,2923.450183,3114.592578,3923.424587,,
Turkey,Southern Europe,Mil EURO,8561.692717,8564.067264,7986.600456,7537.904905,8269.541062,9198.054736,8625.168272,9872.131628,9071.891361,10640.04986,10401.96656,,
